model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.34444,0.35994,0.36079,"{""0"": 0.3658845909955612, ""1"": 0.3269986893840105, ""2"": 0.38692672641012127}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.4973,0.49235,0.49225,"{""0"": 0.51106111736033, ""1"": 0.473639091298757}",0.4974,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.08208,0.08425,0.0819,"{""0"": 0.052823315118397086, ""1"": 0.08048780487804878, ""2"": 0.11793611793611794, ""3"": 0.058394160583941604, ""4"": 0.06840390879478828, ""5"": 0.09818181818181818, ""6"": 0.09438775510204081, ""7"": 0.13043478260869565, ""8"": 0.07457627118644068, ""9"": 0.08035714285714286, ""10"": 0.08974358974358974, ""11"": 0.06532663316582915}",,0.07627,0.09204,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.34292,0.39177,0.39,"{""0"": 0.4850982878883957, ""1"": 0.3486238532110092, ""2"": 0.3415919873484449}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.49619,0.49972,0.49831,"{""0"": 0.4799400074990626, ""1"": 0.5195027861123017}",0.49662,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.08246,0.07187,0.06958,"{""0"": 0.061930783242258654, ""1"": 0.0951219512195122, ""2"": 0.06756756756756757, ""3"": 0.06569343065693431, ""4"": 0.08469055374592833, ""5"": 0.08, ""6"": 0.04846938775510204, ""7"": 0.07246376811594203, ""8"": 0.07457627118644068, ""9"": 0.08630952380952381, ""10"": 0.042735042735042736, ""11"": 0.0829145728643216}",,0.06415,0.0794,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.33268,0.32441,0.32355,"{""0"": 0.3024730500951173, ""1"": 0.34076015727391873, ""2"": 0.32999472851871375}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.49614,0.48777,0.48774,"{""0"": 0.5121859767529059, ""1"": 0.46335190741534504}",0.48551,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08271,0.07331,0.07011,"{""0"": 0.08743169398907104, ""1"": 0.09268292682926829, ""2"": 0.051597051597051594, ""3"": 0.0535279805352798, ""4"": 0.048859934853420196, ""5"": 0.10181818181818182, ""6"": 0.07397959183673469, ""7"": 0.10144927536231885, ""8"": 0.09152542372881356, ""9"": 0.05357142857142857, ""10"": 0.07051282051282051, ""11"": 0.052763819095477386}",,0.06602,0.08075,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.35248,0.43071,0.42761,"{""0"": 0.5149017121116043, ""1"": 0.4134993446920052, ""2"": 0.3637322087506589}",,,,
Qwen/Qwen2.5-0.5B,12,gender,0.50025,0.49865,0.49816,"{""0"": 0.5009373828271466, ""1"": 0.49635662237462497}",0.49406,,,
Qwen/Qwen2.5-0.5B,12,star_sign,0.08316,0.08344,0.07977,"{""0"": 0.056466302367941715, ""1"": 0.07317073170731707, ""2"": 0.10196560196560196, ""3"": 0.11678832116788321, ""4"": 0.11074918566775244, ""5"": 0.12727272727272726, ""6"": 0.05357142857142857, ""7"": 0.04057971014492753, ""8"": 0.09152542372881356, ""9"": 0.09821428571428571, ""10"": 0.05555555555555555, ""11"": 0.07537688442211055}",,0.07574,0.0911,False
Qwen/Qwen2.5-0.5B,16,age_bin,0.34118,0.35388,0.35387,"{""0"": 0.3119847812301839, ""1"": 0.3505897771952818, ""2"": 0.39905113336847653}",,,,
Qwen/Qwen2.5-0.5B,16,gender,0.5118,0.53679,0.53609,"{""0"": 0.5339332583427071, ""1"": 0.5396485212173168}",0.55027,,,
Qwen/Qwen2.5-0.5B,16,star_sign,0.08357,0.089,0.08229,"{""0"": 0.030965391621129327, ""1"": 0.12682926829268293, ""2"": 0.10073710073710074, ""3"": 0.06082725060827251, ""4"": 0.08469055374592833, ""5"": 0.18545454545454546, ""6"": 0.0663265306122449, ""7"": 0.028985507246376812, ""8"": 0.11186440677966102, ""9"": 0.09821428571428571, ""10"": 0.07264957264957266, ""11"": 0.10050251256281408}",,0.08046,0.09749,False
Qwen/Qwen2.5-0.5B,20,age_bin,0.36413,0.42217,0.41842,"{""0"": 0.5459733671528219, ""1"": 0.3256880733944954, ""2"": 0.3948339483394834}",,,,
Qwen/Qwen2.5-0.5B,20,gender,0.51129,0.53363,0.5312,"{""0"": 0.49718785151856015, ""1"": 0.5700814402057437}",0.55152,,,
