batch,n_tokens,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L6_age_bin,loss_L6_gender,loss_L6_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L18_age_bin,loss_L18_gender,loss_L18_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
0,2400,1.67675,1.04539,3.28179,1.46616,0.96934,3.28867,1.4912,1.11859,3.2058,1.55483,1.11704,3.29024,1.69084,0.99697,3.248
1,2400,1.593,1.0022,3.30377,1.60332,0.97442,3.1671,1.54426,1.04973,3.10593,1.55764,1.07275,3.2679,1.54901,1.01118,3.20573
2,2400,1.55412,1.00055,3.27103,1.55797,1.07191,3.08647,1.56198,1.01204,3.15352,1.4871,1.11736,3.19878,1.48066,0.98001,3.27325
3,2400,1.5028,1.0393,3.21792,1.56296,1.01806,3.15362,1.49609,0.97814,3.19147,1.63959,1.09788,3.22057,1.64822,0.97315,3.18764
4,2400,1.52857,1.02536,3.16431,1.54902,0.98306,3.10695,1.52672,0.98129,3.15366,1.64407,1.01796,3.22749,1.57462,1.01428,3.18928
5,2400,1.52544,0.99814,3.15359,1.52444,1.00539,3.18763,1.50159,0.97241,3.17055,1.5561,1.02247,3.16705,1.49281,0.9404,3.15839
6,2400,1.47888,1.01745,3.18539,1.46471,0.92708,3.1655,1.46628,1.07852,3.13225,1.5249,0.98626,3.31592,1.42557,0.91496,3.30368
7,2400,1.49387,0.99332,3.1416,1.50088,0.91406,3.18759,1.45258,0.9678,3.13535,1.56417,1.06128,3.26359,1.4398,1.02307,3.21096
8,2400,1.51151,1.00273,3.17491,1.42045,0.95729,3.11141,1.41318,1.02147,3.13455,1.52809,0.98206,3.18355,1.49132,0.98953,3.23963
9,2400,1.48879,1.01726,3.12674,1.41744,0.88952,3.17982,1.53258,0.96274,3.23372,1.4858,0.96256,3.21426,1.52108,1.03588,3.13485
10,2400,1.44928,1.00623,3.17307,1.48315,0.927,3.14382,1.46718,0.94546,3.22478,1.50755,0.99562,3.21316,1.50588,0.91957,3.37019
11,2400,1.4705,0.98848,3.16288,1.38846,0.94433,3.13598,1.38987,0.97712,3.14476,1.4661,0.95449,3.07747,1.52563,0.94614,3.31677
12,2400,1.48905,0.95115,3.15446,1.41887,0.87861,3.1033,1.42485,0.95781,3.17308,1.46024,1.03089,3.19525,1.43374,0.99316,3.11139
13,2400,1.44103,0.99267,3.14619,1.41345,0.88557,3.14019,1.39965,0.94191,3.24586,1.44483,1.00948,3.2836,1.42073,0.912,3.19844
14,2400,1.4394,0.97206,3.15081,1.42228,0.87858,3.0869,1.48727,0.94864,3.18176,1.50598,0.96667,3.16828,1.42386,0.83702,3.30593
15,2400,1.46668,0.95527,3.14416,1.45059,0.91586,3.14192,1.41791,0.94096,3.11312,1.45857,1.02741,3.15444,1.44292,0.94467,3.11946
16,2400,1.46687,0.9464,3.10672,1.46371,0.95404,3.17758,1.48805,0.93869,3.06081,1.49323,0.94017,3.28232,1.32943,0.91147,3.25562
17,2400,1.44222,0.92695,3.17362,1.44173,0.9285,3.10637,1.45738,0.90087,3.11696,1.56908,0.9637,3.28301,1.49332,0.91948,3.32269
18,2400,1.42641,0.96604,3.10981,1.47032,0.93608,3.12249,1.47047,0.92477,3.09324,1.44576,0.97622,3.05292,1.41198,1.04577,3.17806
19,2400,1.45467,0.95081,3.00685,1.43587,0.91847,3.16454,1.39179,0.94105,3.13863,1.44624,0.91642,3.15325,1.4403,0.758,3.05462
20,2400,1.42681,0.94655,3.05231,1.44353,0.95252,3.09011,1.42512,0.91711,3.13626,1.46635,0.91257,3.13546,1.45429,0.91245,3.20139
21,2400,1.41563,0.91428,3.0692,1.4236,0.95389,3.09322,1.37046,0.874,3.16793,1.32044,0.96268,3.17268,1.42455,0.90938,3.23964
22,2400,1.40081,0.95422,3.12997,1.39749,0.91676,3.10171,1.40423,0.93437,3.11679,1.41655,0.96422,3.07116,1.28375,0.92603,3.19065
23,2400,1.41902,0.94539,3.11622,1.42001,0.98343,3.13812,1.42488,0.98758,3.17948,1.45139,0.91364,3.09611,1.31439,0.85578,3.21823
24,2400,1.43091,0.93389,3.10245,1.35465,0.91736,3.10958,1.34248,0.91232,3.17174,1.37194,0.90039,3.26169,1.26339,0.87285,3.06546
25,2400,1.41727,0.91119,3.12318,1.39463,0.86463,3.0966,1.40976,0.93628,3.1524,1.46205,0.92244,3.2585,1.41127,0.84693,3.30268
26,2400,1.41707,0.9456,3.10471,1.34167,0.8935,3.10016,1.40026,0.95572,3.1115,1.38085,0.98518,3.14409,1.47703,0.85913,3.31269
27,2400,1.41737,0.89438,3.06544,1.3168,0.89271,3.09934,1.41662,0.95855,3.08981,1.34806,0.97215,3.12083,1.34273,0.93919,3.28711
28,2400,1.39538,0.90795,3.04868,1.43764,0.88581,3.09193,1.34828,0.95422,3.10387,1.4176,0.92085,3.15097,1.35154,0.96791,3.02456
29,2400,1.42811,0.92328,3.09741,1.36437,0.91411,3.09014,1.3853,0.92322,3.14392,1.31618,0.89534,3.06567,1.32936,0.87504,3.2728
30,2400,1.4001,0.91446,3.05799,1.37491,0.9297,3.065,1.34727,0.95549,3.1273,1.36716,0.96197,3.16383,1.28685,0.90473,3.12773
31,2400,1.40713,0.92895,3.11549,1.39193,0.8991,3.17586,1.3038,0.8946,3.18417,1.36759,0.93431,3.14393,1.31732,0.93826,3.07752
32,2400,1.40663,0.8903,3.06688,1.3598,0.86314,3.08994,1.35709,0.92247,3.05606,1.36216,0.90961,3.1345,1.38851,0.76776,3.16253
33,2400,1.3734,0.90567,3.06367,1.38993,0.85079,3.07956,1.36896,0.87436,3.13834,1.31895,0.8786,3.12329,1.27987,0.91573,3.19542
34,2400,1.39906,0.91739,3.07062,1.40934,0.89594,3.10131,1.38568,0.94116,3.11333,1.29347,0.89451,3.07945,1.37906,0.9041,3.26723
35,2400,1.39181,0.90725,3.10318,1.31306,0.91205,3.12961,1.38856,0.92685,3.13485,1.40078,0.92292,3.06984,1.43959,0.91969,3.34551
36,2400,1.35242,0.91539,3.01818,1.38225,0.86872,3.04208,1.31621,0.8913,3.19962,1.32219,0.92294,3.22061,1.23214,0.96564,3.13199
37,2400,1.35741,0.86933,3.04426,1.33126,0.83552,3.0748,1.30074,0.91567,3.10461,1.3199,0.92017,3.19898,1.31772,0.90491,3.15857
38,2400,1.39083,0.88692,3.05825,1.40788,0.90717,3.02983,1.26904,0.88214,3.08667,1.33091,0.93207,3.1913,1.26159,0.89451,3.06069
39,2400,1.36469,0.90338,3.04771,1.34797,0.84551,3.0542,1.32972,0.92549,3.09848,1.30051,0.86045,3.22179,1.23159,0.85554,3.17662
40,2400,1.34531,0.90131,2.99941,1.34766,0.91478,3.07248,1.40608,0.91528,3.02693,1.31999,0.95473,3.14315,1.29461,0.97207,3.15606
41,1600,1.3521,0.90122,2.98832,1.28914,0.8283,3.11169,1.34771,0.86711,3.04875,1.35507,0.91219,3.14293,1.3016,0.82416,3.18917
