batch,n_tokens,loss_L0_age_bin,train_acc_L0_age_bin,loss_L0_gender,train_acc_L0_gender,loss_L0_star_sign,train_acc_L0_star_sign,loss_L6_age_bin,train_acc_L6_age_bin,loss_L6_gender,train_acc_L6_gender,loss_L6_star_sign,train_acc_L6_star_sign,loss_L12_age_bin,train_acc_L12_age_bin,loss_L12_gender,train_acc_L12_gender,loss_L12_star_sign,train_acc_L12_star_sign,loss_L18_age_bin,train_acc_L18_age_bin,loss_L18_gender,train_acc_L18_gender,loss_L18_star_sign,train_acc_L18_star_sign,loss_L24_age_bin,train_acc_L24_age_bin,loss_L24_gender,train_acc_L24_gender,loss_L24_star_sign,train_acc_L24_star_sign
0,2400,1.63463,0.32417,1.04191,0.49583,3.32132,0.08542,1.5912,0.31125,1.04881,0.47667,3.12,0.08375,1.51968,0.35708,1.0333,0.51458,3.28254,0.07458,1.49614,0.36792,1.14851,0.4725,3.26704,0.08125,1.59602,0.31333,0.99532,0.51792,3.24546,0.0775
1,2400,1.61443,0.315,0.98014,0.51146,3.26269,0.08667,1.5895,0.31958,1.04536,0.49062,3.21157,0.08479,1.58514,0.33937,1.02887,0.50333,3.19139,0.07625,1.53333,0.35542,1.09842,0.47313,3.26926,0.08042,1.58256,0.32854,1.01066,0.5225,3.20021,0.08146
2,2400,1.54416,0.3225,1.04328,0.505,3.21811,0.08389,1.5655,0.32528,1.02349,0.48917,3.28828,0.08,1.43404,0.35181,1.08593,0.49194,3.21305,0.07583,1.56823,0.34486,1.12928,0.46903,3.25449,0.08194,1.60231,0.33639,0.9601,0.53306,3.44545,0.07528
3,2400,1.53283,0.32448,1.03376,0.50198,3.24755,0.08208,1.5087,0.33229,0.99751,0.49302,3.14972,0.08063,1.5154,0.34531,1.03549,0.48844,3.09998,0.07802,1.57611,0.33833,1.08139,0.46896,3.2573,0.08167,1.45059,0.3475,1.01949,0.52542,3.22647,0.08
4,2400,1.51146,0.3295,1.02441,0.49925,3.25043,0.08233,1.538,0.33367,1.00621,0.49325,3.15488,0.08008,1.46931,0.349,1.06193,0.48708,3.16878,0.07758,1.62139,0.33358,1.01836,0.47483,3.29931,0.08008,1.51168,0.35017,1.02983,0.5215,3.27891,0.08183
5,2400,1.48379,0.33292,0.97239,0.49993,3.16177,0.08368,1.56126,0.32681,0.95732,0.49514,3.1284,0.08063,1.46157,0.35132,0.97383,0.49229,3.24185,0.07736,1.56413,0.33229,1.03112,0.47917,3.22506,0.08208,1.51863,0.35132,0.95308,0.52299,3.18545,0.08396
6,2400,1.51443,0.32988,1.02154,0.5025,3.19238,0.08387,1.44985,0.33042,0.94587,0.49577,3.11591,0.08167,1.48807,0.34982,0.9584,0.49565,3.11978,0.08101,1.55597,0.3297,1.01926,0.48036,3.1737,0.08262,1.50297,0.35363,1.00038,0.51976,3.16281,0.08625
7,2400,1.46041,0.33411,0.99679,0.50135,3.1836,0.08344,1.46956,0.33104,0.96501,0.49677,3.13253,0.08156,1.50271,0.3451,0.95387,0.4975,3.07604,0.08203,1.58512,0.32792,1.02776,0.4812,3.17449,0.08354,1.5356,0.35411,0.99001,0.51885,3.32468,0.08406
8,2400,1.46605,0.33662,0.95553,0.50407,3.18145,0.08431,1.40805,0.33412,0.92264,0.49792,3.09348,0.08097,1.43935,0.34551,0.97324,0.49843,3.15971,0.08296,1.54536,0.32815,0.90713,0.48671,3.29431,0.08218,1.46824,0.35542,1.00279,0.51824,3.34404,0.08426
9,2400,1.45118,0.33529,0.99306,0.50346,3.14518,0.08371,1.44258,0.33467,0.96609,0.49596,3.1176,0.08138,1.51314,0.34433,0.99647,0.49825,3.11819,0.08346,1.48703,0.32979,1.04673,0.48612,3.22638,0.08317,1.46756,0.35687,0.83906,0.52529,3.1989,0.08363
10,2400,1.47826,0.33527,0.98912,0.50337,3.16395,0.08428,1.49821,0.33405,0.95654,0.49542,3.22065,0.08068,1.40024,0.34636,0.94117,0.50087,3.01786,0.08394,1.53105,0.32985,0.96187,0.4883,3.34383,0.08152,1.49288,0.35848,0.91383,0.52716,3.10675,0.08451
11,2400,1.4351,0.335,0.94769,0.50309,3.12296,0.0834,1.43338,0.33479,0.96614,0.49462,3.15721,0.08007,1.47626,0.34448,0.94253,0.50264,3.13757,0.08427,1.49685,0.33139,0.94718,0.48899,3.22089,0.08198,1.3936,0.3608,0.8678,0.52955,3.24868,0.08347
12,2400,1.46618,0.33554,0.94206,0.50359,3.14793,0.08378,1.44858,0.33433,0.93987,0.49417,3.1634,0.07974,1.4547,0.34423,0.92923,0.50327,3.12878,0.08404,1.512,0.33058,0.96529,0.49128,3.15768,0.08176,1.41198,0.36163,0.94896,0.52942,3.22387,0.0834
13,2400,1.45288,0.33512,0.94448,0.5047,3.12336,0.08348,1.36416,0.33589,0.9527,0.49381,3.1013,0.08051,1.43217,0.34372,0.91751,0.50396,3.12649,0.08417,1.37384,0.3344,1.01384,0.49113,3.27885,0.08119,1.45165,0.36375,0.96194,0.52887,3.17197,0.08473
14,2400,1.46157,0.33517,0.96688,0.50536,3.13214,0.08328,1.437,0.33506,0.86246,0.49644,3.14401,0.08025,1.47501,0.34408,0.98375,0.50206,3.18325,0.08367,1.48587,0.33447,1.03169,0.49119,3.1729,0.08117,1.37642,0.36533,0.89921,0.52997,3.23952,0.08486
15,2400,1.42925,0.33604,0.94348,0.50536,3.0821,0.08388,1.43412,0.33526,0.89284,0.4976,3.07379,0.08089,1.38543,0.34516,0.93793,0.50344,3.07476,0.08461,1.43885,0.33609,1.0016,0.49078,3.22344,0.0812,1.34487,0.36859,0.91543,0.53026,3.25298,0.08411
16,2400,1.40935,0.33637,0.94661,0.50576,3.10573,0.08355,1.39072,0.33645,0.9024,0.49772,3.1752,0.08115,1.46308,0.34422,0.98863,0.5027,3.1856,0.08407,1.50339,0.33603,0.96272,0.49176,3.25456,0.08064,1.47537,0.36841,0.90475,0.53105,3.23125,0.08431
17,2400,1.46756,0.3369,0.93998,0.50565,3.12647,0.08324,1.38279,0.33752,0.91538,0.49898,3.10631,0.08113,1.44599,0.34454,0.92397,0.50322,3.08259,0.08424,1.45033,0.33715,0.96585,0.49192,3.14425,0.08113,1.41288,0.36866,0.91014,0.53146,3.16052,0.08449
18,2400,1.45087,0.33647,0.93085,0.5064,3.13164,0.08346,1.42468,0.33759,0.86286,0.50077,3.12169,0.08086,1.41316,0.34456,0.94672,0.50349,3.09924,0.0839,1.4846,0.33759,0.96914,0.4925,3.1435,0.08151,1.36216,0.36943,1.02788,0.52879,3.25172,0.0843
19,2400,1.41506,0.33683,0.93018,0.50613,3.0947,0.08369,1.43349,0.33794,0.90508,0.50125,3.21067,0.0805,1.41156,0.34456,0.91865,0.50444,3.1719,0.08352,1.45083,0.33908,0.87634,0.49512,3.17127,0.08083,1.34133,0.37052,0.98088,0.52781,3.13097,0.08483
20,2400,1.4195,0.33687,0.98491,0.50581,3.10177,0.08353,1.43579,0.33728,0.99689,0.49909,3.11454,0.08022,1.41855,0.34512,0.89205,0.50542,3.08857,0.08383,1.40984,0.34014,0.95289,0.49687,3.18608,0.08115,1.47401,0.3699,0.92086,0.52831,3.23639,0.08452
21,2400,1.41777,0.33752,0.92668,0.5057,3.1421,0.08318,1.39443,0.33814,0.88908,0.50017,3.14176,0.08045,1.45745,0.34432,0.90379,0.50638,3.04949,0.08449,1.45913,0.34021,0.93238,0.4982,3.12986,0.0815,1.47155,0.36894,0.88653,0.53002,3.23057,0.08386
22,2400,1.40773,0.33775,0.9356,0.50614,3.12519,0.08279,1.37619,0.33918,0.91037,0.50022,3.12941,0.08009,1.34399,0.34583,0.93267,0.50656,3.10824,0.08438,1.31793,0.34364,0.93049,0.49889,3.29651,0.08096,1.42177,0.37005,0.96811,0.52848,3.16897,0.08433
23,2400,1.4255,0.33788,0.94149,0.50498,3.06166,0.08299,1.43978,0.33818,0.90733,0.50024,3.1398,0.07974,1.41895,0.3458,0.8705,0.5079,3.1324,0.08422,1.36484,0.34521,0.91056,0.5001,3.19171,0.08132,1.38088,0.37045,0.93994,0.52762,3.18993,0.08394
24,2400,1.38167,0.3384,0.94064,0.50458,3.01846,0.08323,1.31711,0.3396,0.93372,0.4993,3.06221,0.08035,1.33891,0.34723,0.90092,0.50868,3.01366,0.08505,1.3764,0.34647,0.9145,0.50137,3.22978,0.08103,1.23947,0.37348,0.85718,0.52923,3.11415,0.08428
25,2400,1.43395,0.33766,0.95901,0.50428,3.1051,0.08304,1.35256,0.34056,0.9604,0.49861,3.03187,0.0803,1.35218,0.34776,0.91477,0.50885,3.13324,0.08479,1.41103,0.34728,0.95099,0.50125,3.14554,0.08101,1.41742,0.37329,0.92122,0.52838,3.30872,0.08359
26,2400,1.38532,0.33819,0.89141,0.50471,3.08016,0.08298,1.43041,0.34,0.88189,0.49954,3.06791,0.08046,1.42254,0.34759,0.94246,0.50841,3.13038,0.08435,1.49179,0.34691,0.94833,0.5013,3.2412,0.08082,1.37765,0.37378,0.83986,0.52954,3.11025,0.08352
27,2400,1.43719,0.3376,0.91303,0.50536,3.06669,0.08287,1.38568,0.34046,0.87096,0.50055,3.11228,0.08049,1.3997,0.34762,0.95212,0.50805,3.12772,0.08412,1.43157,0.34685,0.93456,0.50185,3.06959,0.08146,1.36505,0.37429,0.896,0.52996,3.2085,0.08357
28,2400,1.40617,0.33753,0.93256,0.5051,3.08369,0.08274,1.35857,0.3405,0.90306,0.50055,3.09371,0.08001,1.41612,0.34797,0.87296,0.50914,3.17552,0.08361,1.38478,0.348,0.89257,0.50282,3.26496,0.08093,1.33993,0.37524,0.88357,0.5308,2.98943,0.08435
29,2400,1.3511,0.33829,0.92005,0.50492,3.02938,0.08265,1.40449,0.34053,0.88186,0.50129,3.14044,0.07993,1.3135,0.3491,0.88675,0.50953,3.13014,0.08329,1.38922,0.34908,0.87624,0.50364,3.18167,0.08085,1.33661,0.37649,0.8944,0.53143,3.16532,0.08446
30,2400,1.40247,0.33762,0.9336,0.50508,3.11558,0.08212,1.32408,0.34141,0.86276,0.50202,3.04639,0.07988,1.38545,0.34972,0.9752,0.50883,3.01509,0.0838,1.37131,0.34972,0.93798,0.50401,3.1545,0.08102,1.44702,0.37652,0.94774,0.53098,3.29242,0.08444
31,2400,1.39826,0.33802,0.92512,0.50503,3.05133,0.08212,1.43123,0.34108,0.92848,0.50135,3.08956,0.07991,1.34169,0.35038,0.94463,0.50819,3.10845,0.08388,1.37777,0.35029,0.97947,0.50354,3.09586,0.08167,1.23876,0.37905,0.94793,0.53025,3.09127,0.08458
32,2400,1.35882,0.33827,0.92747,0.505,3.08922,0.08208,1.3133,0.34213,0.87763,0.50193,3.08444,0.07981,1.37834,0.35061,0.88538,0.50875,3.17299,0.08375,1.36085,0.35129,0.95549,0.50297,3.12301,0.08193,1.38452,0.37903,0.90325,0.53001,3.17057,0.08458
33,2400,1.36975,0.33897,0.87572,0.50527,3.06867,0.08213,1.32832,0.34273,0.8709,0.50251,3.13554,0.07947,1.37833,0.3507,0.885,0.50931,3.09669,0.08395,1.37606,0.35158,0.95377,0.50281,3.18717,0.08199,1.38461,0.37881,0.86018,0.53115,3.25965,0.08424
34,2400,1.38203,0.33937,0.93263,0.50457,3.0993,0.08217,1.34868,0.34283,0.87772,0.50285,3.07391,0.07961,1.36776,0.35088,0.90849,0.50994,3.08544,0.08408,1.37842,0.35229,0.90084,0.50357,3.13388,0.0822,1.28803,0.38001,0.84988,0.53217,3.1916,0.08439
35,2400,1.34948,0.34047,0.91149,0.50442,3.06394,0.08228,1.37848,0.34301,0.87003,0.50346,3.06488,0.07964,1.36153,0.35131,0.90781,0.5095,3.09026,0.08418,1.3074,0.35325,0.9496,0.50353,3.09955,0.08235,1.29859,0.38032,0.85796,0.53257,3.17725,0.08468
36,2400,1.40015,0.34046,0.91867,0.50423,3.08086,0.08227,1.36972,0.34307,0.86719,0.50426,3.04663,0.07957,1.43128,0.35125,0.88689,0.50982,3.14379,0.08401,1.35031,0.35361,0.86251,0.50425,3.14882,0.08238,1.37909,0.37995,0.8988,0.53234,3.04023,0.08526
37,2400,1.39848,0.34057,0.89352,0.50427,3.06775,0.0823,1.38083,0.34298,0.86156,0.50476,3.07625,0.07941,1.32994,0.35178,0.9334,0.50943,3.06192,0.08404,1.26135,0.35539,0.88303,0.50455,3.2176,0.08207,1.2233,0.38201,0.89044,0.53259,3.07587,0.08565
38,2400,1.37234,0.34059,0.89848,0.50378,3.00325,0.08262,1.35635,0.34319,0.86461,0.50518,3.0586,0.07963,1.40028,0.35142,0.84817,0.51047,3.09792,0.08386,1.35584,0.35595,0.90546,0.50484,3.079,0.08249,1.26501,0.3834,0.90447,0.5326,3.08594,0.08593
39,2400,1.39434,0.34111,0.89549,0.50366,3.03579,0.08244,1.38127,0.34318,0.91121,0.50459,3.11377,0.07968,1.36311,0.35151,0.8851,0.51071,3.03976,0.08386,1.32483,0.35671,0.90792,0.50486,3.08553,0.08271,1.26018,0.38442,0.86047,0.53271,3.17043,0.08605
40,2400,1.37666,0.34104,0.89812,0.5033,3.07079,0.08237,1.37119,0.34295,0.88644,0.50465,3.0562,0.07956,1.36954,0.35162,0.89343,0.51066,3.02691,0.08399,1.38635,0.35675,0.86105,0.50553,3.1429,0.08255,1.32854,0.38463,0.86779,0.53254,3.29425,0.08562
41,2400,1.38971,0.34165,0.89166,0.50381,3.06717,0.08216,1.33094,0.34339,0.86928,0.50494,3.05056,0.07959,1.33538,0.35205,0.90077,0.51077,3.15571,0.08388,1.18411,0.35932,0.89511,0.5058,3.13233,0.08276,1.11691,0.38701,0.90376,0.53249,3.21683,0.0856
42,2400,1.36085,0.34154,0.88585,0.50398,3.05968,0.08212,1.34641,0.34351,0.8572,0.50547,3.0707,0.07968,1.34382,0.35213,0.87509,0.5112,3.07647,0.08389,1.38214,0.35946,0.88685,0.50596,3.03884,0.08329,1.36269,0.38681,0.84601,0.53316,3.10203,0.08543
43,2400,1.37763,0.34209,0.91123,0.50352,3.06171,0.08223,1.30145,0.34404,0.8766,0.50575,3.0838,0.07948,1.39534,0.35198,0.86032,0.51161,3.0701,0.0841,1.37053,0.35964,0.90812,0.50611,3.12419,0.08334,1.39353,0.38669,0.84839,0.53371,3.12667,0.08552
44,2400,1.39525,0.3415,0.88486,0.50361,3.07227,0.08225,1.32884,0.34431,0.87308,0.50616,3.11309,0.07941,1.37161,0.35185,0.87497,0.51169,3.1678,0.08394,1.35524,0.35994,0.90973,0.50581,3.13802,0.08327,1.20566,0.38767,0.7898,0.53475,3.16024,0.08549
45,2400,1.34028,0.34206,0.89875,0.50351,3.0244,0.08274,1.32469,0.34486,0.83303,0.50673,3.05663,0.0793,1.3144,0.35242,0.87944,0.51195,3.10282,0.08379,1.24764,0.36121,0.92837,0.50553,3.13288,0.08349,1.26065,0.38865,0.80647,0.53549,3.252,0.08526
46,2400,1.36399,0.34189,0.8838,0.50379,3.02545,0.08294,1.358,0.34484,0.86973,0.5069,3.09916,0.0794,1.43515,0.35191,0.89638,0.51157,3.14647,0.08369,1.3948,0.36108,0.91322,0.50556,3.20401,0.08327,1.26487,0.38915,0.85408,0.53605,3.15277,0.08511
47,2400,1.39285,0.34206,0.89403,0.50394,3.02401,0.08299,1.32818,0.34508,0.86171,0.50696,3.06081,0.07953,1.367,0.35161,0.84573,0.51218,3.08498,0.08356,1.33756,0.36145,0.89758,0.50585,3.04914,0.08352,1.3254,0.38938,0.80026,0.5369,3.07525,0.08546
48,2400,1.33541,0.34278,0.90822,0.50382,3.01133,0.08306,1.29792,0.34571,0.80176,0.50782,3.05498,0.07953,1.34961,0.35185,0.86062,0.51242,3.05528,0.08355,1.35821,0.36197,0.8833,0.50639,3.19725,0.08356,1.36011,0.38906,0.80279,0.53776,3.12696,0.08524
49,2400,1.36613,0.34263,0.89183,0.50387,3.05948,0.08297,1.37063,0.34575,0.89623,0.50769,3.06339,0.07956,1.34911,0.35227,0.87577,0.51231,3.17567,0.08317,1.34588,0.36225,0.83061,0.50733,3.02366,0.08394,1.29538,0.38943,0.87213,0.53772,3.14096,0.08527
50,2400,1.31512,0.3432,0.88946,0.50366,3.01449,0.08332,1.32989,0.34593,0.85104,0.50818,3.04491,0.07949,1.36445,0.35213,0.93984,0.51185,2.96595,0.08348,1.321,0.36246,0.88889,0.50741,3.23404,0.08364,1.28547,0.38978,0.86474,0.53756,3.2268,0.085
51,2400,1.33904,0.34311,0.85556,0.50376,3.00065,0.08342,1.35843,0.34603,0.849,0.50839,3.03428,0.07977,1.3216,0.35243,0.85444,0.51224,3.02533,0.08347,1.33002,0.36288,0.84463,0.50803,3.13688,0.08355,1.25212,0.39082,0.80285,0.53833,3.15328,0.08481
52,2400,1.33087,0.3433,0.85348,0.50399,3.05615,0.08336,1.29107,0.34649,0.82622,0.50889,2.99408,0.07999,1.31854,0.35281,0.86115,0.51248,3.07212,0.08362,1.29388,0.36355,0.85129,0.50851,3.05137,0.08369,1.36963,0.39081,0.79684,0.53936,3.11505,0.08465
53,2400,1.34922,0.34343,0.89024,0.50386,3.03133,0.08329,1.34011,0.34623,0.85707,0.50915,3.1126,0.07977,1.3355,0.35273,0.89279,0.51254,2.99535,0.08363,1.30392,0.36415,0.82972,0.5091,3.13694,0.08355,1.29062,0.39144,0.87366,0.53917,2.94219,0.08489
54,2400,1.32985,0.34417,0.86657,0.5041,2.95562,0.08317,1.34028,0.34642,0.85114,0.50968,3.09282,0.07963,1.34752,0.35265,0.8487,0.51283,3.10986,0.08349,1.29173,0.3646,0.89145,0.50927,3.16363,0.08367,1.32161,0.3917,0.81831,0.53968,3.10027,0.08488
55,2400,1.35505,0.34395,0.88598,0.50423,3.00585,0.08327,1.27737,0.34693,0.88464,0.50939,2.96248,0.07984,1.34251,0.35249,0.8857,0.51263,3.03156,0.08347,1.31382,0.36489,0.886,0.50938,3.11237,0.08359,1.37553,0.39123,0.8993,0.53944,3.09392,0.08498
56,2400,1.32704,0.34411,0.87653,0.50462,2.9787,0.08336,1.26058,0.34781,0.82449,0.50969,3.09761,0.07974,1.31222,0.35295,0.85177,0.51297,3.00665,0.08359,1.24179,0.36594,0.91192,0.50916,3.02494,0.08385,1.18602,0.39223,0.82651,0.5397,3.11938,0.08506
57,2400,1.33685,0.34401,0.86623,0.50473,2.96606,0.08347,1.27817,0.34819,0.82636,0.51013,3.01532,0.07979,1.32876,0.35297,0.83701,0.51353,3.06573,0.08351,1.26573,0.36707,0.92746,0.50889,3.07907,0.08387,1.22027,0.39281,0.81511,0.54001,2.98003,0.08527
58,2400,1.34223,0.34375,0.84809,0.5047,3.02565,0.08345,1.31201,0.34842,0.85445,0.5102,3.01877,0.07978,1.40063,0.35274,0.93587,0.51299,3.0249,0.08333,1.36628,0.36707,0.87976,0.50886,3.10237,0.08398,1.37444,0.39254,0.90265,0.53953,3.06389,0.08515
59,2400,1.35713,0.34426,0.85728,0.50508,3.0506,0.08326,1.32033,0.34856,0.82715,0.51056,3.04777,0.07985,1.34494,0.35258,0.89487,0.5129,3.05215,0.08319,1.26147,0.36771,0.90253,0.50866,3.08024,0.0839,1.283,0.39306,0.86462,0.53952,3.08129,0.08508
60,2400,1.35582,0.34403,0.87712,0.50514,3.03867,0.08322,1.3271,0.3487,0.83442,0.51078,2.99305,0.07996,1.3487,0.35264,0.81095,0.5134,3.0545,0.08309,1.31664,0.36795,0.86789,0.50889,3.04571,0.08398,1.311,0.39317,0.86054,0.53976,3.10456,0.08499
61,2400,1.34253,0.34405,0.88084,0.50495,2.94708,0.08343,1.34544,0.3487,0.82422,0.51089,3.00305,0.07997,1.34613,0.35258,0.86353,0.51334,3.04988,0.08319,1.35368,0.36786,0.82499,0.50942,3.02808,0.08406,1.29579,0.39327,0.7942,0.54045,3.02393,0.08508
62,2400,1.28923,0.34426,0.84829,0.50513,3.00074,0.08341,1.33935,0.34859,0.84668,0.51091,3.03925,0.07999,1.29597,0.35311,0.93075,0.51284,3.00925,0.08329,1.25717,0.3687,0.85451,0.50972,3.16656,0.08382,1.16786,0.39423,0.85411,0.54071,3.05083,0.0851
63,2400,1.31475,0.34429,0.84385,0.50533,3.01623,0.08318,1.2904,0.34884,0.80989,0.51141,3.01636,0.08007,1.22382,0.35374,0.85982,0.5129,3.15141,0.08314,1.31108,0.36886,0.80556,0.51045,3.08287,0.0838,1.23356,0.39486,0.80763,0.54122,3.00437,0.08523
64,2400,1.38244,0.34413,0.87264,0.50546,3.00132,0.08314,1.2353,0.34946,0.81336,0.51182,3.02457,0.0801,1.26152,0.35453,0.85742,0.51293,3.11331,0.08311,1.21713,0.36986,0.84742,0.51092,2.96005,0.08403,1.12669,0.39594,0.78193,0.54177,3.06952,0.08544
65,2400,1.31607,0.34408,0.83117,0.50575,3.03331,0.08316,1.31798,0.34967,0.83505,0.51205,3.00511,0.08025,1.29471,0.35484,0.84817,0.51331,3.01512,0.08322,1.27459,0.37032,0.86729,0.51114,3.04712,0.08412,1.24342,0.39633,0.86596,0.54194,3.06448,0.08545
66,2400,1.31645,0.34413,0.86912,0.50558,2.93259,0.08343,1.23777,0.35008,0.83421,0.51225,3.01309,0.08022,1.31624,0.35495,0.83148,0.51364,3.02757,0.08321,1.19072,0.37118,0.82365,0.51169,3.12845,0.08409,1.19513,0.39712,0.84435,0.54226,2.98599,0.08555
67,2400,1.30765,0.34404,0.84062,0.50565,3.00182,0.08331,1.33263,0.34994,0.79626,0.51268,2.97115,0.08025,1.29776,0.35502,0.86468,0.51347,3.06225,0.08316,1.24504,0.37171,0.82166,0.51214,3.08074,0.08424,1.23958,0.39733,0.82985,0.54234,3.05477,0.08551
68,2400,1.31034,0.34398,0.85232,0.50572,2.99873,0.0833,1.26549,0.35042,0.80486,0.51296,2.97821,0.0804,1.31045,0.35538,0.8532,0.5135,3.05439,0.08312,1.2837,0.372,0.8518,0.51222,3.06138,0.08414,1.30205,0.39713,0.8187,0.5424,3.18341,0.08516
69,2400,1.33456,0.34431,0.86434,0.50569,2.99833,0.08335,1.30357,0.35047,0.78507,0.51344,3.01405,0.08046,1.32443,0.35533,0.85182,0.51368,2.99511,0.08319,1.33342,0.3721,0.85564,0.51235,2.96101,0.08449,1.28355,0.3972,0.76506,0.54355,3.16199,0.08491
70,2400,1.33674,0.34407,0.84832,0.50597,2.98893,0.0834,1.22446,0.35091,0.84026,0.51362,3.04078,0.08053,1.24106,0.35585,0.81745,0.51408,2.97236,0.08317,1.23357,0.37273,0.83137,0.51265,3.12489,0.08437,1.17216,0.3982,0.8048,0.54387,2.95932,0.08528
71,2400,1.31681,0.34407,0.86274,0.50587,3.02446,0.08343,1.32308,0.35095,0.79771,0.51413,3.03877,0.08068,1.26902,0.35602,0.85654,0.51411,3.03119,0.08318,1.22507,0.37323,0.83764,0.51296,3.04229,0.08444,1.27977,0.39856,0.76174,0.54457,2.99796,0.08536
72,2400,1.33415,0.34402,0.83299,0.50646,2.9769,0.08347,1.24011,0.35158,0.79174,0.51467,3.06562,0.08061,1.29585,0.35622,0.83023,0.51435,3.00938,0.08329,1.2475,0.37354,0.78266,0.51377,3.06894,0.08439,1.16583,0.39922,0.76566,0.54521,2.98667,0.08554
73,2400,1.31632,0.34418,0.85832,0.50666,3.00801,0.08347,1.23009,0.3521,0.81591,0.51487,3.02285,0.08057,1.24052,0.35667,0.90916,0.51395,3.03497,0.08331,1.26274,0.37397,0.8256,0.51387,3.11887,0.08432,1.21179,0.39963,0.80881,0.54552,3.19723,0.08542
74,2400,1.32946,0.34411,0.83897,0.50687,2.99035,0.08372,1.26616,0.35251,0.82866,0.5149,2.98258,0.08055,1.23537,0.35732,0.84485,0.51389,2.99296,0.08351,1.22095,0.37457,0.79303,0.51438,3.05776,0.08422,1.15274,0.40056,0.78588,0.54597,2.93061,0.08557
75,2400,1.29661,0.34419,0.82059,0.50703,2.94412,0.08391,1.24938,0.35274,0.79639,0.51542,3.02435,0.08049,1.24956,0.35783,0.8501,0.51419,3.0662,0.0835,1.25008,0.37502,0.84805,0.51439,3.05908,0.08425,1.22079,0.40081,0.81328,0.54611,3.02728,0.08566
76,2400,1.32656,0.34427,0.86349,0.5071,2.94494,0.08407,1.31656,0.35268,0.78989,0.51569,2.94003,0.08049,1.29209,0.35794,0.79474,0.51461,2.98367,0.08361,1.2236,0.37564,0.82086,0.51476,3.12295,0.08419,1.23287,0.40134,0.73474,0.54701,3.11879,0.08551
77,2400,1.30689,0.34428,0.85387,0.50744,3.00171,0.08408,1.26409,0.35304,0.79846,0.51604,2.97277,0.08046,1.26564,0.35821,0.7893,0.51512,3.02033,0.08353,1.18646,0.3764,0.7848,0.51532,3.04286,0.08427,1.26258,0.40152,0.77194,0.54738,3.04833,0.08551
78,2400,1.30696,0.34433,0.84752,0.50764,3.00166,0.08391,1.27978,0.35328,0.82368,0.51609,3.07825,0.08042,1.22677,0.35861,0.84492,0.51518,3.0323,0.08355,1.23849,0.37698,0.83871,0.51545,3.05633,0.08431,1.21751,0.40171,0.80609,0.54765,3.07604,0.0854
79,2400,1.33486,0.34416,0.82586,0.50768,2.95277,0.08394,1.29231,0.35331,0.78205,0.51659,2.97209,0.08048,1.2835,0.35879,0.81669,0.51556,2.99988,0.08376,1.2192,0.37744,0.77436,0.51609,2.95821,0.08456,1.25425,0.40191,0.78062,0.54798,3.09513,0.08532
80,2400,1.3207,0.3441,0.87324,0.50743,2.98523,0.08387,1.23735,0.3539,0.75547,0.51738,3.06724,0.0804,1.24428,0.35915,0.83802,0.51553,3.10715,0.08361,1.2669,0.3778,0.7787,0.51669,2.99994,0.08465,1.19231,0.40239,0.77101,0.54862,2.97509,0.0854
81,2400,1.26375,0.34452,0.82659,0.50763,2.96271,0.08404,1.24962,0.35425,0.79736,0.51775,3.0249,0.0803,1.26407,0.35927,0.87306,0.51532,3.01413,0.08364,1.25706,0.37822,0.79721,0.51722,3.03911,0.08475,1.22502,0.40262,0.783,0.54919,3.04881,0.08537
82,2400,1.29024,0.34454,0.8508,0.50756,2.99085,0.08409,1.31278,0.35435,0.80194,0.51795,3.05356,0.08024,1.28886,0.35943,0.84377,0.51544,3.017,0.08362,1.25981,0.37848,0.82466,0.51761,3.00976,0.08476,1.35114,0.40222,0.79673,0.54976,2.97257,0.08562
83,2400,1.30999,0.34446,0.83301,0.50761,2.97614,0.08408,1.23033,0.35481,0.78535,0.51832,3.00405,0.08028,1.2051,0.35999,0.77296,0.51614,3.02123,0.08355,1.18824,0.37922,0.82707,0.51776,3.0065,0.08496,1.16387,0.40284,0.75132,0.55039,2.98797,0.0857
84,2400,1.31279,0.34458,0.8312,0.50791,3.00383,0.084,1.22932,0.35529,0.75511,0.51884,3.05788,0.08028,1.32025,0.35992,0.80165,0.51645,3.06818,0.0834,1.24212,0.3794,0.74194,0.51866,3.14417,0.08477,1.20411,0.40325,0.70389,0.55145,3.12027,0.08564
85,2400,1.26932,0.34459,0.86738,0.50796,2.96811,0.08398,1.24439,0.35562,0.8137,0.51898,3.01986,0.08034,1.24302,0.3602,0.85002,0.51642,3.06379,0.08338,1.2528,0.3797,0.79944,0.51906,3.01839,0.08469,1.23998,0.40355,0.77279,0.55188,3.01773,0.08573
86,2400,1.24679,0.34469,0.81465,0.50841,2.91835,0.08397,1.31626,0.35557,0.84438,0.51909,3.00736,0.08038,1.3247,0.35994,0.8227,0.51637,3.07762,0.08332,1.26666,0.37983,0.78285,0.51962,3.09279,0.08462,1.25879,0.40352,0.86577,0.5518,3.03653,0.08571
87,2400,1.28053,0.34484,0.83009,0.50834,2.96146,0.08388,1.25771,0.35576,0.78915,0.51939,2.97753,0.08038,1.26518,0.36039,0.7759,0.51693,3.02807,0.08327,1.22084,0.38016,0.83637,0.51974,3.03494,0.0847,1.19453,0.404,0.76964,0.55239,2.97585,0.0859
