batch,n_tokens,loss_L0_age_bin,train_acc_L0_age_bin,loss_L0_gender,train_acc_L0_gender,loss_L0_star_sign,train_acc_L0_star_sign,loss_L6_age_bin,train_acc_L6_age_bin,loss_L6_gender,train_acc_L6_gender,loss_L6_star_sign,train_acc_L6_star_sign,loss_L12_age_bin,train_acc_L12_age_bin,loss_L12_gender,train_acc_L12_gender,loss_L12_star_sign,train_acc_L12_star_sign,loss_L18_age_bin,train_acc_L18_age_bin,loss_L18_gender,train_acc_L18_gender,loss_L18_star_sign,train_acc_L18_star_sign,loss_L24_age_bin,train_acc_L24_age_bin,loss_L24_gender,train_acc_L24_gender,loss_L24_star_sign,train_acc_L24_star_sign
339,2400,1.16168,0.35704,0.73431,0.51305,2.76855,0.08701,0.9741,0.40828,0.70802,0.54908,2.75434,0.08374,1.02107,0.39878,0.73372,0.54071,2.80847,0.08483,0.91165,0.43989,0.6979,0.56038,2.84007,0.08804,0.92167,0.4541,0.70722,0.58335,2.81864,0.09251
340,2400,1.22107,0.35698,0.72859,0.51312,2.80152,0.08701,1.08104,0.4084,0.70179,0.54914,2.78755,0.08374,1.08515,0.39891,0.69463,0.5408,2.815,0.08485,1.05867,0.43997,0.65234,0.56055,2.85027,0.08806,0.98685,0.45427,0.68766,0.58336,2.82999,0.0925
341,2400,1.16799,0.35703,0.74068,0.51312,2.80895,0.08699,1.06691,0.40856,0.73089,0.54914,2.75773,0.08377,1.07755,0.39906,0.71598,0.54083,2.83051,0.08486,1.03766,0.44014,0.67198,0.5607,2.92542,0.08801,1.01487,0.45446,0.69667,0.58339,2.77069,0.09251
342,2400,1.15504,0.3571,0.74196,0.51318,2.79998,0.08697,1.04842,0.40869,0.6813,0.54927,2.83668,0.08377,1.06979,0.39915,0.70699,0.54092,2.82823,0.08487,1.02459,0.44029,0.68037,0.56082,2.80156,0.08804,1.03876,0.45456,0.65883,0.58345,2.78939,0.09253
343,2400,1.16006,0.35714,0.7355,0.51323,2.7766,0.087,1.07996,0.40882,0.64335,0.54952,2.78555,0.0838,1.05013,0.39932,0.65909,0.54113,2.75842,0.0849,1.02347,0.4405,0.57996,0.56121,2.75513,0.08806,1.0376,0.45469,0.59959,0.58371,2.85306,0.09251
344,2400,1.19227,0.35717,0.74484,0.51321,2.77542,0.08703,1.05544,0.40895,0.71303,0.54952,2.75398,0.08383,1.10438,0.39939,0.72013,0.54112,2.72138,0.08495,1.049,0.44052,0.67934,0.5613,2.80294,0.08808,1.06448,0.45475,0.68807,0.5838,2.71949,0.09255
345,2400,1.14892,0.35728,0.74386,0.51326,2.74444,0.08706,0.9868,0.40924,0.66508,0.54973,2.80047,0.08389,1.01419,0.39962,0.71522,0.54115,2.7708,0.08501,0.92534,0.44083,0.66873,0.56141,2.72354,0.08817,0.92263,0.45498,0.65818,0.58392,2.74125,0.09263
346,2400,1.15537,0.35731,0.7401,0.51331,2.80277,0.08703,0.98234,0.40953,0.67067,0.54988,2.82701,0.08389,1.03878,0.3998,0.66752,0.5413,2.81145,0.085,0.91955,0.44115,0.63248,0.56164,2.8748,0.08815,0.87425,0.45534,0.62065,0.58413,2.76408,0.09269
347,2400,1.15575,0.35738,0.75599,0.51327,2.78102,0.08704,0.9912,0.40977,0.70026,0.54992,2.76154,0.08393,1.04329,0.39998,0.70721,0.54131,2.79526,0.08504,0.96047,0.44139,0.68536,0.56171,2.77108,0.08818,0.91487,0.45563,0.65346,0.58424,2.69619,0.09275
348,2400,1.16494,0.35743,0.73584,0.51329,2.79958,0.08707,1.07725,0.40981,0.66416,0.5501,2.81758,0.08395,1.07748,0.40003,0.67471,0.54144,2.84134,0.08501,1.05451,0.44142,0.67184,0.56182,2.83993,0.08819,0.99587,0.45572,0.6843,0.58428,2.86118,0.09272
