batch,n_tokens,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L6_age_bin,loss_L6_gender,loss_L6_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L18_age_bin,loss_L18_gender,loss_L18_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
0,2400,1.60602,1.0452,3.30018,1.67571,1.01716,3.16693,1.56705,1.02087,3.19641,1.53154,1.12393,3.19035,1.5807,1.00829,3.2943
1,2400,1.59074,1.01466,3.3081,1.58604,1.02055,3.20102,1.51965,1.11291,3.14801,1.56774,1.10943,3.36994,1.49258,1.11977,3.1958
2,2400,1.56019,0.98095,3.27821,1.551,0.96267,3.12648,1.49146,0.99276,3.30427,1.537,1.00236,3.24142,1.54571,1.02725,3.23958
3,2400,1.57982,1.03334,3.26573,1.48257,0.94341,3.11835,1.4629,0.93684,3.17588,1.49054,1.01351,3.27753,1.57947,0.97295,3.17807
4,2400,1.52728,0.99772,3.25841,1.53477,1.02295,3.17461,1.5241,0.97577,3.15088,1.47485,1.05667,3.28877,1.48769,1.0209,3.22975
5,2400,1.529,0.96817,3.27812,1.57021,0.93426,3.2266,1.46665,1.0984,3.19259,1.5503,1.0564,3.29295,1.61556,0.96822,3.1948
6,2400,1.49374,0.99806,3.1641,1.55681,0.95514,3.23105,1.46983,0.95911,3.25276,1.62584,1.00041,3.27824,1.52294,0.97811,3.20819
7,2400,1.49499,1.01928,3.19589,1.43973,0.94387,3.23032,1.52784,0.91506,3.18005,1.48957,0.9582,3.25307,1.5485,0.9374,3.10717
8,2400,1.45127,0.97503,3.19257,1.46565,0.89498,3.19983,1.45848,0.97018,3.11116,1.52295,1.01821,3.20813,1.54828,1.07815,3.38442
9,2400,1.522,0.98363,3.12569,1.40387,0.94411,3.13151,1.4928,0.9743,3.20677,1.49923,0.97188,3.18451,1.43521,0.88738,3.34387
10,1000,1.40835,0.98971,3.15114,1.4369,0.9829,3.25351,1.47488,0.9225,3.13852,1.38898,1.01831,3.24384,1.58347,1.13595,3.23832
