model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.3556,0.41247,0.40477,"{""0"": 0.24223208623969564, ""1"": 0.5360419397116645, ""2"": 0.4591460200316289}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.50372,0.52814,0.52493,"{""0"": 0.4810648668916385, ""1"": 0.5752250321474497}",0.53782,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.08193,0.08867,0.08602,"{""0"": 0.03642987249544627, ""1"": 0.11463414634146342, ""2"": 0.1769041769041769, ""3"": 0.07542579075425791, ""4"": 0.0781758957654723, ""5"": 0.08727272727272728, ""6"": 0.0663265306122449, ""7"": 0.1246376811594203, ""8"": 0.061016949152542375, ""9"": 0.0744047619047619, ""10"": 0.08333333333333333, ""11"": 0.08542713567839195}",,0.08057,0.09629,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.36856,0.45726,0.46108,"{""0"": 0.48636651870640457, ""1"": 0.3440366972477064, ""2"": 0.5413811280969952}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.50775,0.56037,0.55855,"{""0"": 0.5339332583427071, ""1"": 0.586798114016288}",0.58042,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.083,0.07304,0.07097,"{""0"": 0.04553734061930783, ""1"": 0.12195121951219512, ""2"": 0.08968058968058969, ""3"": 0.06326034063260341, ""4"": 0.09120521172638436, ""5"": 0.06181818181818182, ""6"": 0.03826530612244898, ""7"": 0.07246376811594203, ""8"": 0.06440677966101695, ""9"": 0.06547619047619048, ""10"": 0.06196581196581197, ""11"": 0.10050251256281408}",,0.06573,0.08096,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.379,0.49496,0.49732,"{""0"": 0.5389980976537729, ""1"": 0.3944954128440367, ""2"": 0.551396942540854}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.51687,0.57437,0.57342,"{""0"": 0.5658042744656918, ""1"": 0.5829404200600086}",0.60708,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08306,0.07523,0.07355,"{""0"": 0.061930783242258654, ""1"": 0.0975609756097561, ""2"": 0.08353808353808354, ""3"": 0.072992700729927, ""4"": 0.06188925081433225, ""5"": 0.09818181818181818, ""6"": 0.0663265306122449, ""7"": 0.08695652173913043, ""8"": 0.07457627118644068, ""9"": 0.05654761904761905, ""10"": 0.07692307692307693, ""11"": 0.06532663316582915}",,0.0677,0.08289,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.39436,0.49691,0.49537,"{""0"": 0.6017755231452124, ""1"": 0.4213630406290957, ""2"": 0.46758039008961516}",,,,
