model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.35145,0.39022,0.38812,"{""0"": 0.31642358909321494, ""1"": 0.4783748361730013, ""2"": 0.37585661570901424}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.49895,0.51258,0.50977,"{""0"": 0.4709411323584552, ""1"": 0.554222031718817}",0.51664,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.08268,0.08598,0.08313,"{""0"": 0.04189435336976321, ""1"": 0.11951219512195121, ""2"": 0.13513513513513514, ""3"": 0.058394160583941604, ""4"": 0.0749185667752443, ""5"": 0.10181818181818182, ""6"": 0.07653061224489796, ""7"": 0.1246376811594203, ""8"": 0.06440677966101695, ""9"": 0.0744047619047619, ""10"": 0.08974358974358974, ""11"": 0.07035175879396985}",,0.07805,0.09363,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.35444,0.4227,0.42441,"{""0"": 0.5022194039315155, ""1"": 0.34469200524246396, ""2"": 0.4211913547706906}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.50061,0.53133,0.52814,"{""0"": 0.4844394450693663, ""1"": 0.5782254607801115}",0.53711,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.08262,0.07237,0.0703,"{""0"": 0.051001821493624776, ""1"": 0.10975609756097561, ""2"": 0.07248157248157248, ""3"": 0.06326034063260341, ""4"": 0.08469055374592833, ""5"": 0.07636363636363637, ""6"": 0.04591836734693878, ""7"": 0.07246376811594203, ""8"": 0.06779661016949153, ""9"": 0.0744047619047619, ""10"": 0.05982905982905983, ""11"": 0.09045226130653267}",,0.06508,0.07988,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.3522,0.41543,0.41646,"{""0"": 0.4375396322130628, ""1"": 0.3859764089121887, ""2"": 0.422772799156563}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.50458,0.53599,0.53465,"{""0"": 0.5181852268466441, ""1"": 0.5537933990570082}",0.55446,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08274,0.0741,0.07156,"{""0"": 0.07285974499089254, ""1"": 0.1024390243902439, ""2"": 0.06265356265356266, ""3"": 0.06082725060827251, ""4"": 0.06188925081433225, ""5"": 0.10909090909090909, ""6"": 0.07142857142857142, ""7"": 0.08985507246376812, ""8"": 0.07796610169491526, ""9"": 0.05654761904761905, ""10"": 0.06837606837606838, ""11"": 0.05527638190954774}",,0.0668,0.08171,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.37128,0.47428,0.47047,"{""0"": 0.5827520608750792, ""1"": 0.43577981651376146, ""2"": 0.40432261465471797}",,,,
