model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.34229,0.34109,0.34141,"{""0"": 0.3595434369055168, ""1"": 0.3020969855832241, ""2"": 0.36162361623616235}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.49723,0.48882,0.48792,"{""0"": 0.47956505436820396, ""1"": 0.4980711530218603}",0.49073,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.08289,0.08403,0.08223,"{""0"": 0.06557377049180328, ""1"": 0.07317073170731707, ""2"": 0.11179361179361179, ""3"": 0.0535279805352798, ""4"": 0.06514657980456026, ""5"": 0.07272727272727272, ""6"": 0.11734693877551021, ""7"": 0.1246376811594203, ""8"": 0.07796610169491526, ""9"": 0.09821428571428571, ""10"": 0.08547008547008547, ""11"": 0.06281407035175879}",,0.07621,0.09164,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.33889,0.37494,0.36972,"{""0"": 0.49461001902346224, ""1"": 0.3302752293577982, ""2"": 0.2999472851871376}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.49443,0.49337,0.49139,"{""0"": 0.463817022872141, ""1"": 0.5229318474067723}",0.48462,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.08264,0.07217,0.06956,"{""0"": 0.061930783242258654, ""1"": 0.08536585365853659, ""2"": 0.06633906633906633, ""3"": 0.058394160583941604, ""4"": 0.09771986970684039, ""5"": 0.08363636363636363, ""6"": 0.04591836734693878, ""7"": 0.06666666666666667, ""8"": 0.08813559322033898, ""9"": 0.08630952380952381, ""10"": 0.042735042735042736, ""11"": 0.0829145728643216}",,0.065,0.07982,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.32585,0.29239,0.2923,"{""0"": 0.2707672796448954, ""1"": 0.30013106159895153, ""2"": 0.3062730627306273}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.49243,0.46787,0.46721,"{""0"": 0.463817022872141, ""1"": 0.47192456065152166}",0.45877,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08273,0.07286,0.06927,"{""0"": 0.08925318761384335, ""1"": 0.07317073170731707, ""2"": 0.04914004914004914, ""3"": 0.06082725060827251, ""4"": 0.04560260586319218, ""5"": 0.10909090909090909, ""6"": 0.08163265306122448, ""7"": 0.08985507246376812, ""8"": 0.10508474576271186, ""9"": 0.05952380952380952, ""10"": 0.06837606837606838, ""11"": 0.04271356783919598}",,0.06498,0.08003,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.34544,0.39672,0.39518,"{""0"": 0.4299302473050095, ""1"": 0.41284403669724773, ""2"": 0.3473906167633105}",,,,
Qwen/Qwen2.5-0.5B,12,gender,0.49713,0.48793,0.48767,"{""0"": 0.4979377577802775, ""1"": 0.4779254179168453}",0.47782,,,
Qwen/Qwen2.5-0.5B,12,star_sign,0.08324,0.08231,0.07881,"{""0"": 0.056466302367941715, ""1"": 0.07560975609756097, ""2"": 0.10687960687960688, ""3"": 0.1070559610705596, ""4"": 0.10423452768729642, ""5"": 0.13090909090909092, ""6"": 0.05102040816326531, ""7"": 0.03188405797101449, ""8"": 0.09491525423728814, ""9"": 0.09821428571428571, ""10"": 0.057692307692307696, ""11"": 0.0728643216080402}",,0.07451,0.09016,False
Qwen/Qwen2.5-0.5B,16,age_bin,0.32867,0.30962,0.30834,"{""0"": 0.22954977805960686, ""1"": 0.34665792922673655, ""2"": 0.3526620980495519}",,,,
Qwen/Qwen2.5-0.5B,16,gender,0.5069,0.52307,0.5228,"{""0"": 0.5339332583427071, ""1"": 0.5122160308615517}",0.52659,,,
