batch,n_tokens,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L6_age_bin,loss_L6_gender,loss_L6_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L18_age_bin,loss_L18_gender,loss_L18_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
18,2400,1.40035,0.95071,3.09202,1.36259,0.89393,3.14011,1.38377,0.90204,3.12122,1.40097,0.92681,3.18376,1.34099,0.87166,3.24891
19,2400,1.41128,0.94343,3.0422,1.41722,0.89646,3.18132,1.40267,0.91372,3.07351,1.47179,0.95406,3.19799,1.44648,0.91423,3.24123
20,2400,1.44068,0.96739,3.10582,1.44935,0.89443,3.14036,1.37454,0.97362,3.13089,1.35564,0.91318,3.24573,1.37877,0.91566,3.03763
21,2400,1.42287,0.99655,3.09311,1.38317,0.9188,3.02999,1.36052,0.88459,3.10567,1.39463,0.90905,3.14235,1.25481,0.90482,3.20177
22,2400,1.40505,0.91637,3.05196,1.41241,0.95335,3.14021,1.4178,0.89883,3.111,1.50369,0.95768,3.17493,1.4465,0.88642,3.28252
23,2400,1.39371,0.94786,3.1053,1.39755,0.85008,3.11645,1.35656,0.9236,3.13066,1.46625,0.94374,3.14912,1.33806,0.88874,3.35484
24,2400,1.38753,0.94794,3.10514,1.38326,0.89584,3.06147,1.43796,0.96507,3.14034,1.32288,0.94079,3.19255,1.35793,0.86,3.2278
25,2400,1.41133,0.95889,3.10887,1.37331,0.95616,3.10461,1.41839,0.89813,3.14091,1.43541,0.88728,3.16166,1.36814,0.92124,3.11001
26,2400,1.39564,0.91429,3.13785,1.37626,0.90398,3.0641,1.31136,0.90072,3.13377,1.35455,0.91405,3.18869,1.41612,0.94167,3.28907
27,2400,1.41753,0.90843,3.05845,1.40163,0.91053,3.11839,1.39484,0.87094,3.12534,1.40383,0.9156,3.21976,1.29737,0.82835,3.05916
28,2400,1.36352,0.92236,3.05802,1.40201,0.87741,3.07783,1.36396,0.9074,3.0879,1.41092,0.9522,3.12401,1.47722,0.9209,3.13064
29,2400,1.37642,0.92265,3.09213,1.34639,0.87362,3.0513,1.33039,0.92242,3.10496,1.28081,0.98723,3.11481,1.21467,0.83959,3.16508
30,2400,1.39473,0.89329,3.09053,1.3828,0.86181,3.09438,1.3833,0.97763,3.07679,1.45075,0.97187,3.13038,1.39867,0.88897,3.25268
31,2400,1.37252,0.916,3.04881,1.38306,0.8962,3.04028,1.36936,0.84247,3.07476,1.33994,0.87358,3.29153,1.2111,0.82866,3.0496
32,2400,1.38206,0.93607,3.08431,1.39607,0.87679,2.98252,1.27075,0.93051,3.06094,1.30342,0.91164,3.18879,1.2614,0.8817,3.26118
33,2400,1.39016,0.89253,3.04746,1.35725,0.92034,3.04519,1.35537,0.93627,3.11473,1.43894,0.95058,3.20923,1.37449,0.9038,3.10935
34,2400,1.39112,0.90111,3.0797,1.36076,0.84112,2.97995,1.35436,0.8693,3.1419,1.32091,0.87901,3.12957,1.39858,0.86632,3.1455
35,2400,1.36968,0.90181,3.03018,1.38958,0.85081,3.09102,1.36533,0.86999,3.1172,1.37678,0.89278,3.13148,1.50841,0.87698,3.17449
36,2400,1.36979,0.88444,3.01112,1.33279,0.87215,3.07571,1.35777,0.926,3.11881,1.32468,0.88701,3.07263,1.33706,0.86673,3.12601
37,2400,1.36569,0.89855,2.98739,1.37351,0.88785,3.09668,1.37512,0.92415,3.01494,1.33098,0.89537,3.08522,1.28309,0.93023,3.09027
38,2400,1.37861,0.91638,3.02309,1.33031,0.81422,3.13503,1.32813,0.89261,3.10548,1.31442,0.85453,3.14476,1.34102,0.78703,3.08918
39,2400,1.41892,0.91317,3.04999,1.3619,0.86353,3.02512,1.40695,0.96296,3.10137,1.37724,0.91183,3.19778,1.36511,0.8684,3.18771
40,2400,1.35704,0.9091,3.01015,1.29496,0.86298,3.05095,1.37974,0.90382,3.09079,1.36637,0.91297,3.0388,1.35822,0.87617,3.09223
41,2400,1.42618,0.89653,3.07323,1.24386,0.85546,3.09052,1.33,0.87781,3.08989,1.27291,0.86055,3.0938,1.26976,0.82737,3.1519
42,2400,1.37154,0.90552,3.04893,1.33798,0.80058,3.04327,1.32913,0.90596,3.06802,1.26721,0.86363,3.13722,1.31078,0.88062,3.20768
43,2400,1.41545,0.87159,3.1057,1.30011,0.89181,3.02561,1.23527,0.82219,3.08102,1.26009,0.86317,3.13263,1.15149,0.9551,3.21859
44,2400,1.3554,0.87669,3.06512,1.29657,0.88497,3.16623,1.33181,0.82408,3.04774,1.31864,0.88685,3.19448,1.28828,0.85889,3.08526
45,2400,1.35892,0.8853,3.06799,1.30235,0.86826,3.06409,1.24575,0.8935,3.10687,1.20318,0.83045,3.12424,1.13726,0.90866,3.04992
46,2400,1.34045,0.87071,3.05603,1.33283,0.86437,3.0483,1.30922,0.93689,3.1756,1.36461,0.90168,3.13907,1.3611,0.86214,3.13074
47,2400,1.36862,0.89111,3.03759,1.28057,0.85299,3.04178,1.3602,0.8835,3.18385,1.35695,0.85893,3.11906,1.33465,0.77425,3.27033
48,2400,1.40101,0.89687,3.00134,1.29029,0.85975,3.00446,1.30591,0.86829,3.02723,1.31387,0.8818,3.14265,1.31183,0.9044,3.15621
49,2400,1.34867,0.88631,2.99922,1.30151,0.88424,3.00961,1.38335,0.88355,3.0038,1.2941,0.87199,3.1059,1.26669,0.86953,3.0613
50,2400,1.32273,0.87749,2.98082,1.33078,0.85655,3.01719,1.34872,0.88055,3.04956,1.21418,0.80281,3.17224,1.22505,0.77645,3.02939
51,2400,1.34465,0.89083,3.05271,1.29898,0.81303,3.01742,1.32445,0.90728,3.1037,1.32775,0.8691,3.16191,1.18852,1.00382,3.10795
52,2400,1.37033,0.87825,3.02483,1.25738,0.81253,3.06764,1.2672,0.85004,3.03126,1.19224,0.87955,3.19976,1.27988,0.75265,3.16531
53,2400,1.33551,0.8704,3.01217,1.263,0.85951,3.02513,1.37241,0.8911,3.05337,1.31209,0.88933,3.15098,1.22784,0.84173,3.06056
54,2400,1.36529,0.86958,3.00733,1.30546,0.84957,3.0263,1.30656,0.83975,2.99038,1.30723,0.91479,3.20427,1.31042,0.83306,3.17118
55,2400,1.32382,0.82699,2.9914,1.30693,0.79308,3.0085,1.31868,0.83295,2.98948,1.33583,0.83372,3.20263,1.29253,0.83892,3.22502
56,2400,1.38261,0.87347,3.004,1.31546,0.85033,3.0877,1.31603,0.86681,3.11664,1.33439,0.87819,3.14775,1.33005,0.89111,3.02537
57,2400,1.31705,0.89212,3.04257,1.29381,0.85783,3.09527,1.23522,0.90582,3.04973,1.33011,0.91265,3.10116,1.24178,0.91439,3.04584
58,2400,1.28715,0.88141,3.06615,1.27177,0.85348,3.11492,1.29684,0.89045,2.99914,1.28802,0.80321,3.14631,1.18433,0.81713,3.06053
59,2400,1.33291,0.86217,2.99511,1.27173,0.84417,2.96885,1.26179,0.85648,3.10513,1.15937,0.81083,3.00737,1.09569,0.86894,3.05677
60,2400,1.36878,0.8914,3.01115,1.32196,0.84355,2.98535,1.32981,0.82797,3.06705,1.23351,0.87932,3.11316,1.22045,0.78436,3.05756
61,2400,1.29602,0.86265,2.98158,1.3204,0.80935,3.03202,1.28703,0.83478,3.00598,1.23476,0.78737,3.14784,1.22313,0.74232,3.02015
62,2400,1.31596,0.83587,2.99529,1.33858,0.81432,3.06095,1.25306,0.86586,2.97574,1.22174,0.80076,3.07034,1.17705,0.79293,3.08359
63,2400,1.32053,0.86594,3.02748,1.19295,0.83172,3.04928,1.26342,0.85808,3.06897,1.18912,0.84011,3.13785,1.20147,0.77875,3.0644
64,2400,1.33868,0.86749,2.95668,1.2799,0.82827,2.99496,1.3135,0.82449,3.11097,1.3286,0.80692,3.13861,1.269,0.81517,3.17545
65,2400,1.32723,0.84474,2.96204,1.29535,0.80646,2.99719,1.30392,0.85928,3.0443,1.28934,0.84269,3.11967,1.19941,0.81467,3.0506
66,2400,1.31966,0.88751,3.00394,1.28282,0.84328,3.06314,1.24441,0.85829,3.0755,1.26047,0.88566,3.10437,1.24678,0.92251,3.10852
67,2400,1.31763,0.86227,3.02844,1.20224,0.86545,3.0888,1.27553,0.84513,3.10505,1.25295,0.87345,3.18198,1.24831,0.84416,2.96645
68,2400,1.32908,0.85997,2.99535,1.28855,0.85023,3.01467,1.29618,0.87934,3.0458,1.28169,0.8898,3.10827,1.27138,0.84606,3.04737
69,2400,1.27893,0.83682,3.00491,1.24165,0.80041,3.00495,1.2511,0.80983,3.04463,1.1617,0.83683,3.13607,1.2057,0.78462,3.08967
70,2400,1.30053,0.85386,2.96115,1.24884,0.81464,3.00588,1.32929,0.87785,3.02829,1.23713,0.85339,3.05345,1.09965,0.7548,3.20312
71,2400,1.31202,0.84539,3.04052,1.31133,0.86993,2.99597,1.29646,0.82921,2.99476,1.22883,0.84641,3.04753,1.2123,0.8032,3.05487
72,2400,1.30396,0.84293,2.92003,1.25034,0.82434,3.04209,1.29009,0.81843,3.08771,1.21174,0.82935,3.09681,1.18959,0.80828,3.03488
73,2400,1.32698,0.84121,2.98512,1.25915,0.82711,3.03478,1.33144,0.93492,3.05311,1.2294,0.87034,3.02684,1.18859,0.86869,3.03629
74,2400,1.32076,0.84486,2.98345,1.27649,0.75844,3.03899,1.28807,0.82003,2.99236,1.2423,0.76928,3.03297,1.19558,0.74183,3.00032
75,2400,1.31223,0.84987,2.95974,1.2367,0.83693,3.04412,1.24671,0.81441,3.0649,1.27425,0.75788,3.11433,1.24243,0.78654,3.02204
76,2400,1.28507,0.85583,2.98363,1.2614,0.82689,2.98682,1.21624,0.88237,2.96658,1.2615,0.82218,3.02679,1.22486,0.84464,3.00563
77,2400,1.32169,0.82802,2.96751,1.25795,0.85234,3.022,1.2785,0.85817,2.98213,1.30502,0.82429,3.06431,1.17459,0.83008,3.12277
78,2400,1.31529,0.83012,2.9823,1.2502,0.83148,3.00534,1.2525,0.86027,2.99176,1.25074,0.84802,2.98744,1.20325,0.78477,3.03603
79,2400,1.31593,0.83344,2.97041,1.18922,0.81536,3.00129,1.23251,0.82089,3.05233,1.15646,0.8319,3.0767,1.15298,0.73906,3.0452
80,2400,1.30128,0.82596,2.98704,1.20445,0.80133,2.99478,1.26075,0.81674,3.01645,1.23272,0.79538,3.07108,1.20337,0.82551,3.09342
81,2400,1.31042,0.82672,3.00959,1.23874,0.83087,2.9741,1.28465,0.80224,3.07478,1.19357,0.7938,3.00578,1.1265,0.80598,3.12786
82,2400,1.30896,0.85753,2.96296,1.18436,0.83739,3.0534,1.25638,0.81449,2.99639,1.14812,0.78904,2.9314,1.04322,0.77019,2.93005
83,2400,1.31883,0.84544,3.01548,1.28035,0.8172,3.02234,1.30486,0.86197,3.03979,1.24846,0.88298,3.03795,1.23742,0.87808,3.08555
84,2400,1.30526,0.83037,2.98373,1.23348,0.7945,3.00504,1.26777,0.81156,2.94505,1.16754,0.83768,3.08926,1.17365,0.7919,3.04503
85,2400,1.3243,0.85137,2.96698,1.26347,0.80721,2.97007,1.28867,0.84389,3.07153,1.24628,0.82456,3.10113,1.24384,0.90193,3.01219
86,2400,1.29944,0.82525,2.90477,1.291,0.81577,3.01184,1.32715,0.82628,3.00325,1.24658,0.84185,3.08186,1.17089,0.81662,3.1349
87,2400,1.28098,0.82307,2.94503,1.24562,0.81328,2.99152,1.24818,0.8672,3.08664,1.25236,0.74745,3.07884,1.26841,0.76674,3.11877
88,2400,1.2757,0.85009,2.96324,1.21239,0.81652,3.04701,1.22511,0.83119,2.98601,1.19008,0.80565,3.03837,1.14378,0.77513,2.95269
89,2400,1.29566,0.82025,2.90658,1.24751,0.84637,2.98281,1.24428,0.85982,3.00063,1.25911,0.82575,3.09301,1.24348,0.85703,2.97464
90,2400,1.29052,0.82022,2.97583,1.28246,0.85105,3.03234,1.31539,0.84237,3.02065,1.32477,0.8489,2.98356,1.3771,0.81088,3.01179
91,2400,1.33645,0.84626,3.00201,1.24987,0.79833,2.96363,1.21713,0.82521,2.97872,1.11686,0.77614,3.07847,1.08616,0.79864,3.03826
92,2400,1.30158,0.83371,2.9451,1.24754,0.78498,3.00894,1.28851,0.83621,3.00625,1.25746,0.78353,3.08395,1.18205,0.80492,3.00758
93,2400,1.28146,0.84286,2.96954,1.22172,0.79492,3.00092,1.30874,0.85633,2.96881,1.28001,0.8198,2.97394,1.34901,0.81946,3.0382
94,2400,1.32096,0.83669,3.00461,1.201,0.78005,2.95322,1.21609,0.81927,2.99651,1.15381,0.7808,3.11778,1.1438,0.80592,3.01843
95,2400,1.33309,0.81809,2.89537,1.195,0.77729,2.96217,1.22032,0.76974,2.94763,1.13753,0.75637,3.00096,1.11539,0.75791,3.06192
96,2400,1.28929,0.79823,2.98989,1.25648,0.7913,2.99964,1.2324,0.81774,3.05402,1.2676,0.75513,3.01922,1.28108,0.72255,2.96973
97,2400,1.27514,0.80864,2.90724,1.24826,0.78189,3.02503,1.26561,0.78831,3.03537,1.29183,0.76781,3.03452,1.18814,0.79451,2.96199
98,2400,1.26651,0.82364,2.93556,1.18788,0.7973,2.99723,1.2877,0.8587,2.99977,1.22248,0.81237,2.97072,1.14841,0.80176,3.08973
99,2400,1.27766,0.84694,2.97858,1.25313,0.82172,2.96108,1.22344,0.82775,2.95074,1.17967,0.81547,2.88952,1.16134,0.85363,3.14203
100,2400,1.26282,0.81748,2.93938,1.2311,0.79639,3.03535,1.23383,0.84392,2.96161,1.17446,0.82866,3.04819,1.20939,0.8609,2.93162
101,2400,1.30871,0.8353,2.94415,1.26566,0.84585,2.89718,1.23077,0.81123,2.98139,1.19159,0.82084,3.05023,1.27119,0.85527,3.01305
102,2400,1.27176,0.82936,2.95684,1.22639,0.77649,2.95795,1.18109,0.81388,2.95682,1.18237,0.83263,2.97651,1.16612,0.80766,2.90913
103,2400,1.29388,0.80793,2.93153,1.25109,0.80379,2.99079,1.24021,0.77048,3.00719,1.20037,0.75444,3.01604,1.20502,0.77617,3.03048
104,400,1.27683,0.75572,2.9024,1.39254,0.70814,2.96292,1.31139,0.78215,2.94642,1.26942,0.846,2.94568,1.4274,0.60405,2.89525
