batch,n_tokens,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L6_age_bin,loss_L6_gender,loss_L6_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L18_age_bin,loss_L18_gender,loss_L18_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
0,2400,1.65019,1.03482,3.311,1.55122,1.01793,3.11603,1.47405,1.01879,3.18423,1.52947,1.07304,3.25873,1.57702,1.11244,3.30131
1,2400,1.6125,1.0157,3.27975,1.56658,1.04088,3.15488,1.5245,0.99911,3.13235,1.6192,1.0901,3.35837,1.51525,1.02512,3.26591
2,2400,1.53302,1.04328,3.22936,1.58865,0.9842,3.2608,1.56882,1.0181,3.15734,1.57742,0.98442,3.2832,1.61198,0.98964,3.24912
3,2400,1.54038,1.05468,3.22511,1.58727,0.94801,3.12409,1.47545,0.95672,3.13767,1.57274,1.09601,3.23757,1.66782,0.99015,3.37223
4,2400,1.52839,1.02921,3.20208,1.56837,0.93681,3.18849,1.51313,1.0879,3.13432,1.57372,1.02273,3.26461,1.44683,0.97517,3.25429
5,2400,1.52339,0.99811,3.14258,1.48233,1.00285,3.13833,1.41471,1.01346,3.18448,1.54608,1.0322,3.34448,1.42248,0.87652,3.25042
6,2400,1.48819,1.03205,3.18777,1.5317,0.96635,3.20939,1.48323,1.03176,3.14746,1.45821,1.02944,3.18966,1.56485,0.92996,3.22402
7,2400,1.48019,0.92097,3.15367,1.51575,0.97881,3.17341,1.48104,1.01443,3.21433,1.50076,1.04429,3.31856,1.44975,0.95196,3.17223
8,2400,1.45706,0.97778,3.19492,1.501,0.94482,3.12175,1.49658,0.97132,3.16506,1.52085,0.98525,3.22029,1.47544,0.99577,3.17283
9,2400,1.48906,0.96434,3.13864,1.48057,0.95974,3.12967,1.48712,0.99298,3.14982,1.44444,0.96479,3.15317,1.51551,0.93858,3.34262
10,2400,1.48776,0.98272,3.18684,1.44382,0.93502,3.13047,1.45887,0.93285,3.14887,1.49768,1.06835,3.17448,1.48151,0.89065,3.12641
11,2400,1.47643,0.96387,3.16137,1.51389,0.92896,3.14232,1.49415,0.98154,3.17685,1.51806,1.03181,3.06919,1.46531,0.90683,3.32321
12,2400,1.43316,0.97446,3.14247,1.4031,0.94108,3.18936,1.46132,0.96429,3.1793,1.46344,0.92159,3.15661,1.43149,0.8095,3.1726
13,2400,1.50018,0.97395,3.1293,1.44236,0.93723,3.16528,1.4955,0.92356,3.12132,1.54438,1.01557,3.24315,1.6116,0.94307,3.27445
14,2400,1.44752,0.95218,3.11756,1.40021,0.91898,3.10557,1.42219,1.0119,3.13722,1.45563,0.98885,3.06153,1.43953,0.95386,3.2886
15,2400,1.42952,0.95595,3.08556,1.42751,0.90129,3.06185,1.3327,0.97284,3.14769,1.48228,0.95135,3.18559,1.49423,0.93333,3.25465
16,2400,1.46958,0.93311,3.11436,1.36674,0.91839,3.10886,1.39658,0.96519,3.15537,1.50556,0.94184,3.23228,1.35265,0.93041,3.11639
17,2400,1.42501,0.92147,3.12735,1.44169,0.97012,3.13537,1.38282,0.96003,3.11509,1.38655,0.96395,3.19666,1.4558,0.89149,3.09033
