model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.33462,0.33538,0.33474,"{""0"": 0.3722257450856056, ""1"": 0.2601572739187418, ""2"": 0.37374802319451766}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.498,0.48681,0.48347,"{""0"": 0.43869516310461193, ""1"": 0.5349335619374196}",0.48454,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.08312,0.08365,0.07999,"{""0"": 0.0692167577413479, ""1"": 0.1073170731707317, ""2"": 0.08230958230958231, ""3"": 0.043795620437956206, ""4"": 0.05211726384364821, ""5"": 0.09454545454545454, ""6"": 0.09948979591836735, ""7"": 0.13333333333333333, ""8"": 0.07457627118644068, ""9"": 0.10714285714285714, ""10"": 0.08974358974358974, ""11"": 0.05025125628140704}",,0.07583,0.09132,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.33782,0.37076,0.36324,"{""0"": 0.5129993658845909, ""1"": 0.3040629095674967, ""2"": 0.2952029520295203}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.49423,0.48592,0.48573,"{""0"": 0.4990626171728534, ""1"": 0.4727818259751393}",0.47902,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.08273,0.07297,0.0704,"{""0"": 0.0692167577413479, ""1"": 0.08536585365853659, ""2"": 0.06265356265356266, ""3"": 0.0535279805352798, ""4"": 0.08469055374592833, ""5"": 0.08363636363636363, ""6"": 0.04081632653061224, ""7"": 0.06666666666666667, ""8"": 0.0847457627118644, ""9"": 0.10119047619047619, ""10"": 0.057692307692307696, ""11"": 0.08542713567839195}",,0.0658,0.08048,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.3228,0.28178,0.28094,"{""0"": 0.2682308180088776, ""1"": 0.30930537352555704, ""2"": 0.26779124934106485}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.49081,0.45228,0.45124,"{""0"": 0.43907011623547054, ""1"": 0.4654950707243892}",0.44582,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08273,0.0741,0.06949,"{""0"": 0.09289617486338798, ""1"": 0.07317073170731707, ""2"": 0.03931203931203931, ""3"": 0.046228710462287104, ""4"": 0.06188925081433225, ""5"": 0.13454545454545455, ""6"": 0.07397959183673469, ""7"": 0.08405797101449275, ""8"": 0.09830508474576272, ""9"": 0.05357142857142857, ""10"": 0.06837606837606838, ""11"": 0.06281407035175879}",,0.06633,0.08175,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.3436,0.37983,0.37997,"{""0"": 0.38110336081166774, ""1"": 0.38990825688073394, ""2"": 0.3684765419082762}",,,,
Qwen/Qwen2.5-0.5B,12,gender,0.49486,0.47955,0.47857,"{""0"": 0.4683164604424447, ""1"": 0.49078439777111016}",0.46929,,,
Qwen/Qwen2.5-0.5B,12,star_sign,0.08311,0.08292,0.07983,"{""0"": 0.07832422586520947, ""1"": 0.06829268292682927, ""2"": 0.10073710073710074, ""3"": 0.10462287104622871, ""4"": 0.11074918566775244, ""5"": 0.13090909090909092, ""6"": 0.05102040816326531, ""7"": 0.04057971014492753, ""8"": 0.09152542372881356, ""9"": 0.09523809523809523, ""10"": 0.057692307692307696, ""11"": 0.06532663316582915}",,0.07494,0.09065,False
Qwen/Qwen2.5-0.5B,16,age_bin,0.32386,0.29635,0.29524,"{""0"": 0.20798985415345592, ""1"": 0.33682830930537355, ""2"": 0.34422772799156565}",,,,
