model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.35945,0.38224,0.29237,"{""0"": 0.028535193405199746, ""1"": 0.8630406290956749, ""2"": 0.2551396942540854}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.51,0.5714,0.53893,"{""0"": 0.3408323959505062, ""1"": 0.8019717102443206}",0.60563,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.09234,0.08089,0.06239,"{""0"": 0.0, ""1"": 0.12195121951219512, ""2"": 0.4742014742014742, ""3"": 0.024330900243309004, ""4"": 0.03257328990228013, ""5"": 0.007272727272727273, ""6"": 0.002551020408163265, ""7"": 0.043478260869565216, ""8"": 0.013559322033898305, ""9"": 0.044642857142857144, ""10"": 0.08547008547008547, ""11"": 0.12060301507537688}",,0.07481,0.08717,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.42136,0.4874,0.48646,"{""0"": 0.3227647431832594, ""1"": 0.6186107470511141, ""2"": 0.5208223510806537}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.53733,0.6035,0.59871,"{""0"": 0.536182977127859, ""1"": 0.6708101157308187}",0.63895,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.08729,0.08347,0.06995,"{""0"": 0.009107468123861567, ""1"": 0.14878048780487804, ""2"": 0.4176904176904177, ""3"": 0.031630170316301706, ""4"": 0.05863192182410423, ""5"": 0.014545454545454545, ""6"": 0.015306122448979591, ""7"": 0.034782608695652174, ""8"": 0.02711864406779661, ""9"": 0.03869047619047619, ""10"": 0.08974358974358974, ""11"": 0.11557788944723618}",,0.07638,0.09003,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.47524,0.57159,0.57731,"{""0"": 0.5098287888395688, ""1"": 0.6166448230668414, ""2"": 0.588297311544544}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.57288,0.63103,0.62895,"{""0"": 0.6006749156355455, ""1"": 0.6613801971710245}",0.67984,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08669,0.08526,0.07555,"{""0"": 0.007285974499089253, ""1"": 0.14878048780487804, ""2"": 0.29975429975429974, ""3"": 0.043795620437956206, ""4"": 0.05537459283387622, ""5"": 0.03272727272727273, ""6"": 0.015306122448979591, ""7"": 0.09565217391304348, ""8"": 0.02711864406779661, ""9"": 0.047619047619047616, ""10"": 0.1517094017094017, ""11"": 0.09798994974874371}",,0.07809,0.09256,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.46958,0.55498,0.55977,"{""0"": 0.5294863665187064, ""1"": 0.5982961992136304, ""2"": 0.5371639430680021}",,,,
Qwen/Qwen2.5-0.5B,12,gender,0.56142,0.61115,0.6082,"{""0"": 0.5669291338582677, ""1"": 0.6553793399057009}",0.65246,,,
Qwen/Qwen2.5-0.5B,12,star_sign,0.08672,0.08351,0.07631,"{""0"": 0.01092896174863388, ""1"": 0.07560975609756097, ""2"": 0.32923832923832924, ""3"": 0.07785888077858881, ""4"": 0.09120521172638436, ""5"": 0.03272727272727273, ""6"": 0.017857142857142856, ""7"": 0.06086956521739131, ""8"": 0.03728813559322034, ""9"": 0.06547619047619048, ""10"": 0.10256410256410256, ""11"": 0.10050251256281408}",,0.07576,0.09084,False
Qwen/Qwen2.5-0.5B,16,age_bin,0.52001,0.59202,0.59725,"{""0"": 0.5884590995561192, ""1"": 0.5334207077326344, ""2"": 0.654190827622562}",,,,
Qwen/Qwen2.5-0.5B,16,gender,0.59069,0.63703,0.63495,"{""0"": 0.6066741657292838, ""1"": 0.6673810544363481}",0.69546,,,
Qwen/Qwen2.5-0.5B,16,star_sign,0.08606,0.08178,0.07732,"{""0"": 0.012750455373406194, ""1"": 0.13414634146341464, ""2"": 0.16584766584766586, ""3"": 0.05596107055961071, ""4"": 0.06514657980456026, ""5"": 0.07272727272727272, ""6"": 0.04591836734693878, ""7"": 0.05507246376811594, ""8"": 0.05084745762711865, ""9"": 0.06547619047619048, ""10"": 0.12179487179487179, ""11"": 0.135678391959799}",,0.07373,0.08943,False
Qwen/Qwen2.5-0.5B,20,age_bin,0.52914,0.59256,0.59737,"{""0"": 0.5935320228281548, ""1"": 0.4941022280471822, ""2"": 0.6900369003690037}",,,,
Qwen/Qwen2.5-0.5B,20,gender,0.59072,0.63464,0.63219,"{""0"": 0.5980502437195351, ""1"": 0.6712387483926275}",0.68208,,,
Qwen/Qwen2.5-0.5B,20,star_sign,0.08934,0.09031,0.08556,"{""0"": 0.02185792349726776, ""1"": 0.08536585365853659, ""2"": 0.2665847665847666, ""3"": 0.11435523114355231, ""4"": 0.08469055374592833, ""5"": 0.03272727272727273, ""6"": 0.04336734693877551, ""7"": 0.057971014492753624, ""8"": 0.06440677966101695, ""9"": 0.02976190476190476, ""10"": 0.16452991452991453, ""11"": 0.11809045226130653}",,0.08281,0.09842,False
Qwen/Qwen2.5-0.5B,24,age_bin,0.52912,0.59579,0.60054,"{""0"": 0.6068484464172479, ""1"": 0.5026212319790302, ""2"": 0.6779124934106484}",,,,
Qwen/Qwen2.5-0.5B,24,gender,0.60223,0.63735,0.63498,"{""0"": 0.6021747281589801, ""1"": 0.672524646378054}",0.69431,,,
Qwen/Qwen2.5-0.5B,24,star_sign,0.08434,0.07943,0.07694,"{""0"": 0.023679417122040074, ""1"": 0.08536585365853659, ""2"": 0.16707616707616707, ""3"": 0.06082725060827251, ""4"": 0.06514657980456026, ""5"": 0.06545454545454546, ""6"": 0.03826530612244898, ""7"": 0.09855072463768116, ""8"": 0.05084745762711865, ""9"": 0.0744047619047619, ""10"": 0.14316239316239315, ""11"": 0.08040201005025126}",,0.07164,0.08701,False
