batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
685,1.09581,0.37332,0.70862,0.51996,2.68017,0.08825,0.99812,0.42474,0.68158,0.56349,2.68444,0.08604,0.98826,0.44512,0.66253,0.58464,2.6654,0.08716,0.95801,0.46025,0.6626,0.59338,2.65588,0.08683,0.97025,0.45761,0.65937,0.58686,2.66404,0.08766,0.92652,0.49551,0.64074,0.6054,2.67599,0.08891,0.89455,0.52452,0.6251,0.62738,2.70866,0.09281,0.86979,0.53069,0.61168,0.63327,2.73057,0.09545
686,1.11497,0.37334,0.70037,0.51997,2.68781,0.08826,1.04257,0.42479,0.67936,0.56353,2.66743,0.08605,1.01861,0.44518,0.67039,0.58466,2.65309,0.08716,1.0004,0.4603,0.64863,0.59343,2.6379,0.08685,1.00195,0.45768,0.66152,0.58691,2.65146,0.08767,0.93759,0.4956,0.61353,0.60549,2.66253,0.08892,0.94723,0.52457,0.60622,0.62743,2.70166,0.09281,0.92758,0.53074,0.61528,0.63331,2.67605,0.09547
687,1.07657,0.37341,0.703,0.51999,2.68505,0.08826,1.02395,0.42482,0.65915,0.5636,2.64171,0.08606,0.98528,0.44523,0.6294,0.58475,2.65019,0.08717,0.9475,0.46037,0.60689,0.59355,2.64719,0.08686,0.96707,0.45771,0.62125,0.587,2.62091,0.08769,0.93788,0.4956,0.6084,0.60558,2.6447,0.08893,0.92532,0.52455,0.5811,0.62753,2.62283,0.09285,0.94414,0.53071,0.58506,0.6334,2.6299,0.09552
688,1.06517,0.37348,0.7026,0.52,2.67343,0.08828,1.00307,0.42485,0.67534,0.56363,2.64887,0.08607,0.96761,0.44528,0.65485,0.58481,2.6544,0.08718,0.9506,0.46042,0.65856,0.59358,2.6473,0.08687,0.94869,0.45776,0.64913,0.58706,2.64964,0.0877,0.90919,0.49563,0.62316,0.60565,2.64037,0.08894,0.87144,0.52459,0.61703,0.62757,2.66756,0.09286,0.88583,0.53072,0.61226,0.63344,2.61925,0.09555
689,1.07247,0.37355,0.70161,0.52002,2.67836,0.08829,0.99863,0.42491,0.66188,0.5637,2.64252,0.08608,0.96164,0.44536,0.63367,0.5849,2.6273,0.08719,0.93687,0.4605,0.63074,0.59366,2.63665,0.08688,0.95311,0.45783,0.64353,0.58712,2.64456,0.08771,0.89042,0.4957,0.62215,0.60572,2.64593,0.08896,0.86263,0.52464,0.58252,0.62765,2.64153,0.09289,0.86502,0.53077,0.57956,0.63351,2.68322,0.09556
690,1.10578,0.37358,0.70673,0.52003,2.69139,0.08828,1.04731,0.42493,0.68024,0.56373,2.65544,0.08608,1.01506,0.44539,0.66834,0.58492,2.67201,0.08718,0.99962,0.46051,0.65225,0.5937,2.64955,0.08688,1.00085,0.45784,0.66716,0.58715,2.66373,0.08771,0.97466,0.49568,0.64174,0.60575,2.66191,0.08897,0.97204,0.52461,0.63317,0.62767,2.68518,0.0929,0.94176,0.53074,0.63481,0.63353,2.70982,0.09558
691,1.11811,0.37359,0.70229,0.52005,2.67561,0.08829,1.08106,0.42491,0.6572,0.56381,2.64198,0.08609,1.02498,0.4454,0.63758,0.58502,2.64269,0.0872,1.01445,0.46052,0.62952,0.59379,2.64004,0.08689,1.00344,0.45786,0.64394,0.58722,2.64604,0.08772,0.97891,0.49569,0.60425,0.60587,2.64715,0.08898,0.93926,0.52462,0.59707,0.62777,2.67839,0.0929,0.91823,0.53077,0.58393,0.63363,2.70559,0.09558
692,1.104,0.37363,0.70194,0.52007,2.68176,0.08831,0.98778,0.42501,0.67736,0.56385,2.6545,0.08609,0.9443,0.44552,0.65929,0.58506,2.64405,0.08721,0.90933,0.46065,0.6534,0.59384,2.67419,0.08689,0.9341,0.45796,0.66677,0.58726,2.64967,0.08772,0.85697,0.49583,0.63555,0.60594,2.65598,0.08899,0.80456,0.52476,0.6215,0.62782,2.65626,0.09291,0.79953,0.53091,0.60892,0.63368,2.68313,0.09558
693,1.09497,0.37365,0.70379,0.52009,2.66841,0.08832,0.9855,0.42509,0.6615,0.56393,2.64364,0.0861,0.93621,0.44563,0.64458,0.58513,2.64309,0.08721,0.90604,0.46075,0.63002,0.59392,2.67404,0.08689,0.92051,0.45805,0.64126,0.58733,2.66079,0.08772,0.86165,0.49593,0.61861,0.60601,2.65021,0.08899,0.81809,0.52486,0.60456,0.62789,2.69492,0.09291,0.81549,0.53102,0.59467,0.63375,2.68674,0.09559
694,1.12682,0.37366,0.70894,0.52009,2.68955,0.08833,1.0365,0.42514,0.67844,0.56397,2.67002,0.08609,1.00484,0.4457,0.65004,0.58519,2.65253,0.08722,0.9776,0.46083,0.64376,0.59399,2.64236,0.08689,0.99929,0.45811,0.65508,0.58738,2.65137,0.08773,0.9396,0.496,0.62466,0.60609,2.65939,0.089,0.95185,0.5249,0.61093,0.62796,2.66065,0.09292,0.94172,0.53105,0.62043,0.63379,2.67495,0.09561
695,1.10871,0.3737,0.7085,0.52009,2.7044,0.08832,1.00716,0.42522,0.70723,0.56395,2.67107,0.0861,0.96806,0.44579,0.70328,0.58515,2.67953,0.08722,0.933,0.46094,0.70918,0.59396,2.65052,0.0869,0.94967,0.4582,0.70103,0.58735,2.67079,0.08773,0.87898,0.49612,0.68752,0.60607,2.68371,0.089,0.86229,0.52498,0.68695,0.62792,2.6838,0.09292,0.85167,0.53114,0.68595,0.63374,2.69348,0.09562
696,1.08865,0.37376,0.69982,0.52011,2.6857,0.08832,1.03648,0.42522,0.66546,0.56401,2.65281,0.0861,1.01728,0.44579,0.64101,0.58524,2.63374,0.08723,0.99576,0.46093,0.6296,0.59405,2.6489,0.08691,0.99809,0.45819,0.63776,0.58744,2.65397,0.08773,0.94614,0.49613,0.60508,0.60618,2.64376,0.08901,0.92243,0.52499,0.59996,0.62802,2.64278,0.09295,0.90432,0.53116,0.59549,0.63381,2.67138,0.09565
697,1.10481,0.37378,0.70376,0.52013,2.68097,0.08833,1.00186,0.42529,0.6572,0.56408,2.64069,0.08611,0.96879,0.44588,0.62386,0.58533,2.66172,0.08723,0.94297,0.46099,0.62243,0.59413,2.63511,0.08692,0.96161,0.45824,0.62239,0.58753,2.65858,0.08774,0.87307,0.49623,0.57789,0.6063,2.66596,0.08902,0.8771,0.52507,0.56609,0.62812,2.6818,0.09296,0.84616,0.53125,0.56305,0.6339,2.62619,0.09568
698,1.10745,0.3738,0.70315,0.52015,2.67042,0.08834,1.00397,0.42536,0.64454,0.56417,2.63936,0.08612,0.95613,0.44599,0.62428,0.58543,2.63977,0.08724,0.92685,0.4611,0.62352,0.59422,2.65126,0.08693,0.94264,0.45832,0.62296,0.58763,2.62809,0.08775,0.89904,0.49631,0.60368,0.6064,2.63778,0.08903,0.85008,0.52515,0.59172,0.6282,2.68045,0.09296,0.83826,0.53135,0.59424,0.63397,2.66718,0.0957
699,1.07124,0.37386,0.72288,0.52013,2.66901,0.08834,0.92746,0.4255,0.69015,0.56419,2.65863,0.08613,0.91976,0.44612,0.67232,0.58546,2.66815,0.08724,0.86288,0.46126,0.65547,0.59426,2.66584,0.08692,0.86649,0.45849,0.6672,0.58767,2.67378,0.08774,0.80781,0.49648,0.64402,0.60644,2.67582,0.08903,0.78306,0.52529,0.62435,0.62824,2.70676,0.09296,0.76407,0.5315,0.61317,0.63402,2.71097,0.09571
700,1.12542,0.37388,0.71235,0.52011,2.6889,0.08834,1.02778,0.42558,0.70388,0.56418,2.67393,0.08612,0.97332,0.44621,0.68958,0.58545,2.64902,0.08724,0.92151,0.46138,0.69356,0.59424,2.63982,0.08693,0.93801,0.4586,0.69616,0.58764,2.65473,0.08775,0.87256,0.4966,0.68406,0.60642,2.65996,0.08903,0.84249,0.52541,0.66173,0.62822,2.63374,0.09299,0.84084,0.53162,0.65972,0.634,2.62462,0.09573
701,1.10198,0.37391,0.71095,0.52011,2.68049,0.08835,1.02139,0.42563,0.68518,0.56421,2.64266,0.08614,0.9894,0.44628,0.66618,0.58549,2.62387,0.08725,0.98753,0.46142,0.64827,0.59429,2.6487,0.08694,1.0006,0.45863,0.65835,0.58768,2.62693,0.08776,0.90129,0.49671,0.63933,0.60647,2.651,0.08904,0.89055,0.52547,0.60816,0.62827,2.6555,0.09301,0.8759,0.5317,0.62216,0.63403,2.68605,0.09574
702,1.1184,0.37393,0.70549,0.52012,2.66746,0.08837,1.05879,0.42564,0.67153,0.56427,2.63789,0.08615,1.00719,0.44632,0.65803,0.58554,2.63673,0.08726,0.99229,0.46145,0.64961,0.59434,2.63103,0.08696,0.99061,0.45866,0.64677,0.58774,2.64407,0.08777,0.93626,0.49675,0.6306,0.60653,2.6238,0.08906,0.89265,0.52551,0.61478,0.62832,2.626,0.09303,0.90353,0.53172,0.61749,0.63407,2.70974,0.09573
703,1.13375,0.37392,0.69712,0.52016,2.67232,0.08836,1.02906,0.42567,0.677,0.5643,2.65768,0.08614,1.00229,0.44637,0.6544,0.58558,2.65061,0.08727,0.9921,0.4615,0.65568,0.59438,2.63389,0.08697,0.9872,0.45872,0.66806,0.58775,2.63017,0.08777,0.93356,0.49681,0.64735,0.60656,2.65579,0.08906,0.90391,0.52556,0.64374,0.62833,2.68488,0.09303,0.92215,0.53175,0.62374,0.63412,2.71011,0.09574
704,1.07653,0.37399,0.69705,0.52019,2.67693,0.08836,0.98337,0.42577,0.63437,0.56442,2.65057,0.08614,0.9458,0.44647,0.61797,0.58569,2.63351,0.08728,0.90495,0.46162,0.60274,0.59449,2.63228,0.08699,0.89979,0.45885,0.61491,0.58787,2.64123,0.08778,0.8367,0.49696,0.58819,0.60669,2.62323,0.08909,0.8308,0.52567,0.5703,0.62845,2.67475,0.09304,0.81257,0.53186,0.54925,0.63426,2.68094,0.09577
705,1.11196,0.37399,0.70484,0.52021,2.66591,0.08839,1.01171,0.42582,0.64605,0.56452,2.63523,0.08616,0.97469,0.44655,0.63659,0.58577,2.63624,0.08729,0.95232,0.46168,0.62077,0.59459,2.60703,0.08701,0.97568,0.45889,0.63197,0.58795,2.60677,0.0878,0.89104,0.49704,0.6058,0.60678,2.60974,0.08911,0.85591,0.52574,0.59394,0.62853,2.61202,0.09308,0.84057,0.53195,0.58634,0.63432,2.64196,0.09579
706,1.09038,0.37402,0.7022,0.52022,2.66668,0.08842,1.00708,0.4259,0.6639,0.56458,2.62577,0.08617,0.96032,0.44665,0.64675,0.58583,2.64593,0.08729,0.93266,0.46179,0.62879,0.59467,2.62447,0.08703,0.95345,0.45898,0.6335,0.58802,2.62032,0.08782,0.89806,0.49714,0.62031,0.60684,2.62235,0.08913,0.87519,0.52582,0.60455,0.62859,2.63049,0.0931,0.854,0.53203,0.6122,0.63437,2.67101,0.09581
707,1.12048,0.37402,0.70466,0.52024,2.6605,0.08844,1.00526,0.42597,0.66261,0.56465,2.63734,0.08618,0.96358,0.44677,0.63427,0.58592,2.62386,0.08731,0.94026,0.46188,0.62125,0.59477,2.6174,0.08705,0.95244,0.45907,0.63395,0.58811,2.62333,0.08784,0.88282,0.49725,0.61457,0.60693,2.63179,0.08914,0.85031,0.52592,0.59531,0.62867,2.67596,0.0931,0.85107,0.53211,0.59146,0.63445,2.73275,0.09581
708,1.0819,0.37405,0.70646,0.52024,2.67536,0.08844,1.00559,0.42606,0.67995,0.56468,2.64657,0.08618,0.98,0.44684,0.65174,0.58596,2.65718,0.08731,0.96938,0.46193,0.65039,0.59481,2.62934,0.08706,0.96098,0.45913,0.64744,0.58816,2.6443,0.08784,0.92098,0.49732,0.64396,0.60696,2.65198,0.08915,0.88451,0.52599,0.65002,0.62867,2.67881,0.09311,0.87294,0.53219,0.64975,0.63446,2.62396,0.09584
709,1.12155,0.37404,0.70582,0.52025,2.65897,0.08847,1.00955,0.42613,0.68671,0.5647,2.65112,0.08618,0.96961,0.44693,0.66244,0.586,2.65622,0.08732,0.9685,0.46198,0.65872,0.59485,2.65202,0.08706,0.96748,0.45919,0.65294,0.58821,2.6791,0.08783,0.90657,0.49738,0.63184,0.607,2.66531,0.08915,0.87979,0.52604,0.6273,0.6287,2.7212,0.0931,0.88748,0.53223,0.63435,0.63446,2.71534,0.09585
710,1.12814,0.37402,0.71042,0.52023,2.66856,0.08847,1.02232,0.42618,0.71671,0.56465,2.63531,0.08619,0.9781,0.44701,0.69614,0.58598,2.64683,0.08732,0.98006,0.46201,0.70079,0.5948,2.6439,0.08707,0.98601,0.45924,0.70433,0.58815,2.62318,0.08784,0.88691,0.49747,0.6811,0.60697,2.66366,0.08915,0.84676,0.52613,0.66194,0.62868,2.66832,0.0931,0.80243,0.53236,0.65733,0.63444,2.67326,0.09586
711,1.08797,0.37407,0.71338,0.52023,2.67237,0.08845,1.00109,0.42625,0.6869,0.56466,2.66932,0.08619,0.97385,0.4471,0.665,0.586,2.65407,0.08733,0.94059,0.46211,0.65697,0.59483,2.66326,0.08707,0.9548,0.45931,0.67589,0.58815,2.66414,0.08784,0.87264,0.49757,0.64173,0.60701,2.68093,0.08916,0.84395,0.52622,0.62788,0.62871,2.66857,0.09311,0.84869,0.53245,0.62288,0.63447,2.70703,0.09585
712,1.16529,0.37402,0.7017,0.52023,2.68361,0.08846,1.08576,0.42626,0.66017,0.56473,2.65423,0.08619,1.02907,0.44714,0.66789,0.58603,2.66653,0.08733,1.00994,0.46215,0.66118,0.59485,2.6419,0.08708,0.99265,0.45938,0.64802,0.5882,2.64654,0.08784,0.92985,0.49765,0.63858,0.60706,2.63136,0.08917,0.87346,0.52631,0.66143,0.62871,2.65203,0.09313,0.86502,0.53254,0.65952,0.63447,2.61793,0.09589
713,1.12549,0.37403,0.70836,0.52022,2.67431,0.08846,1.05058,0.42627,0.67911,0.56476,2.6522,0.08619,1.001,0.4472,0.66995,0.58605,2.65129,0.08733,0.98953,0.4622,0.64392,0.59491,2.64735,0.08708,0.98096,0.45944,0.66138,0.58824,2.63502,0.08785,0.91091,0.49773,0.63388,0.60711,2.65224,0.08917,0.86753,0.52639,0.61015,0.62876,2.63471,0.09314,0.8485,0.53263,0.60112,0.63453,2.68638,0.09589
714,1.09726,0.37408,0.71015,0.52021,2.68523,0.08845,1.04066,0.4263,0.71846,0.56471,2.65302,0.08619,1.01035,0.44724,0.70617,0.586,2.65823,0.08733,0.9747,0.46227,0.6899,0.59488,2.63435,0.08709,0.99028,0.4595,0.68957,0.58821,2.65861,0.08784,0.90568,0.49781,0.67646,0.60708,2.69431,0.08917,0.88506,0.52645,0.65748,0.62875,2.71718,0.09313,0.87477,0.53269,0.6451,0.63453,2.6709,0.09591
715,1.10641,0.37409,0.71426,0.52019,2.65081,0.08848,1.01681,0.42636,0.7074,0.56467,2.63503,0.0862,0.96606,0.44732,0.68451,0.58599,2.62473,0.08734,0.93159,0.46235,0.68234,0.59487,2.62823,0.0871,0.95216,0.45956,0.67074,0.58822,2.62709,0.08785,0.87128,0.49791,0.65814,0.60709,2.6207,0.08918,0.82882,0.52654,0.64646,0.62875,2.62496,0.09315,0.82888,0.53278,0.65493,0.63451,2.65869,0.09593
