batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
137,1.06544,0.69514,2.46488,0.98777,0.68086,2.47313,0.94647,0.65366,2.48078,0.95147,0.69091,2.59208,1.11055,0.64276,2.45041,0.90594,0.66048,2.50561,1.16151,0.92099,3.25527
138,1.08272,0.68827,2.46746,0.94733,0.69141,2.47427,0.89678,0.58802,2.4947,0.88412,0.68916,2.7714,1.07124,0.5995,2.4848,0.88465,0.59528,2.51023,0.92542,0.8245,3.02985
139,1.06263,0.68453,2.48553,0.89168,0.6868,2.48607,0.83918,0.62859,2.48798,0.83273,0.70244,2.60906,1.10153,0.60992,2.50464,0.78539,0.59236,2.54988,0.94338,0.96477,3.03968
140,1.05899,0.68807,2.46983,0.88283,0.68931,2.42911,0.85065,0.6507,2.42177,0.83231,0.70812,2.66554,1.10368,0.64075,2.43087,0.81279,0.65912,2.46545,1.08125,0.96459,3.08074
141,1.04551,0.6912,2.48363,0.88881,0.68304,2.45198,0.84375,0.62722,2.44629,0.84527,0.68706,2.6457,1.08411,0.6215,2.43097,0.78316,0.61765,2.53383,0.82689,0.86997,3.24581
142,1.1052,0.68882,2.45272,0.91549,0.69266,2.41075,0.90052,0.59605,2.41948,0.90328,0.68874,2.6107,1.0996,0.56736,2.37972,0.85681,0.57909,2.43818,1.15734,0.78036,2.90034
143,1.09872,0.68702,2.48131,0.95226,0.67902,2.47069,0.88875,0.58753,2.47064,0.91401,0.67853,2.6107,1.10652,0.56838,2.45974,0.77666,0.60095,2.55428,1.03438,0.83115,3.13713
144,1.08219,0.69146,2.45953,0.90428,0.67107,2.43916,0.87105,0.6023,2.44564,0.83263,0.69582,2.62338,1.09191,0.59652,2.41313,0.81767,0.59407,2.48087,1.12596,0.71978,3.00912
145,1.07507,0.68848,2.47143,0.90622,0.69646,2.47657,0.86564,0.5625,2.46451,0.87712,0.71033,2.60395,1.1082,0.54797,2.44641,0.75552,0.56951,2.4872,0.88198,0.73122,2.97553
146,1.06982,0.68736,2.48651,0.87656,0.69252,2.45883,0.86573,0.54421,2.44953,0.83346,0.6874,2.69731,1.10084,0.54462,2.42633,0.83142,0.53891,2.42869,0.94973,0.7943,2.95295
147,1.06582,0.68592,2.46557,0.86517,0.68865,2.43442,0.81659,0.60111,2.42496,0.83049,0.67944,2.59927,1.10052,0.5887,2.4351,0.76964,0.57281,2.49025,0.90282,0.98057,3.08032
148,1.06765,0.69031,2.4715,0.89263,0.67738,2.46547,0.84518,0.59305,2.45146,0.83123,0.67906,2.59863,1.09662,0.58724,2.43462,0.75082,0.6025,2.46129,1.03966,0.74148,3.11759
149,1.06314,0.69126,2.48248,0.91751,0.69401,2.42905,0.87037,0.61786,2.42974,0.85421,0.68714,2.66193,1.07822,0.6093,2.40487,0.86156,0.60634,2.5113,0.89804,1.00242,2.96968
150,1.07484,0.68347,2.4855,0.88245,0.68586,2.47354,0.81726,0.60351,2.44676,0.79323,0.69028,2.69043,1.08455,0.58598,2.39032,0.72886,0.60407,2.45525,0.92684,0.64885,2.86866
151,1.05992,0.69074,2.47318,0.93506,0.68663,2.44077,0.89571,0.64495,2.43515,0.89565,0.67843,2.62591,1.07623,0.63426,2.44503,0.82963,0.66183,2.47299,1.04888,0.95074,3.1197
152,1.07639,0.68661,2.45754,0.91476,0.70438,2.41615,0.90707,0.64271,2.40902,0.86893,0.70398,2.5937,1.0766,0.61441,2.39134,0.81708,0.63444,2.48421,0.97748,0.84019,2.93979
153,1.08565,0.69085,2.49085,0.90649,0.67938,2.50487,0.8247,0.61377,2.48516,0.8144,0.69215,2.58188,1.10542,0.62592,2.45747,0.75642,0.62803,2.57496,0.76232,0.80403,3.00319
154,1.07266,0.68709,2.47202,0.88493,0.69177,2.47404,0.86875,0.6216,2.46311,0.86955,0.68587,2.67127,1.10148,0.5821,2.47013,0.78258,0.63299,2.4514,0.96567,0.79018,2.99978
155,1.08819,0.68889,2.47617,0.93615,0.7007,2.45853,0.9132,0.5499,2.4668,0.89757,0.6824,2.60011,1.08288,0.54066,2.4764,0.88454,0.55577,2.51534,1.0257,0.74939,2.95497
156,1.09715,0.68729,2.47432,0.91366,0.70479,2.47353,0.88801,0.58688,2.46297,0.87953,0.68381,2.56859,1.09767,0.56729,2.46738,0.82911,0.61631,2.54836,1.03474,0.84948,2.84821
157,1.07835,0.69015,2.4619,0.93777,0.68859,2.45477,0.90993,0.55239,2.43362,0.91165,0.69076,2.64825,1.07842,0.5325,2.42398,0.82501,0.5222,2.4771,0.92844,0.60264,3.1836
158,1.07489,0.68493,2.46002,0.91622,0.68783,2.44426,0.94363,0.59631,2.43547,0.91391,0.68662,2.6069,1.09083,0.56617,2.44232,0.86841,0.58055,2.46288,1.13118,0.72916,3.1145
159,1.05883,0.68679,2.47022,0.79488,0.67208,2.45417,0.76578,0.58783,2.42626,0.74263,0.70181,2.65921,1.07198,0.57683,2.40972,0.6709,0.60345,2.45958,0.84683,0.66557,2.87825
160,1.07062,0.68584,2.47839,1.01608,0.67851,2.42995,0.95112,0.59127,2.41605,0.94911,0.68752,2.6546,1.09202,0.55723,2.41335,0.90648,0.55994,2.49831,1.17892,0.68436,2.9476
161,1.07149,0.68437,2.48714,0.95465,0.68455,2.47732,0.92594,0.58331,2.47258,0.90969,0.67754,2.59807,1.0966,0.56909,2.44657,0.85852,0.57147,2.4731,0.93533,0.70356,3.03601
162,1.06029,0.68853,2.47444,0.8804,0.67956,2.45948,0.80487,0.61693,2.43001,0.81377,0.68311,2.62515,1.07106,0.60344,2.45893,0.69735,0.62536,2.50569,0.81655,0.74026,2.95936
163,1.06044,0.68847,2.47255,0.91243,0.69062,2.46344,0.87875,0.62812,2.46667,0.85148,0.70288,2.50768,1.09009,0.62878,2.46374,0.82146,0.63629,2.45961,0.92214,0.73133,3.02691
164,1.06252,0.68883,2.47292,0.93741,0.69659,2.44426,0.89335,0.59873,2.42509,0.88335,0.69225,2.58842,1.09606,0.57146,2.4411,0.8054,0.57602,2.48465,1.02543,0.71446,2.97217
165,1.06381,0.68932,2.45149,0.89097,0.68046,2.41451,0.82635,0.60344,2.42343,0.83804,0.6947,2.56398,1.06531,0.58682,2.41042,0.76872,0.58748,2.50737,0.73924,0.63793,2.74911
166,1.06466,0.69396,2.45654,0.89927,0.69816,2.42761,0.87586,0.66814,2.41356,0.8635,0.69943,2.6334,1.06256,0.66239,2.41131,0.85139,0.67084,2.42195,1.03506,0.75388,2.83772
167,1.06798,0.68612,2.47512,0.85294,0.69305,2.44539,0.82971,0.60336,2.43984,0.81822,0.67911,2.52095,1.05396,0.60621,2.43279,0.81179,0.59358,2.47897,0.98917,0.84937,2.90733
168,1.07697,0.68954,2.47951,0.94129,0.69384,2.46349,0.9656,0.60279,2.48134,0.9436,0.68014,2.68828,1.08837,0.57546,2.44874,0.91286,0.63007,2.48899,0.94498,0.60753,3.26261
