model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-1.5B,attention,0,age_bin,0.4687,0.46545
Qwen/Qwen2.5-1.5B,attention,0,gender,0.58385,0.5839
Qwen/Qwen2.5-1.5B,attention,0,star_sign,0.08565,0.0503
Qwen/Qwen2.5-1.5B,attention,4,age_bin,0.52736,0.53517
Qwen/Qwen2.5-1.5B,attention,4,gender,0.62615,0.62547
Qwen/Qwen2.5-1.5B,attention,4,star_sign,0.09443,0.07801
Qwen/Qwen2.5-1.5B,attention,8,age_bin,0.34859,0.25865
Qwen/Qwen2.5-1.5B,attention,8,gender,0.5003,0.35005
Qwen/Qwen2.5-1.5B,attention,8,star_sign,0.09158,0.07718
Qwen/Qwen2.5-1.5B,attention,12,age_bin,0.56352,0.56894
Qwen/Qwen2.5-1.5B,attention,12,gender,0.70533,0.70343
Qwen/Qwen2.5-1.5B,attention,12,star_sign,0.09578,0.08063
Qwen/Qwen2.5-1.5B,attention,16,age_bin,0.53657,0.54176
Qwen/Qwen2.5-1.5B,attention,16,gender,0.70654,0.70455
Qwen/Qwen2.5-1.5B,attention,16,star_sign,0.09434,0.08358
Qwen/Qwen2.5-1.5B,attention,20,age_bin,0.68956,0.69239
Qwen/Qwen2.5-1.5B,attention,20,gender,0.71659,0.70841
Qwen/Qwen2.5-1.5B,attention,20,star_sign,0.08813,0.03289
Qwen/Qwen2.5-1.5B,attention,24,age_bin,0.66973,0.67069
Qwen/Qwen2.5-1.5B,attention,24,gender,0.6833,0.67823
Qwen/Qwen2.5-1.5B,attention,24,star_sign,0.08406,0.07834
Qwen/Qwen2.5-1.5B,attention,28,age_bin,0.67236,0.67644
Qwen/Qwen2.5-1.5B,attention,28,gender,0.70972,0.70766
Qwen/Qwen2.5-1.5B,attention,28,star_sign,0.09136,0.06229
