batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign,loss_L28_age_bin,loss_L28_gender,loss_L28_star_sign
612,0.9787,0.65088,2.47017,0.88058,0.60087,2.26405,2.3218,2.87297,2.21689,0.893,0.45882,2.25448,0.91856,0.45356,2.26855,0.63163,0.46405,29.09077,0.64023,0.47458,2.51288,0.64112,0.46811,2.29114
613,0.97984,0.65976,2.50008,0.95672,0.62737,2.43661,1.65226,1.7013,2.36248,0.98653,0.56413,2.41247,0.91543,0.57808,2.44827,0.69822,0.57818,34.30222,0.76799,0.68162,2.65002,0.70404,0.58596,2.42658
614,0.97762,0.66581,2.47232,0.95858,0.65329,2.32223,2.26682,2.29757,2.24779,0.9592,0.5232,2.28595,0.92694,0.49601,2.31217,0.78136,0.4776,32.57872,0.75091,0.62128,2.55309,0.76977,0.5349,2.43009
615,0.91385,0.65522,2.4381,0.82478,0.6071,2.14212,1.67226,3.0786,2.19363,0.79148,0.49152,2.17347,0.81867,0.47406,2.20259,0.51016,0.52771,24.65842,0.52724,0.53582,2.59203,0.58226,0.58446,2.3606
616,0.98251,0.66338,2.48506,0.92966,0.65208,2.35463,2.74366,2.20375,2.30537,0.93576,0.55045,2.35717,0.95406,0.56839,2.40117,0.71889,0.57755,30.76954,0.69319,0.56911,2.5705,0.75911,0.55723,2.40543
617,1.00101,0.64716,2.45353,0.91132,0.60382,2.30629,2.36008,4.16542,2.31809,0.88738,0.47385,2.3514,0.87944,0.44884,2.33325,0.69648,0.49205,29.08605,0.68769,0.61646,2.6782,0.6768,0.48498,2.3672
618,0.9975,0.64033,2.46257,0.92577,0.61239,2.23807,3.43961,2.68375,2.25206,0.85658,0.46625,2.22213,0.95066,0.50236,2.24082,0.5902,0.51027,21.73607,0.66009,0.52744,2.71858,0.67963,0.5303,2.36984
619,0.94365,0.68134,2.45437,0.88217,0.65257,2.2855,1.67697,5.02607,2.22939,0.91935,0.52536,2.29392,0.90476,0.54536,2.30535,0.65548,0.58232,17.94753,0.66272,0.59598,2.55866,0.61626,0.58883,2.3704
620,0.97773,0.67549,2.48239,0.94057,0.61371,2.31514,3.42871,4.44496,2.2529,0.91116,0.56415,2.30617,0.96008,0.58332,2.31398,0.63951,0.5188,23.79391,0.67461,0.50464,2.69728,0.68654,0.55962,2.39163
621,0.93967,0.66397,2.45904,0.87647,0.60819,2.36635,1.77669,2.35772,2.32743,0.89111,0.50443,2.30055,0.87809,0.50969,2.35545,0.64324,0.51931,27.59519,0.66234,0.6007,2.58214,0.6497,0.53225,2.48386
622,0.98324,0.65561,2.49664,0.97219,0.60722,2.28982,2.67206,3.00429,2.2849,0.93451,0.51212,2.32191,0.91982,0.52897,2.32572,0.69533,0.53565,19.94683,0.75403,0.61192,2.72148,0.73805,0.5666,2.39171
623,0.96806,0.65053,2.503,0.92316,0.63911,2.2537,2.36171,2.95466,2.1878,0.88037,0.52815,2.2412,0.97306,0.52228,2.27164,0.57194,0.53338,26.90335,0.56422,0.56174,2.7138,0.61795,0.61045,2.30888
624,0.97172,0.64863,2.46529,0.92015,0.61853,2.21082,2.79463,3.66831,2.26905,0.95521,0.51075,2.33442,0.90587,0.49981,2.28062,0.69091,0.545,24.4606,0.6835,0.64922,2.58615,0.72174,0.56568,2.429
625,0.99965,0.69099,2.47244,0.89875,0.62512,2.24831,2.31272,2.38523,2.29711,0.91413,0.52378,2.27997,0.93523,0.54588,2.32367,0.56156,0.51761,23.78146,0.62821,0.55183,2.64796,0.65661,0.58088,2.36883
626,0.98671,0.66915,2.45693,0.94641,0.64511,2.21353,2.2784,1.96514,2.25148,0.96534,0.58792,2.26928,0.92425,0.5982,2.23288,0.72648,0.61101,20.89825,0.76641,0.6879,2.57283,0.71099,0.65551,2.41765
627,1.00757,0.653,2.48073,0.94996,0.62302,2.34851,1.97147,3.65876,2.30246,0.92585,0.53526,2.30668,0.91722,0.51277,2.36733,0.70631,0.52751,24.80436,0.70733,0.56136,2.61116,0.75083,0.53335,2.47332
628,0.98633,0.6646,2.49347,0.92207,0.6495,2.22167,2.77986,1.56318,2.23008,1.01049,0.56893,2.19146,0.99688,0.55255,2.238,0.63103,0.58534,20.89439,0.70053,0.67151,2.63764,0.67753,0.63538,2.39256
629,0.99575,0.67675,2.48891,0.90989,0.64153,2.37581,3.53282,3.02559,2.33444,0.87835,0.57237,2.31383,0.96099,0.59972,2.33117,0.66665,0.62846,22.03373,0.72958,0.66955,2.61484,0.715,0.57594,2.41379
630,1.0111,0.67021,2.44472,0.93357,0.65973,2.31189,4.105,1.92881,2.33729,0.88688,0.50486,2.26422,0.90325,0.50511,2.29228,0.66868,0.5247,27.34091,0.7257,0.63459,2.57529,0.71482,0.55995,2.33304
631,0.98445,0.67685,2.46805,0.85579,0.65033,2.31172,4.6643,3.96306,2.2759,0.86711,0.47185,2.33678,0.92736,0.4757,2.33263,0.56223,0.46365,25.91938,0.66631,0.56006,2.49355,0.76844,0.48764,2.4161
632,1.00374,0.62803,2.43605,0.91393,0.60466,2.30287,1.92868,3.67701,2.29292,0.89573,0.4677,2.19164,0.92392,0.45509,2.26282,0.81418,0.46366,26.3885,0.8835,0.58906,2.64988,0.82824,0.50469,2.33045
633,1.03723,0.66844,2.45266,0.95958,0.63525,2.28559,2.42791,3.43157,2.26774,0.98687,0.5169,2.28303,1.00601,0.51178,2.31339,0.65056,0.55438,19.63957,0.68417,0.62364,2.67741,0.71226,0.53624,2.41819
634,1.03669,0.71566,2.46827,0.97005,0.65708,2.18715,4.66941,2.09983,2.14159,1.007,0.47757,2.21827,0.97163,0.48005,2.24963,0.72867,0.52353,22.35263,0.77921,0.57182,2.561,0.74212,0.55683,2.36339
635,0.98582,0.64783,2.49263,0.99881,0.60613,2.33278,5.72759,4.84352,2.36583,0.87833,0.54755,2.38875,0.97961,0.53673,2.39056,0.72441,0.51595,27.57795,0.79724,0.63991,2.66856,0.83086,0.50185,2.43559
636,0.9818,0.63851,2.45336,0.9684,0.6205,2.25585,3.25327,5.4684,2.25637,0.91487,0.48095,2.26186,0.90757,0.45487,2.22233,0.66162,0.48518,21.6604,0.73811,0.5491,2.71603,0.82861,0.46997,2.22309
637,0.98748,0.68235,2.47712,0.94589,0.63557,2.26347,2.98304,1.50942,2.28444,0.87359,0.57243,2.26692,0.84878,0.58585,2.28878,0.63666,0.5544,18.43302,0.63804,0.6591,2.52977,0.74066,0.57127,2.3517
638,0.99553,0.65229,2.47667,0.96455,0.61392,2.33572,3.59297,2.98873,2.35323,0.93184,0.54797,2.39719,0.94858,0.53997,2.32503,0.76898,0.5233,19.74587,0.72927,0.59929,2.65972,0.77116,0.54615,2.3912
639,0.97439,0.69536,2.45444,0.93425,0.62324,2.31794,3.65765,1.25074,2.28378,0.87205,0.51462,2.31493,0.92351,0.50301,2.3315,0.70927,0.51317,31.6168,0.71659,0.65816,2.62399,0.70349,0.56546,2.45078
640,1.0934,0.66274,2.46827,0.97053,0.64824,2.29174,6.91211,1.85452,2.29026,0.94525,0.56529,2.33705,1.01722,0.59067,2.35068,0.75046,0.59763,28.4347,0.69616,0.62054,2.65264,0.85504,0.61815,2.3881
641,0.98014,0.66188,2.46184,0.86273,0.59301,2.24749,2.13103,2.84521,2.25425,0.87779,0.48094,2.31081,0.86332,0.46145,2.30459,0.68904,0.4878,23.01409,0.6859,0.55332,2.64243,0.77982,0.51881,2.39045
642,0.99417,0.67483,2.45053,0.91569,0.62224,2.36833,5.01832,1.26931,2.32265,0.88584,0.48271,2.33425,0.89845,0.46757,2.34567,0.70687,0.44739,30.05752,0.75447,0.59739,2.56384,0.73964,0.49714,2.40018
643,0.97743,0.63708,2.47604,0.95945,0.60831,2.3574,8.48135,2.4839,2.33084,0.8871,0.44522,2.31699,0.93943,0.43381,2.3319,0.68759,0.45384,26.92962,0.62826,0.55489,2.62641,0.73325,0.52017,2.43106
644,0.99143,0.6619,2.50413,0.89221,0.65078,2.31553,7.00755,1.82865,2.3376,0.8802,0.55461,2.41602,0.88341,0.52945,2.38737,0.59725,0.53672,21.3964,0.65177,0.59365,2.56102,0.70871,0.56761,2.44403
645,1.03127,0.68672,2.48887,0.99785,0.61485,2.3527,4.21317,1.18131,2.37843,0.90288,0.4787,2.34333,0.95447,0.45046,2.33981,0.68477,0.50426,24.8923,0.6957,0.59332,2.61528,0.75999,0.49198,2.47448
646,0.9727,0.66709,2.45582,0.93589,0.6275,2.25207,6.45924,2.21346,2.25873,0.8614,0.57191,2.26455,0.89243,0.56618,2.24924,0.78427,0.60081,25.71761,0.81999,0.67263,2.53456,0.81803,0.60965,2.21796
647,0.93333,0.67513,2.45831,0.8874,0.6751,2.30529,6.06804,1.81883,2.3229,0.78716,0.61927,2.31732,0.88781,0.65507,2.30262,0.6824,0.65837,23.23869,0.70478,0.71747,2.67916,0.75706,0.67336,2.39429
