batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
1120,1.14408,0.38192,0.70374,0.52218,2.58668,0.09153,1.11578,0.45204,0.71692,0.57992,2.56711,0.08917,1.08635,0.46051,0.69787,0.58542,2.58631,0.08998,0.96051,0.50045,0.69826,0.61069,2.58289,0.09231,0.92938,0.50501,0.69035,0.61696,2.56458,0.09454,0.94369,0.49718,0.68447,0.61564,2.56867,0.09283,0.90806,0.50838,0.6829,0.61643,2.5878,0.09374,0.8439,0.55138,0.67194,0.64904,2.53868,0.09827,0.87228,0.54106,0.69578,0.63668,2.59134,0.09909,0.8944,0.53634,0.68588,0.63277,2.54962,0.10156
1121,1.09983,0.38194,0.69269,0.52219,2.62191,0.09152,0.95222,0.45211,0.64662,0.57994,2.59892,0.08918,0.94837,0.46057,0.66143,0.58543,2.6398,0.08998,0.86341,0.50052,0.64348,0.6107,2.57667,0.09233,0.84102,0.50507,0.63618,0.61697,2.56762,0.09455,0.84465,0.49725,0.65397,0.61564,2.56011,0.09285,0.84823,0.50845,0.63737,0.61644,2.60439,0.09375,0.80666,0.55142,0.62034,0.64904,2.59012,0.09828,0.79735,0.54112,0.62968,0.63668,2.57377,0.0991,0.83801,0.53638,0.62995,0.63277,2.57206,0.10159
1122,1.14331,0.3819,0.69796,0.5222,2.60083,0.09156,1.06613,0.45213,0.70459,0.57993,2.59398,0.08918,1.04271,0.46059,0.69968,0.5854,2.60879,0.08999,0.92161,0.50056,0.7103,0.61065,2.59946,0.09233,0.89108,0.50512,0.70321,0.61693,2.58427,0.09456,0.91095,0.4973,0.70651,0.6156,2.58429,0.09286,0.87336,0.5085,0.7131,0.61639,2.56247,0.09376,0.81611,0.55147,0.72456,0.64898,2.57208,0.09829,0.84887,0.54116,0.70262,0.63663,2.59477,0.09911,0.87245,0.53641,0.69631,0.63273,2.56832,0.10159
1123,1.07125,0.38192,0.69766,0.5222,2.60505,0.09155,0.9899,0.45214,0.67387,0.57993,2.56203,0.0892,0.97134,0.46061,0.66514,0.58542,2.59106,0.09,0.86444,0.50062,0.64955,0.61066,2.59701,0.09234,0.86225,0.50518,0.64168,0.61695,2.58759,0.09457,0.87021,0.49736,0.65171,0.61562,2.59475,0.09287,0.8673,0.50855,0.65249,0.6164,2.60429,0.09377,0.77509,0.55152,0.62552,0.64899,2.55558,0.09831,0.81475,0.5412,0.64172,0.63663,2.52697,0.09913,0.81618,0.53646,0.64329,0.63272,2.57144,0.10161
1124,1.09724,0.38192,0.68806,0.52223,2.59068,0.09158,1.05687,0.45214,0.60698,0.58002,2.6014,0.0892,1.0397,0.46062,0.61617,0.5855,2.64708,0.09,0.93359,0.50063,0.58394,0.61075,2.61959,0.09235,0.91622,0.50521,0.56972,0.61705,2.61776,0.09457,0.9407,0.49738,0.58514,0.61569,2.63608,0.09286,0.91994,0.50857,0.57568,0.61648,2.64152,0.09376,0.85858,0.55152,0.54434,0.64906,2.60405,0.09832,0.88242,0.5412,0.56294,0.63669,2.65419,0.09913,0.89975,0.53646,0.56328,0.63279,2.68624,0.1016
1125,1.13497,0.3819,0.70637,0.52223,2.61339,0.09158,0.99242,0.45219,0.69621,0.57999,2.58815,0.0892,0.972,0.46068,0.67918,0.58549,2.61531,0.09001,0.90108,0.50069,0.65573,0.61075,2.59273,0.09235,0.90174,0.50526,0.66741,0.61705,2.60637,0.09457,0.91307,0.49744,0.67231,0.61568,2.59478,0.09288,0.88246,0.50862,0.65656,0.61648,2.57302,0.09378,0.7909,0.55159,0.61967,0.64905,2.53156,0.09834,0.83278,0.54125,0.64895,0.63667,2.56889,0.09914,0.84403,0.53652,0.65139,0.63279,2.55298,0.10161
1126,1.04718,0.38195,0.69586,0.52225,2.57406,0.0916,0.91488,0.45228,0.69011,0.57999,2.61081,0.08922,0.91371,0.46076,0.6572,0.58553,2.58737,0.09002,0.86312,0.50078,0.61479,0.61079,2.59318,0.09236,0.87561,0.50532,0.6064,0.61709,2.60974,0.09458,0.88399,0.49751,0.60766,0.61573,2.603,0.09289,0.87879,0.50868,0.59687,0.61653,2.54981,0.09379,0.79343,0.55165,0.55745,0.6491,2.58107,0.09836,0.82962,0.54131,0.59106,0.63671,2.57537,0.09915,0.84754,0.53658,0.61286,0.63283,2.5587,0.10164
1127,1.06915,0.38197,0.70334,0.52223,2.59929,0.09161,0.97252,0.45233,0.69736,0.57996,2.55802,0.08923,0.96129,0.46081,0.69574,0.5855,2.58471,0.09003,0.93203,0.50079,0.66862,0.61078,2.56925,0.09238,0.94268,0.50532,0.67031,0.61707,2.58159,0.09459,0.94131,0.49752,0.65771,0.61571,2.60275,0.0929,0.93406,0.50868,0.66148,0.61652,2.58222,0.0938,0.84853,0.55167,0.63216,0.64908,2.56436,0.09839,0.8473,0.54134,0.64221,0.63669,2.55554,0.09916,0.87161,0.5366,0.65799,0.63281,2.52372,0.10166
1128,1.08504,0.38199,0.70026,0.52223,2.61359,0.0916,0.94726,0.4524,0.67302,0.57996,2.5922,0.08923,0.93776,0.46087,0.656,0.58552,2.63899,0.09003,0.85771,0.50087,0.63627,0.61079,2.63031,0.09237,0.83602,0.50541,0.6225,0.61708,2.62831,0.09459,0.85945,0.49759,0.63191,0.61573,2.62632,0.09289,0.83735,0.50876,0.62707,0.61654,2.62098,0.0938,0.73773,0.55177,0.57637,0.64911,2.63321,0.09838,0.75898,0.54143,0.59522,0.63672,2.61824,0.09916,0.78065,0.53668,0.59832,0.63283,2.61362,0.10166
1129,1.0639,0.38202,0.69655,0.52224,2.60055,0.09162,0.98452,0.45243,0.64301,0.58002,2.59812,0.08923,0.99589,0.46087,0.64038,0.58557,2.61829,0.09003,0.93359,0.50089,0.60911,0.61083,2.59059,0.09238,0.92288,0.50544,0.61367,0.61711,2.59539,0.09459,0.94766,0.49759,0.61366,0.61577,2.60226,0.0929,0.92907,0.50877,0.61095,0.61658,2.55442,0.09381,0.86609,0.55179,0.59387,0.64913,2.56061,0.0984,0.89485,0.54143,0.59988,0.63674,2.56281,0.09918,0.90227,0.53669,0.60991,0.63285,2.57316,0.10168
