batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
147,1.20917,0.35441,0.78533,0.51298,2.87413,0.08331,1.12821,0.38611,0.77503,0.53498,2.95663,0.08403,1.15771,0.3877,0.78055,0.53336,3.05922,0.0843,1.06329,0.41606,0.75571,0.55636,2.95985,0.08405,1.06593,0.41232,0.76809,0.56031,3.07971,0.08544,1.04572,0.41137,0.79267,0.55721,3.04077,0.08541,1.024,0.42449,0.79195,0.56195,3.00095,0.08534,0.86648,0.47272,0.78315,0.59168,3.02147,0.08538,0.88967,0.4692,0.77503,0.5931,3.01678,0.08422,0.91811,0.47364,0.75004,0.5883,3.04907,0.08604
148,1.20357,0.35455,0.78016,0.513,2.87588,0.0833,1.07055,0.38666,0.75308,0.53512,2.96427,0.08402,1.0657,0.38833,0.74966,0.5336,3.01092,0.08432,1.06728,0.41652,0.76628,0.55646,3.03879,0.08403,0.99415,0.413,0.81291,0.56025,2.99503,0.08547,1.01924,0.412,0.79022,0.55724,3.02563,0.08538,0.97045,0.42521,0.79258,0.56191,2.99066,0.08535,0.84179,0.47362,0.77398,0.59165,3.00931,0.08538,0.90493,0.46994,0.79058,0.59294,3.02764,0.0842,0.86814,0.47458,0.76008,0.58827,3.0405,0.08603
149,1.21553,0.35469,0.78421,0.51294,2.8754,0.08332,1.15522,0.38694,0.71632,0.53549,2.92785,0.08401,1.20028,0.3885,0.74559,0.53388,3.02572,0.08429,1.09396,0.41698,0.73409,0.55673,2.9961,0.08405,1.08048,0.41341,0.67992,0.56074,3.00079,0.08548,1.13688,0.41224,0.69228,0.55768,3.01852,0.08537,1.06076,0.42566,0.70271,0.56224,2.98838,0.08534,0.95297,0.47423,0.62674,0.59219,2.9898,0.08539,0.98554,0.47044,0.6708,0.59326,3.01395,0.08423,0.98204,0.4752,0.72449,0.58854,2.99001,0.08603
150,1.22434,0.3548,0.76849,0.51303,2.88162,0.08331,1.17735,0.38711,0.72196,0.53578,2.9493,0.08398,1.19126,0.3887,0.7394,0.53413,3.0096,0.0843,1.16119,0.41712,0.7051,0.55708,3.08278,0.08401,1.11922,0.41368,0.69168,0.56112,2.99346,0.08548,1.11543,0.41258,0.71455,0.55795,3.02853,0.08535,1.11914,0.42599,0.6745,0.56264,2.97143,0.0854,1.08082,0.47449,0.63867,0.5926,2.95856,0.08545,1.08598,0.47064,0.65078,0.59365,2.99108,0.08426,1.11315,0.47537,0.64415,0.58902,2.85284,0.08615
151,1.23541,0.35487,0.77567,0.51299,2.84742,0.08332,1.09938,0.38761,0.72335,0.53605,2.86467,0.08402,1.11186,0.38924,0.757,0.53433,3.02106,0.08427,1.03344,0.41778,0.75283,0.55718,2.96074,0.08409,0.97795,0.41454,0.70298,0.56148,2.99647,0.08546,1.0271,0.41328,0.73642,0.55813,2.99689,0.08536,0.9543,0.4269,0.74163,0.56277,3.02895,0.08536,0.86307,0.47538,0.71003,0.59272,2.96354,0.08549,0.93701,0.4713,0.74914,0.59355,3.07768,0.08423,0.89492,0.4762,0.75286,0.58908,3.00035,0.08613
152,1.22379,0.35481,0.77597,0.51302,2.86134,0.08331,1.12017,0.38796,0.77484,0.536,2.90138,0.08405,1.15367,0.38958,0.79126,0.53426,2.98749,0.08429,1.08472,0.41819,0.7405,0.55736,3.05503,0.08404,1.04478,0.41514,0.74281,0.56157,2.97334,0.08552,1.08652,0.41372,0.76438,0.55815,3.03952,0.08531,1.02954,0.42751,0.72453,0.56296,3.04373,0.08531,0.88076,0.47622,0.68656,0.59297,2.91586,0.08556,0.91514,0.47203,0.68181,0.5938,2.95494,0.08425,0.92753,0.47697,0.72755,0.58921,2.93448,0.08617
153,1.2358,0.35496,0.77917,0.51294,2.89848,0.08329,1.18595,0.38803,0.70685,0.5363,2.94206,0.08404,1.23541,0.38959,0.73497,0.53453,3.03569,0.08429,1.24767,0.4181,0.71645,0.55767,3.11061,0.08398,1.2017,0.41515,0.68736,0.56191,3.07645,0.0855,1.23067,0.41371,0.65372,0.55869,3.05968,0.08527,1.24127,0.42747,0.67468,0.56335,3.04786,0.0853,1.14533,0.47622,0.61932,0.59342,3.1139,0.08548,1.2078,0.47195,0.62444,0.59428,2.95485,0.08431,1.18793,0.4769,0.69019,0.58947,2.99418,0.08622
154,1.18824,0.35521,0.77435,0.51301,2.88955,0.08326,1.11732,0.38833,0.70341,0.53672,2.91969,0.08405,1.16501,0.38984,0.70419,0.53502,2.98691,0.08431,1.13127,0.41832,0.6583,0.55826,3.00503,0.08399,1.10424,0.41545,0.65314,0.56248,2.89533,0.08561,1.156,0.41384,0.61308,0.55948,3.01536,0.08528,1.12055,0.42773,0.62326,0.56402,3.02421,0.08527,1.06172,0.47643,0.57431,0.59414,2.93493,0.08553,1.08044,0.47217,0.58598,0.59498,2.96556,0.08436,1.05466,0.4771,0.60227,0.59021,2.93073,0.08633
155,1.21524,0.35544,0.78541,0.51304,2.86607,0.08324,1.18962,0.38842,0.72933,0.53702,2.88775,0.08409,1.25572,0.38977,0.72831,0.53545,2.95897,0.08436,1.12524,0.41861,0.6789,0.55889,3.00475,0.084,1.12209,0.41573,0.69143,0.56296,3.0104,0.08561,1.1692,0.41396,0.71125,0.55985,2.99566,0.08533,1.10961,0.42798,0.66734,0.56466,2.97308,0.0853,1.0367,0.47656,0.63787,0.59467,3.01119,0.0855,1.09974,0.47219,0.65957,0.59545,2.99733,0.08442,1.10882,0.47713,0.67747,0.5907,3.01511,0.0864
156,1.21252,0.35565,0.77818,0.51322,2.86483,0.08328,1.12927,0.38864,0.73685,0.53728,2.89347,0.08411,1.15961,0.39009,0.72642,0.53582,2.98448,0.08436,1.09745,0.41893,0.71779,0.55923,2.95566,0.08406,1.08885,0.41607,0.71555,0.56332,2.96941,0.08563,1.07846,0.41435,0.718,0.56013,2.98212,0.08532,1.10314,0.42825,0.72433,0.56489,2.99646,0.08531,0.94116,0.47711,0.64968,0.59512,3.00869,0.08552,1.00359,0.4726,0.69454,0.59571,3.04312,0.08439,1.00409,0.47755,0.74624,0.59077,2.9498,0.0864
