batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
208,1.21161,0.3536,0.76314,0.51101,2.84952,0.08451,1.18248,0.36237,0.74135,0.51743,2.92793,0.08341,1.13335,0.38404,0.70852,0.53178,2.88458,0.08341,1.11124,0.38124,0.69916,0.53657,2.96115,0.08365,1.07525,0.40931,0.69987,0.54686,2.96281,0.08447,1.03746,0.43338,0.69252,0.55266,2.94313,0.08545,1.05244,0.44752,0.70309,0.58117,2.9076,0.08668
209,1.20952,0.35368,0.76259,0.51104,2.86354,0.08453,1.18495,0.36248,0.75946,0.5175,2.90031,0.08345,1.1229,0.38425,0.72665,0.53193,2.90799,0.08342,1.16915,0.38134,0.71109,0.53677,2.91066,0.08366,1.07997,0.40951,0.71217,0.54704,2.93166,0.08447,1.06311,0.4336,0.67428,0.55296,2.9496,0.08545,1.06587,0.4477,0.67838,0.58134,2.96408,0.08663
210,1.2028,0.35375,0.76857,0.51107,2.84268,0.08456,1.19169,0.36257,0.75202,0.51759,2.89368,0.08348,1.12694,0.38443,0.71809,0.5321,2.90627,0.08342,1.14479,0.38149,0.72218,0.53688,2.92558,0.08368,1.09381,0.40965,0.71293,0.5472,2.89515,0.0845,1.07711,0.43374,0.69377,0.55315,2.91537,0.08546,1.08633,0.44781,0.67797,0.58156,2.87734,0.08663
211,1.20677,0.35384,0.76321,0.51105,2.86488,0.08453,1.17088,0.36267,0.75406,0.51766,2.92248,0.08349,1.10612,0.38461,0.71344,0.53228,2.91484,0.08341,1.10697,0.3817,0.70752,0.53708,2.9127,0.08369,1.09076,0.40984,0.69369,0.54741,2.8931,0.08452,1.00431,0.43404,0.68963,0.55336,2.89367,0.08548,0.99211,0.4481,0.67262,0.58173,2.85728,0.08663
212,1.21007,0.35392,0.76031,0.51112,2.84585,0.08455,1.16836,0.36282,0.74475,0.51779,2.93372,0.08348,1.09876,0.38485,0.7073,0.53254,2.9081,0.08342,1.1056,0.38197,0.72236,0.53725,2.92515,0.08368,0.99121,0.41033,0.68849,0.5477,2.92838,0.08451,0.95233,0.43454,0.67113,0.55371,2.94209,0.08549,0.9575,0.44856,0.63384,0.58217,2.87613,0.0867
213,1.20225,0.35396,0.76318,0.51119,2.85117,0.08455,1.15958,0.36298,0.74546,0.51792,2.92301,0.0835,1.12586,0.385,0.68805,0.53282,2.88753,0.08342,1.13502,0.38213,0.69625,0.53751,2.92489,0.0837,1.08425,0.41047,0.68028,0.54797,2.94845,0.0845,1.05735,0.4347,0.66799,0.55403,2.94277,0.08548,1.04074,0.44874,0.67314,0.58241,2.89799,0.08674
214,1.19471,0.35399,0.7553,0.51125,2.85027,0.08454,1.16236,0.36315,0.73754,0.51806,2.93305,0.08348,1.10835,0.38521,0.69898,0.53306,2.89385,0.08342,1.10996,0.38234,0.70423,0.53771,2.93907,0.08369,1.05925,0.41074,0.67985,0.54826,2.88546,0.08453,1.03317,0.43496,0.67711,0.5543,2.88064,0.08552,1.00545,0.44903,0.66933,0.58262,2.90073,0.08675
215,1.21727,0.35402,0.76491,0.5113,2.83713,0.08455,1.21032,0.36318,0.75681,0.51813,2.92122,0.08349,1.16997,0.38529,0.71782,0.53324,2.90694,0.08344,1.1646,0.38244,0.72663,0.53782,2.91547,0.0837,1.12098,0.4109,0.7023,0.54849,2.90243,0.08454,1.11568,0.43505,0.71988,0.55445,2.91335,0.08554,1.13517,0.44906,0.66476,0.58286,2.91813,0.08672
216,1.21007,0.35405,0.76535,0.51138,2.85997,0.08453,1.20305,0.36323,0.75569,0.51819,2.93625,0.08349,1.17062,0.38531,0.74211,0.53329,2.9038,0.08343,1.14425,0.38259,0.73709,0.53789,2.91332,0.08372,1.11736,0.41101,0.74832,0.54851,2.93587,0.08454,1.07152,0.43521,0.71953,0.55455,2.90955,0.08557,1.12928,0.44903,0.76918,0.58281,2.85729,0.08675
217,1.21624,0.35406,0.76647,0.5114,2.82901,0.08454,1.18144,0.36335,0.76949,0.51815,2.90974,0.08349,1.14708,0.38541,0.74565,0.53334,2.89662,0.08344,1.16392,0.38268,0.74166,0.53793,2.92515,0.08372,1.08341,0.41121,0.75173,0.5485,2.95414,0.0845,1.07918,0.43533,0.74779,0.55459,2.90541,0.0856,1.04609,0.4492,0.73421,0.58283,2.90801,0.08676
