model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-1.5B-Instruct,ema,0,age_bin,0.38942,0.3295
Qwen/Qwen2.5-1.5B-Instruct,ema,0,gender,0.58223,0.57953
Qwen/Qwen2.5-1.5B-Instruct,ema,0,star_sign,0.08757,0.07445
Qwen/Qwen2.5-1.5B-Instruct,ema,4,age_bin,0.52794,0.53273
Qwen/Qwen2.5-1.5B-Instruct,ema,4,gender,0.59133,0.59104
Qwen/Qwen2.5-1.5B-Instruct,ema,4,star_sign,0.0831,0.07753
Qwen/Qwen2.5-1.5B-Instruct,ema,8,age_bin,0.58704,0.59488
Qwen/Qwen2.5-1.5B-Instruct,ema,8,gender,0.62616,0.62521
Qwen/Qwen2.5-1.5B-Instruct,ema,8,star_sign,0.081,0.07601
Qwen/Qwen2.5-1.5B-Instruct,ema,12,age_bin,0.57745,0.58351
Qwen/Qwen2.5-1.5B-Instruct,ema,12,gender,0.62618,0.62581
Qwen/Qwen2.5-1.5B-Instruct,ema,12,star_sign,0.0866,0.08267
Qwen/Qwen2.5-1.5B-Instruct,ema,16,age_bin,0.5704,0.57706
Qwen/Qwen2.5-1.5B-Instruct,ema,16,gender,0.62324,0.62253
Qwen/Qwen2.5-1.5B-Instruct,ema,16,star_sign,0.07723,0.07554
Qwen/Qwen2.5-1.5B-Instruct,ema,20,age_bin,0.61892,0.6224
Qwen/Qwen2.5-1.5B-Instruct,ema,20,gender,0.64895,0.64776
Qwen/Qwen2.5-1.5B-Instruct,ema,20,star_sign,0.08245,0.07896
Qwen/Qwen2.5-1.5B-Instruct,ema,24,age_bin,0.64209,0.64389
Qwen/Qwen2.5-1.5B-Instruct,ema,24,gender,0.65655,0.65575
Qwen/Qwen2.5-1.5B-Instruct,ema,24,star_sign,0.07581,0.07231
Qwen/Qwen2.5-1.5B-Instruct,ema,28,age_bin,0.62561,0.62818
Qwen/Qwen2.5-1.5B-Instruct,ema,28,gender,0.6685,0.66773
Qwen/Qwen2.5-1.5B-Instruct,ema,28,star_sign,0.07916,0.07632
