model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-1.5B,ema,0,age_bin,0.39997,0.34753
Qwen/Qwen2.5-1.5B,ema,0,gender,0.58221,0.58124
Qwen/Qwen2.5-1.5B,ema,0,star_sign,0.08609,0.07548
Qwen/Qwen2.5-1.5B,ema,4,age_bin,0.53823,0.54082
Qwen/Qwen2.5-1.5B,ema,4,gender,0.59917,0.59912
Qwen/Qwen2.5-1.5B,ema,4,star_sign,0.08674,0.08232
Qwen/Qwen2.5-1.5B,ema,8,age_bin,0.61179,0.61621
Qwen/Qwen2.5-1.5B,ema,8,gender,0.63866,0.63793
Qwen/Qwen2.5-1.5B,ema,8,star_sign,0.0796,0.07663
Qwen/Qwen2.5-1.5B,ema,12,age_bin,0.60761,0.60991
Qwen/Qwen2.5-1.5B,ema,12,gender,0.63575,0.63558
Qwen/Qwen2.5-1.5B,ema,12,star_sign,0.08544,0.08214
Qwen/Qwen2.5-1.5B,ema,16,age_bin,0.59194,0.59601
Qwen/Qwen2.5-1.5B,ema,16,gender,0.63359,0.6331
Qwen/Qwen2.5-1.5B,ema,16,star_sign,0.08551,0.08372
Qwen/Qwen2.5-1.5B,ema,20,age_bin,0.64594,0.6458
Qwen/Qwen2.5-1.5B,ema,20,gender,0.66441,0.66325
Qwen/Qwen2.5-1.5B,ema,20,star_sign,0.0822,0.07951
Qwen/Qwen2.5-1.5B,ema,24,age_bin,0.65735,0.65586
Qwen/Qwen2.5-1.5B,ema,24,gender,0.66682,0.66618
Qwen/Qwen2.5-1.5B,ema,24,star_sign,0.07449,0.07287
Qwen/Qwen2.5-1.5B,ema,28,age_bin,0.64486,0.64517
Qwen/Qwen2.5-1.5B,ema,28,gender,0.67819,0.67756
Qwen/Qwen2.5-1.5B,ema,28,star_sign,0.07392,0.07162
