batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
1351,1.10392,0.38711,0.69708,0.52522,2.50058,0.09244,0.99342,0.47441,0.60926,0.59684,2.56209,0.093,0.88065,0.54435,0.58791,0.63821,2.53282,0.09913,0.77587,0.58016,0.55155,0.66181,2.4895,0.10275,0.80124,0.58636,0.56105,0.66187,2.49939,0.10264,0.71341,0.63538,0.48846,0.70501,2.47489,0.11576,0.75485,0.62368,0.51758,0.68927,2.4926,0.11506,0.74912,0.61301,0.50592,0.67913,2.5058,0.12091
1352,1.08937,0.38713,0.69285,0.52523,2.55018,0.09242,1.00702,0.47448,0.69467,0.5968,2.60321,0.09299,0.97398,0.54437,0.66282,0.63819,2.63168,0.09912,0.94561,0.58016,0.60892,0.66181,2.62762,0.10275,0.95308,0.58636,0.60969,0.66187,2.64151,0.10263,0.86565,0.63537,0.56051,0.70501,2.66565,0.11574,0.87291,0.62366,0.6146,0.68924,2.64687,0.11506,0.86166,0.61301,0.66039,0.6791,2.61054,0.12091
1353,1.05267,0.38714,0.68072,0.52527,2.55894,0.09242,0.96904,0.47449,0.59508,0.59688,2.61721,0.093,0.82985,0.54443,0.58171,0.63824,2.54311,0.09915,0.7448,0.58023,0.55962,0.66186,2.53824,0.10279,0.72231,0.58645,0.56086,0.66192,2.47142,0.10267,0.65804,0.63544,0.52398,0.70507,2.42411,0.11582,0.6927,0.62372,0.55043,0.6893,2.48867,0.11514,0.76248,0.61303,0.52244,0.67917,2.50007,0.12096
1354,1.0927,0.38713,0.68004,0.5253,2.55271,0.09241,1.04001,0.47446,0.58026,0.59697,2.58239,0.093,0.94293,0.54439,0.51748,0.63833,2.61684,0.09915,0.87654,0.58021,0.49618,0.66193,2.62865,0.10277,0.87045,0.58643,0.49153,0.662,2.63324,0.10266,0.81398,0.63539,0.41149,0.70516,2.64305,0.11579,0.82232,0.62368,0.44083,0.68938,2.62047,0.11512,0.90327,0.61297,0.4485,0.67925,2.65325,0.12095
1355,1.05099,0.38716,0.70771,0.52527,2.52385,0.09241,0.90306,0.47454,0.74801,0.59692,2.53845,0.09302,0.84262,0.54442,0.74895,0.63828,2.55625,0.09916,0.81869,0.58023,0.75594,0.66186,2.5314,0.10277,0.84466,0.58642,0.74293,0.66193,2.58174,0.10266,0.76097,0.63539,0.77218,0.70506,2.49289,0.11582,0.78058,0.62369,0.78389,0.68929,2.5904,0.11512,0.73788,0.61301,0.84925,0.67913,2.55514,0.12096
1356,1.10472,0.38715,0.68524,0.5253,2.58771,0.0924,0.88498,0.47463,0.60406,0.59699,2.59109,0.09302,0.77454,0.5445,0.57136,0.63834,2.62282,0.09915,0.71973,0.58031,0.53721,0.66192,2.63013,0.10277,0.70065,0.58651,0.55116,0.66199,2.57853,0.10267,0.59547,0.63547,0.54484,0.70509,2.62748,0.11581,0.64061,0.62377,0.56096,0.68932,2.60594,0.11513,0.61938,0.6131,0.59702,0.67916,2.64764,0.12095
1357,1.05063,0.38717,0.68051,0.52533,2.56445,0.09238,0.94755,0.47465,0.60492,0.59706,2.5347,0.09304,0.80498,0.54458,0.58337,0.63839,2.53907,0.09918,0.71146,0.5804,0.58289,0.66197,2.52477,0.1028,0.68404,0.58662,0.57721,0.66204,2.48853,0.10271,0.54958,0.6356,0.57777,0.70513,2.45662,0.11586,0.59183,0.62387,0.5313,0.68937,2.49407,0.11517,0.60208,0.6132,0.52914,0.67922,2.43158,0.121
1358,1.15898,0.38713,0.69478,0.52534,2.56755,0.09238,1.20223,0.47456,0.63541,0.5971,2.62152,0.09303,1.15599,0.54448,0.59485,0.63842,2.57951,0.09918,1.0879,0.58031,0.57275,0.66199,2.52403,0.10281,1.09067,0.5865,0.57459,0.66206,2.59405,0.10271,1.0068,0.6355,0.54826,0.70515,2.59193,0.11587,1.12539,0.62373,0.57825,0.68938,2.58338,0.11518,1.13428,0.61307,0.61641,0.67921,2.49388,0.12104
1359,1.06312,0.38714,0.69781,0.52534,2.51398,0.09242,0.9395,0.4746,0.68773,0.59709,2.50576,0.09307,0.83108,0.54452,0.62919,0.63843,2.45575,0.09924,0.7336,0.58039,0.62145,0.66201,2.47745,0.10285,0.73549,0.58656,0.65067,0.66205,2.47268,0.10275,0.67948,0.63556,0.62774,0.70512,2.40133,0.11592,0.68429,0.62379,0.61726,0.68937,2.37964,0.11525,0.73803,0.61312,0.64311,0.6792,2.35432,0.12112
1360,1.04128,0.38717,0.7059,0.52533,2.52479,0.09244,0.94281,0.47463,0.71638,0.59706,2.56802,0.09308,0.84202,0.54454,0.64229,0.63842,2.50047,0.09926,0.74559,0.58045,0.62214,0.662,2.51322,0.10287,0.75111,0.58659,0.65825,0.66203,2.42957,0.10278,0.72642,0.63557,0.58911,0.70511,2.42442,0.11595,0.77525,0.6238,0.57693,0.68938,2.38113,0.11529,0.75202,0.61314,0.56567,0.67921,2.47141,0.12113
