model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-1.5B-Instruct,ema,0,age_bin,0.40009,0.34746
Qwen/Qwen2.5-1.5B-Instruct,ema,0,gender,0.5823,0.58134
Qwen/Qwen2.5-1.5B-Instruct,ema,0,star_sign,0.08614,0.07557
Qwen/Qwen2.5-1.5B-Instruct,ema,4,age_bin,0.53888,0.54258
Qwen/Qwen2.5-1.5B-Instruct,ema,4,gender,0.59811,0.59805
Qwen/Qwen2.5-1.5B-Instruct,ema,4,star_sign,0.08435,0.07993
Qwen/Qwen2.5-1.5B-Instruct,ema,8,age_bin,0.59744,0.60382
Qwen/Qwen2.5-1.5B-Instruct,ema,8,gender,0.63254,0.63196
Qwen/Qwen2.5-1.5B-Instruct,ema,8,star_sign,0.08008,0.0765
Qwen/Qwen2.5-1.5B-Instruct,ema,12,age_bin,0.58938,0.59265
Qwen/Qwen2.5-1.5B-Instruct,ema,12,gender,0.62852,0.62836
Qwen/Qwen2.5-1.5B-Instruct,ema,12,star_sign,0.08722,0.08358
Qwen/Qwen2.5-1.5B-Instruct,ema,16,age_bin,0.57902,0.58325
Qwen/Qwen2.5-1.5B-Instruct,ema,16,gender,0.6248,0.62431
Qwen/Qwen2.5-1.5B-Instruct,ema,16,star_sign,0.08409,0.08237
Qwen/Qwen2.5-1.5B-Instruct,ema,20,age_bin,0.63216,0.63232
Qwen/Qwen2.5-1.5B-Instruct,ema,20,gender,0.65309,0.65211
Qwen/Qwen2.5-1.5B-Instruct,ema,20,star_sign,0.08074,0.07797
Qwen/Qwen2.5-1.5B-Instruct,ema,24,age_bin,0.65472,0.65292
Qwen/Qwen2.5-1.5B-Instruct,ema,24,gender,0.66247,0.66186
Qwen/Qwen2.5-1.5B-Instruct,ema,24,star_sign,0.0743,0.07248
Qwen/Qwen2.5-1.5B-Instruct,ema,28,age_bin,0.64064,0.64087
Qwen/Qwen2.5-1.5B-Instruct,ema,28,gender,0.67454,0.67401
Qwen/Qwen2.5-1.5B-Instruct,ema,28,star_sign,0.07705,0.07453
