model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-3B,ema,0,age_bin,0.40785,0.3405,,,
Qwen/Qwen2.5-3B,mm,0,age_bin,0.49884,0.49864,,,
Qwen/Qwen2.5-3B,ridge_0.01,0,age_bin,0.42055,0.34989,,,
Qwen/Qwen2.5-3B,ridge_0.1,0,age_bin,0.41393,0.33924,,,
Qwen/Qwen2.5-3B,ridge_1.0,0,age_bin,0.39047,0.29775,,,
Qwen/Qwen2.5-3B,ridge_10.0,0,age_bin,0.34693,0.1996,,,
Qwen/Qwen2.5-3B,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-3B,ema,0,gender,0.60749,0.60591,0.63493,,
Qwen/Qwen2.5-3B,mm,0,gender,0.58891,0.588,,,
Qwen/Qwen2.5-3B,ridge_0.01,0,gender,0.61195,0.61192,,,
Qwen/Qwen2.5-3B,ridge_0.1,0,gender,0.61023,0.61013,,,
Qwen/Qwen2.5-3B,ridge_1.0,0,gender,0.60235,0.60182,,,
Qwen/Qwen2.5-3B,ridge_10.0,0,gender,0.59642,0.59442,,,
Qwen/Qwen2.5-3B,ridge_100.0,0,gender,0.58503,0.56312,,,
Qwen/Qwen2.5-3B,ema,0,star_sign,0.07891,0.04689,,0.07573,0.08219
Qwen/Qwen2.5-3B,mm,0,star_sign,0.09277,0.08491,,,
Qwen/Qwen2.5-3B,ridge_0.01,0,star_sign,0.08333,0.02268,,,
Qwen/Qwen2.5-3B,ridge_0.1,0,star_sign,0.08354,0.02306,,,
Qwen/Qwen2.5-3B,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B,ema,4,age_bin,0.55387,0.55999,,,
Qwen/Qwen2.5-3B,mm,4,age_bin,0.39563,0.36054,,,
Qwen/Qwen2.5-3B,ridge_0.01,4,age_bin,0.56332,0.56787,,,
Qwen/Qwen2.5-3B,ridge_0.1,4,age_bin,0.55911,0.56355,,,
Qwen/Qwen2.5-3B,ridge_1.0,4,age_bin,0.5379,0.54114,,,
Qwen/Qwen2.5-3B,ridge_10.0,4,age_bin,0.46292,0.43285,,,
Qwen/Qwen2.5-3B,ridge_100.0,4,age_bin,0.33342,0.159,,,
Qwen/Qwen2.5-3B,ema,4,gender,0.62627,0.62536,0.66692,,
Qwen/Qwen2.5-3B,mm,4,gender,0.53294,0.51298,,,
Qwen/Qwen2.5-3B,ridge_0.01,4,gender,0.62875,0.62822,,,
Qwen/Qwen2.5-3B,ridge_0.1,4,gender,0.62757,0.62703,,,
Qwen/Qwen2.5-3B,ridge_1.0,4,gender,0.61591,0.61526,,,
Qwen/Qwen2.5-3B,ridge_10.0,4,gender,0.60064,0.59917,,,
Qwen/Qwen2.5-3B,ridge_100.0,4,gender,0.59193,0.58676,,,
Qwen/Qwen2.5-3B,ema,4,star_sign,0.09137,0.07125,,0.08638,0.09623
Qwen/Qwen2.5-3B,mm,4,star_sign,0.07325,0.03677,,,
Qwen/Qwen2.5-3B,ridge_0.01,4,star_sign,0.09013,0.06105,,,
Qwen/Qwen2.5-3B,ridge_0.1,4,star_sign,0.0905,0.05751,,,
Qwen/Qwen2.5-3B,ridge_1.0,4,star_sign,0.09052,0.04868,,,
Qwen/Qwen2.5-3B,ridge_10.0,4,star_sign,0.08366,0.02402,,,
