model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Qwen2.5-1.5B,1.5,1536,20,age_bin,32,1.0,-0.011245
Qwen2.5-1.5B,1.5,1536,20,age_bin,64,1.0,-0.005402
Qwen2.5-1.5B,1.5,1536,20,age_bin,128,1.0,0.001005
Qwen2.5-1.5B,1.5,1536,20,age_bin,256,1.0,0.02126
Qwen2.5-1.5B,1.5,1536,20,age_bin,512,1.0,0.036902
Qwen2.5-1.5B,1.5,1536,20,gender,1536,1.0,0.086024
Qwen2.5-1.5B,1.5,1536,20,gender,32,1.0,0.02641
Qwen2.5-1.5B,1.5,1536,20,gender,64,1.0,0.03141
Qwen2.5-1.5B,1.5,1536,20,gender,128,1.0,0.038664
Qwen2.5-1.5B,1.5,1536,20,gender,256,1.0,0.055346
Qwen2.5-1.5B,1.5,1536,20,gender,512,1.0,0.073691
Qwen2.5-1.5B,1.5,1536,24,age_bin,1536,1.0,0.089619
Qwen2.5-1.5B,1.5,1536,24,age_bin,32,1.0,-0.00238
Qwen2.5-1.5B,1.5,1536,24,age_bin,64,1.0,0.011318
Qwen2.5-1.5B,1.5,1536,24,age_bin,128,1.0,0.024424
Qwen2.5-1.5B,1.5,1536,24,age_bin,256,1.0,0.034682
Qwen2.5-1.5B,1.5,1536,24,age_bin,512,1.0,0.043042
Qwen2.5-1.5B,1.5,1536,24,gender,1536,1.0,0.114654
Qwen2.5-1.5B,1.5,1536,24,gender,32,1.0,0.039711
Qwen2.5-1.5B,1.5,1536,24,gender,64,1.0,0.052598
Qwen2.5-1.5B,1.5,1536,24,gender,128,1.0,0.059925
Qwen2.5-1.5B,1.5,1536,24,gender,256,1.0,0.067561
Qwen2.5-1.5B,1.5,1536,24,gender,512,1.0,0.077788
Qwen2.5-1.5B,1.5,1536,28,age_bin,1536,1.0,0.104383
Qwen2.5-1.5B,1.5,1536,28,age_bin,32,1.0,-0.003002
Qwen2.5-1.5B,1.5,1536,28,age_bin,64,1.0,0.015848
Qwen2.5-1.5B,1.5,1536,28,age_bin,128,1.0,0.029623
Qwen2.5-1.5B,1.5,1536,28,age_bin,256,1.0,0.03947
Qwen2.5-1.5B,1.5,1536,28,age_bin,512,1.0,0.046207
Qwen2.5-1.5B,1.5,1536,28,gender,1536,1.0,0.132314
Qwen2.5-1.5B,1.5,1536,28,gender,32,1.0,0.049177
Qwen2.5-1.5B,1.5,1536,28,gender,64,1.0,0.060325
Qwen2.5-1.5B,1.5,1536,28,gender,128,1.0,0.066653
Qwen2.5-1.5B,1.5,1536,28,gender,256,1.0,0.074172
Qwen2.5-1.5B,1.5,1536,28,gender,512,1.0,0.080302
Qwen2.5-1.5B,1.5,1536,4,age_bin,1536,1.0,-0.006356
Qwen2.5-1.5B,1.5,1536,4,age_bin,32,1.0,-0.039482
Qwen2.5-1.5B,1.5,1536,4,age_bin,64,1.0,-0.035168
Qwen2.5-1.5B,1.5,1536,4,age_bin,128,1.0,-0.026279
Qwen2.5-1.5B,1.5,1536,4,age_bin,256,1.0,-0.018814
Qwen2.5-1.5B,1.5,1536,4,age_bin,512,1.0,-0.011372
Qwen2.5-1.5B,1.5,1536,4,gender,1536,1.0,0.036988
Qwen2.5-1.5B,1.5,1536,4,gender,32,1.0,0.009246
Qwen2.5-1.5B,1.5,1536,4,gender,64,1.0,0.012986
Qwen2.5-1.5B,1.5,1536,4,gender,128,1.0,0.0238
Qwen2.5-1.5B,1.5,1536,4,gender,256,1.0,0.031328
Qwen2.5-1.5B,1.5,1536,4,gender,512,1.0,0.038173
Qwen2.5-1.5B,1.5,1536,8,age_bin,1536,1.0,0.019989
Qwen2.5-1.5B,1.5,1536,8,age_bin,32,1.0,-0.034006
Qwen2.5-1.5B,1.5,1536,8,age_bin,64,1.0,-0.023813
Qwen2.5-1.5B,1.5,1536,8,age_bin,128,1.0,-0.012598
Qwen2.5-1.5B,1.5,1536,8,age_bin,256,1.0,0.001206
Qwen2.5-1.5B,1.5,1536,8,age_bin,512,1.0,0.015268
Qwen2.5-1.5B,1.5,1536,8,gender,1536,1.0,0.059837
Qwen2.5-1.5B,1.5,1536,8,gender,32,1.0,0.015502
Qwen2.5-1.5B,1.5,1536,8,gender,64,1.0,0.021837
Qwen2.5-1.5B,1.5,1536,8,gender,128,1.0,0.028502
Qwen2.5-1.5B,1.5,1536,8,gender,256,1.0,0.041459
Qwen2.5-1.5B,1.5,1536,8,gender,512,1.0,0.054975
Qwen2.5-14B,14.0,5120,0,age_bin,5120,1.0,-0.036669
Qwen2.5-14B,14.0,5120,0,age_bin,32,1.0,-0.048505
Qwen2.5-14B,14.0,5120,0,age_bin,64,1.0,-0.047135
Qwen2.5-14B,14.0,5120,0,age_bin,128,1.0,-0.045904
Qwen2.5-14B,14.0,5120,0,age_bin,256,1.0,-0.044299
Qwen2.5-14B,14.0,5120,0,age_bin,512,1.0,-0.043005
Qwen2.5-14B,14.0,5120,0,gender,5120,1.0,0.010966
Qwen2.5-14B,14.0,5120,0,gender,32,1.0,0.001733
Qwen2.5-14B,14.0,5120,0,gender,64,1.0,0.002394
Qwen2.5-14B,14.0,5120,0,gender,128,1.0,0.00344
Qwen2.5-14B,14.0,5120,0,gender,256,1.0,0.004711
Qwen2.5-14B,14.0,5120,0,gender,512,1.0,0.005568
Qwen2.5-14B,14.0,5120,12,age_bin,5120,1.0,0.135256
Qwen2.5-14B,14.0,5120,12,age_bin,32,1.0,-0.022436
Qwen2.5-14B,14.0,5120,12,age_bin,64,1.0,-0.00839
Qwen2.5-14B,14.0,5120,12,age_bin,128,1.0,0.00262
Qwen2.5-14B,14.0,5120,12,age_bin,256,1.0,0.026463
Qwen2.5-14B,14.0,5120,12,age_bin,512,1.0,0.047827
Qwen2.5-14B,14.0,5120,12,gender,5120,1.0,0.156488
Qwen2.5-14B,14.0,5120,12,gender,32,1.0,0.017773
Qwen2.5-14B,14.0,5120,12,gender,64,1.0,0.028835
Qwen2.5-14B,14.0,5120,12,gender,128,1.0,0.03962
Qwen2.5-14B,14.0,5120,12,gender,256,1.0,0.070305
Qwen2.5-14B,14.0,5120,12,gender,512,1.0,0.091374
Qwen2.5-14B,14.0,5120,16,age_bin,5120,1.0,0.119928
Qwen2.5-14B,14.0,5120,16,age_bin,32,1.0,-0.025566
Qwen2.5-14B,14.0,5120,16,age_bin,64,1.0,-0.013198
Qwen2.5-14B,14.0,5120,16,age_bin,128,1.0,-0.001907
Qwen2.5-14B,14.0,5120,16,age_bin,256,1.0,0.016826
Qwen2.5-14B,14.0,5120,16,age_bin,512,1.0,0.035982
Qwen2.5-14B,14.0,5120,16,gender,5120,1.0,0.137702
Qwen2.5-14B,14.0,5120,16,gender,32,1.0,0.023214
Qwen2.5-14B,14.0,5120,16,gender,64,1.0,0.031826
Qwen2.5-14B,14.0,5120,16,gender,128,1.0,0.041418
Qwen2.5-14B,14.0,5120,16,gender,256,1.0,0.058152
Qwen2.5-14B,14.0,5120,16,gender,512,1.0,0.07591
Qwen2.5-14B,14.0,5120,20,age_bin,5120,1.0,0.17322
Qwen2.5-14B,14.0,5120,20,age_bin,32,1.0,-0.014652
Qwen2.5-14B,14.0,5120,20,age_bin,64,1.0,0.001329
Qwen2.5-14B,14.0,5120,20,age_bin,128,1.0,0.019344
Qwen2.5-14B,14.0,5120,20,age_bin,256,1.0,0.041694
Qwen2.5-14B,14.0,5120,20,age_bin,512,1.0,0.062215
Qwen2.5-14B,14.0,5120,20,gender,5120,1.0,0.198272
Qwen2.5-14B,14.0,5120,20,gender,32,1.0,0.032632
Qwen2.5-14B,14.0,5120,20,gender,64,1.0,0.041913
Qwen2.5-14B,14.0,5120,20,gender,128,1.0,0.058331
Qwen2.5-14B,14.0,5120,20,gender,256,1.0,0.07901
Qwen2.5-14B,14.0,5120,20,gender,512,1.0,0.10164
Qwen2.5-14B,14.0,5120,24,age_bin,5120,1.0,0.169503
Qwen2.5-14B,14.0,5120,24,age_bin,32,1.0,-0.012429
Qwen2.5-14B,14.0,5120,24,age_bin,64,1.0,0.002044
Qwen2.5-14B,14.0,5120,24,age_bin,128,1.0,0.018655
Qwen2.5-14B,14.0,5120,24,age_bin,256,1.0,0.041502
Qwen2.5-14B,14.0,5120,24,age_bin,512,1.0,0.061037
Qwen2.5-14B,14.0,5120,24,gender,5120,1.0,0.188048
Qwen2.5-14B,14.0,5120,24,gender,32,1.0,0.034421
Qwen2.5-14B,14.0,5120,24,gender,64,1.0,0.041495
Qwen2.5-14B,14.0,5120,24,gender,128,1.0,0.059838
Qwen2.5-14B,14.0,5120,24,gender,256,1.0,0.080215
Qwen2.5-14B,14.0,5120,24,gender,512,1.0,0.099437
Qwen2.5-14B,14.0,5120,28,age_bin,5120,1.0,0.142136
Qwen2.5-14B,14.0,5120,28,age_bin,32,1.0,-0.016452
Qwen2.5-14B,14.0,5120,28,age_bin,64,1.0,-0.002512
Qwen2.5-14B,14.0,5120,28,age_bin,128,1.0,0.010726
Qwen2.5-14B,14.0,5120,28,age_bin,256,1.0,0.033184
Qwen2.5-14B,14.0,5120,28,age_bin,512,1.0,0.051289
Qwen2.5-14B,14.0,5120,28,gender,5120,1.0,0.154669
Qwen2.5-14B,14.0,5120,28,gender,32,1.0,0.030876
Qwen2.5-14B,14.0,5120,28,gender,64,1.0,0.039032
Qwen2.5-14B,14.0,5120,28,gender,128,1.0,0.053827
Qwen2.5-14B,14.0,5120,28,gender,256,1.0,0.070857
Qwen2.5-14B,14.0,5120,28,gender,512,1.0,0.089266
Qwen2.5-14B,14.0,5120,32,age_bin,5120,1.0,0.22155
Qwen2.5-14B,14.0,5120,32,age_bin,32,1.0,0.00649
Qwen2.5-14B,14.0,5120,32,age_bin,64,1.0,0.026491
Qwen2.5-14B,14.0,5120,32,age_bin,128,1.0,0.050703
Qwen2.5-14B,14.0,5120,32,age_bin,256,1.0,0.069863
Qwen2.5-14B,14.0,5120,32,age_bin,512,1.0,0.088773
Qwen2.5-14B,14.0,5120,32,gender,5120,1.0,0.259826
Qwen2.5-14B,14.0,5120,32,gender,32,1.0,0.043021
Qwen2.5-14B,14.0,5120,32,gender,64,1.0,0.067486
Qwen2.5-14B,14.0,5120,32,gender,128,1.0,0.094393
Qwen2.5-14B,14.0,5120,32,gender,256,1.0,0.120517
Qwen2.5-14B,14.0,5120,32,gender,512,1.0,0.140272
Qwen2.5-14B,14.0,5120,36,age_bin,5120,1.0,0.211642
Qwen2.5-14B,14.0,5120,36,age_bin,32,1.0,0.003691
Qwen2.5-14B,14.0,5120,36,age_bin,64,1.0,0.02586
Qwen2.5-14B,14.0,5120,36,age_bin,128,1.0,0.048051
Qwen2.5-14B,14.0,5120,36,age_bin,256,1.0,0.066191
Qwen2.5-14B,14.0,5120,36,age_bin,512,1.0,0.08282
Qwen2.5-14B,14.0,5120,36,gender,5120,1.0,0.240024
Qwen2.5-14B,14.0,5120,36,gender,32,1.0,0.04305
Qwen2.5-14B,14.0,5120,36,gender,64,1.0,0.061337
Qwen2.5-14B,14.0,5120,36,gender,128,1.0,0.080766
Qwen2.5-14B,14.0,5120,36,gender,256,1.0,0.105343
Qwen2.5-14B,14.0,5120,36,gender,512,1.0,0.127483
Qwen2.5-14B,14.0,5120,40,age_bin,5120,1.0,0.235428
Qwen2.5-14B,14.0,5120,40,age_bin,32,1.0,0.018364
Qwen2.5-14B,14.0,5120,40,age_bin,64,1.0,0.047941
Qwen2.5-14B,14.0,5120,40,age_bin,128,1.0,0.066993
Qwen2.5-14B,14.0,5120,40,age_bin,256,1.0,0.082929
Qwen2.5-14B,14.0,5120,40,age_bin,512,1.0,0.095316
Qwen2.5-14B,14.0,5120,40,gender,5120,1.0,0.260714
Qwen2.5-14B,14.0,5120,40,gender,32,1.0,0.05861
Qwen2.5-14B,14.0,5120,40,gender,64,1.0,0.085201
Qwen2.5-14B,14.0,5120,40,gender,128,1.0,0.104975
Qwen2.5-14B,14.0,5120,40,gender,256,1.0,0.124554
Qwen2.5-14B,14.0,5120,40,gender,512,1.0,0.137125
Qwen2.5-14B,14.0,5120,44,age_bin,5120,1.0,0.233061
Qwen2.5-14B,14.0,5120,44,age_bin,32,1.0,0.018594
Qwen2.5-14B,14.0,5120,44,age_bin,64,1.0,0.052264
Qwen2.5-14B,14.0,5120,44,age_bin,128,1.0,0.069158
Qwen2.5-14B,14.0,5120,44,age_bin,256,1.0,0.08266
Qwen2.5-14B,14.0,5120,44,age_bin,512,1.0,0.094413
Qwen2.5-14B,14.0,5120,44,gender,5120,1.0,0.252082
Qwen2.5-14B,14.0,5120,44,gender,32,1.0,0.05978
Qwen2.5-14B,14.0,5120,44,gender,64,1.0,0.085543
Qwen2.5-14B,14.0,5120,44,gender,128,1.0,0.101642
Qwen2.5-14B,14.0,5120,44,gender,256,1.0,0.11898
Qwen2.5-14B,14.0,5120,44,gender,512,1.0,0.131862
Qwen2.5-14B,14.0,5120,48,age_bin,5120,1.0,0.214373
Qwen2.5-14B,14.0,5120,48,age_bin,32,1.0,-0.006983
Qwen2.5-14B,14.0,5120,48,age_bin,64,1.0,0.018429
Qwen2.5-14B,14.0,5120,48,age_bin,128,1.0,0.057474
Qwen2.5-14B,14.0,5120,48,age_bin,256,1.0,0.076201
Qwen2.5-14B,14.0,5120,48,age_bin,512,1.0,0.091324
Qwen2.5-14B,14.0,5120,48,gender,5120,1.0,0.236683
Qwen2.5-14B,14.0,5120,48,gender,32,1.0,0.049443
Qwen2.5-14B,14.0,5120,48,gender,64,1.0,0.067364
Qwen2.5-14B,14.0,5120,48,gender,128,1.0,0.088532
Qwen2.5-14B,14.0,5120,48,gender,256,1.0,0.108346
Qwen2.5-14B,14.0,5120,48,gender,512,1.0,0.127145
Qwen2.5-14B,14.0,5120,4,age_bin,5120,1.0,0.037176
Qwen2.5-14B,14.0,5120,4,age_bin,32,1.0,-0.03902
Qwen2.5-14B,14.0,5120,4,age_bin,64,1.0,-0.032662
Qwen2.5-14B,14.0,5120,4,age_bin,128,1.0,-0.0234
Qwen2.5-14B,14.0,5120,4,age_bin,256,1.0,-0.016497
Qwen2.5-14B,14.0,5120,4,age_bin,512,1.0,-0.009732
Qwen2.5-14B,14.0,5120,4,gender,5120,1.0,0.081035
Qwen2.5-14B,14.0,5120,4,gender,32,1.0,0.006653
Qwen2.5-14B,14.0,5120,4,gender,64,1.0,0.011123
Qwen2.5-14B,14.0,5120,4,gender,128,1.0,0.020928
Qwen2.5-14B,14.0,5120,4,gender,256,1.0,0.029195
Qwen2.5-14B,14.0,5120,4,gender,512,1.0,0.037193
Qwen2.5-14B,14.0,5120,8,age_bin,5120,1.0,0.050776
Qwen2.5-14B,14.0,5120,8,age_bin,32,1.0,-0.034046
Qwen2.5-14B,14.0,5120,8,age_bin,64,1.0,-0.025171
Qwen2.5-14B,14.0,5120,8,age_bin,128,1.0,-0.016918
Qwen2.5-14B,14.0,5120,8,age_bin,256,1.0,-0.009483
Qwen2.5-14B,14.0,5120,8,age_bin,512,1.0,0.000637
Qwen2.5-14B,14.0,5120,8,gender,5120,1.0,0.090834
Qwen2.5-14B,14.0,5120,8,gender,32,1.0,0.013089
Qwen2.5-14B,14.0,5120,8,gender,64,1.0,0.019679
Qwen2.5-14B,14.0,5120,8,gender,128,1.0,0.031595
Qwen2.5-14B,14.0,5120,8,gender,256,1.0,0.042946
Qwen2.5-14B,14.0,5120,8,gender,512,1.0,0.052718
Qwen2.5-3B,3.0,2048,0,age_bin,2048,1.0,-0.038248
Qwen2.5-3B,3.0,2048,0,age_bin,32,1.0,-0.04779
Qwen2.5-3B,3.0,2048,0,age_bin,64,1.0,-0.04689
Qwen2.5-3B,3.0,2048,0,age_bin,128,1.0,-0.045467
Qwen2.5-3B,3.0,2048,0,age_bin,256,1.0,-0.044177
Qwen2.5-3B,3.0,2048,0,age_bin,512,1.0,-0.042865
Qwen2.5-3B,3.0,2048,0,gender,2048,1.0,0.009216
Qwen2.5-3B,3.0,2048,0,gender,32,1.0,0.002016
Qwen2.5-3B,3.0,2048,0,gender,64,1.0,0.00258
Qwen2.5-3B,3.0,2048,0,gender,128,1.0,0.003503
Qwen2.5-3B,3.0,2048,0,gender,256,1.0,0.004508
Qwen2.5-3B,3.0,2048,0,gender,512,1.0,0.005518
Qwen2.5-3B,3.0,2048,12,age_bin,2048,1.0,0.068383
Qwen2.5-3B,3.0,2048,12,age_bin,32,1.0,-0.025669
Qwen2.5-3B,3.0,2048,12,age_bin,64,1.0,-0.017606
Qwen2.5-3B,3.0,2048,12,age_bin,128,1.0,-0.008592
Qwen2.5-3B,3.0,2048,12,age_bin,256,1.0,0.008713
Qwen2.5-3B,3.0,2048,12,age_bin,512,1.0,0.020051
Qwen2.5-3B,3.0,2048,12,gender,2048,1.0,0.095738
Qwen2.5-3B,3.0,2048,12,gender,32,1.0,0.020665
Qwen2.5-3B,3.0,2048,12,gender,64,1.0,0.027587
Qwen2.5-3B,3.0,2048,12,gender,128,1.0,0.035067
Qwen2.5-3B,3.0,2048,12,gender,256,1.0,0.049421
Qwen2.5-3B,3.0,2048,12,gender,512,1.0,0.062063
Qwen2.5-3B,3.0,2048,16,age_bin,2048,1.0,0.075197
Qwen2.5-3B,3.0,2048,16,age_bin,32,1.0,-0.023356
Qwen2.5-3B,3.0,2048,16,age_bin,64,1.0,-0.014649
Qwen2.5-3B,3.0,2048,16,age_bin,128,1.0,-0.004321
Qwen2.5-3B,3.0,2048,16,age_bin,256,1.0,0.015525
Qwen2.5-3B,3.0,2048,16,age_bin,512,1.0,0.032128
Qwen2.5-3B,3.0,2048,16,gender,2048,1.0,0.107549
Qwen2.5-3B,3.0,2048,16,gender,32,1.0,0.02454
Qwen2.5-3B,3.0,2048,16,gender,64,1.0,0.033776
Qwen2.5-3B,3.0,2048,16,gender,128,1.0,0.042909
Qwen2.5-3B,3.0,2048,16,gender,256,1.0,0.06032
Qwen2.5-3B,3.0,2048,16,gender,512,1.0,0.076914
Qwen2.5-3B,3.0,2048,20,age_bin,2048,1.0,0.066809
Qwen2.5-3B,3.0,2048,20,age_bin,32,1.0,-0.023146
Qwen2.5-3B,3.0,2048,20,age_bin,64,1.0,-0.013749
Qwen2.5-3B,3.0,2048,20,age_bin,128,1.0,-0.004133
Qwen2.5-3B,3.0,2048,20,age_bin,256,1.0,0.013468
Qwen2.5-3B,3.0,2048,20,age_bin,512,1.0,0.027547
Qwen2.5-3B,3.0,2048,20,gender,2048,1.0,0.107672
Qwen2.5-3B,3.0,2048,20,gender,32,1.0,0.028228
Qwen2.5-3B,3.0,2048,20,gender,64,1.0,0.036329
Qwen2.5-3B,3.0,2048,20,gender,128,1.0,0.043803
Qwen2.5-3B,3.0,2048,20,gender,256,1.0,0.06244
Qwen2.5-3B,3.0,2048,20,gender,512,1.0,0.076511
Qwen2.5-3B,3.0,2048,24,age_bin,2048,1.0,0.10352
Qwen2.5-3B,3.0,2048,24,age_bin,32,1.0,-0.015033
Qwen2.5-3B,3.0,2048,24,age_bin,64,1.0,-0.004913
Qwen2.5-3B,3.0,2048,24,age_bin,128,1.0,0.006103
Qwen2.5-3B,3.0,2048,24,age_bin,256,1.0,0.029949
Qwen2.5-3B,3.0,2048,24,age_bin,512,1.0,0.044655
Qwen2.5-3B,3.0,2048,24,gender,2048,1.0,0.118361
Qwen2.5-3B,3.0,2048,24,gender,32,1.0,0.030178
Qwen2.5-3B,3.0,2048,24,gender,64,1.0,0.035603
Qwen2.5-3B,3.0,2048,24,gender,128,1.0,0.047175
Qwen2.5-3B,3.0,2048,24,gender,256,1.0,0.066067
Qwen2.5-3B,3.0,2048,24,gender,512,1.0,0.082684
Qwen2.5-3B,3.0,2048,28,age_bin,2048,1.0,0.144524
Qwen2.5-3B,3.0,2048,28,age_bin,32,1.0,0.005605
Qwen2.5-3B,3.0,2048,28,age_bin,64,1.0,0.018333
Qwen2.5-3B,3.0,2048,28,age_bin,128,1.0,0.037321
Qwen2.5-3B,3.0,2048,28,age_bin,256,1.0,0.050902
Qwen2.5-3B,3.0,2048,28,age_bin,512,1.0,0.065002
Qwen2.5-3B,3.0,2048,28,gender,2048,1.0,0.176059
Qwen2.5-3B,3.0,2048,28,gender,32,1.0,0.044967
Qwen2.5-3B,3.0,2048,28,gender,64,1.0,0.059111
Qwen2.5-3B,3.0,2048,28,gender,128,1.0,0.075066
Qwen2.5-3B,3.0,2048,28,gender,256,1.0,0.094443
Qwen2.5-3B,3.0,2048,28,gender,512,1.0,0.108411
Qwen2.5-3B,3.0,2048,32,age_bin,2048,1.0,0.12978
Qwen2.5-3B,3.0,2048,32,age_bin,32,1.0,0.004775
Qwen2.5-3B,3.0,2048,32,age_bin,64,1.0,0.020872
Qwen2.5-3B,3.0,2048,32,age_bin,128,1.0,0.035651
Qwen2.5-3B,3.0,2048,32,age_bin,256,1.0,0.046476
Qwen2.5-3B,3.0,2048,32,age_bin,512,1.0,0.05636
Qwen2.5-3B,3.0,2048,32,gender,2048,1.0,0.146501
Qwen2.5-3B,3.0,2048,32,gender,32,1.0,0.043883
Qwen2.5-3B,3.0,2048,32,gender,64,1.0,0.056297
Qwen2.5-3B,3.0,2048,32,gender,128,1.0,0.068517
Qwen2.5-3B,3.0,2048,32,gender,256,1.0,0.078099
Qwen2.5-3B,3.0,2048,32,gender,512,1.0,0.088794
Qwen2.5-3B,3.0,2048,36,age_bin,2048,1.0,0.133301
Qwen2.5-3B,3.0,2048,36,age_bin,32,1.0,-0.001648
Qwen2.5-3B,3.0,2048,36,age_bin,64,1.0,0.023263
Qwen2.5-3B,3.0,2048,36,age_bin,128,1.0,0.040328
Qwen2.5-3B,3.0,2048,36,age_bin,256,1.0,0.051327
Qwen2.5-3B,3.0,2048,36,age_bin,512,1.0,0.0596
Qwen2.5-3B,3.0,2048,36,gender,2048,1.0,0.156272
Qwen2.5-3B,3.0,2048,36,gender,32,1.0,0.054234
Qwen2.5-3B,3.0,2048,36,gender,64,1.0,0.064967
Qwen2.5-3B,3.0,2048,36,gender,128,1.0,0.076389
Qwen2.5-3B,3.0,2048,36,gender,256,1.0,0.08366
Qwen2.5-3B,3.0,2048,36,gender,512,1.0,0.091935
Qwen2.5-3B,3.0,2048,4,age_bin,2048,1.0,0.01638
Qwen2.5-3B,3.0,2048,4,age_bin,32,1.0,-0.040147
Qwen2.5-3B,3.0,2048,4,age_bin,64,1.0,-0.032944
Qwen2.5-3B,3.0,2048,4,age_bin,128,1.0,-0.02345
Qwen2.5-3B,3.0,2048,4,age_bin,256,1.0,-0.016146
Qwen2.5-3B,3.0,2048,4,age_bin,512,1.0,-0.008907
Qwen2.5-3B,3.0,2048,4,gender,2048,1.0,0.057566
Qwen2.5-3B,3.0,2048,4,gender,32,1.0,0.007514
Qwen2.5-3B,3.0,2048,4,gender,64,1.0,0.013577
Qwen2.5-3B,3.0,2048,4,gender,128,1.0,0.023187
Qwen2.5-3B,3.0,2048,4,gender,256,1.0,0.031589
Qwen2.5-3B,3.0,2048,4,gender,512,1.0,0.03984
Qwen2.5-3B,3.0,2048,8,age_bin,2048,1.0,0.02118
Qwen2.5-3B,3.0,2048,8,age_bin,32,1.0,-0.035638
Qwen2.5-3B,3.0,2048,8,age_bin,64,1.0,-0.027704
Qwen2.5-3B,3.0,2048,8,age_bin,128,1.0,-0.021453
Qwen2.5-3B,3.0,2048,8,age_bin,256,1.0,-0.014219
Qwen2.5-3B,3.0,2048,8,age_bin,512,1.0,-0.006446
Qwen2.5-3B,3.0,2048,8,gender,2048,1.0,0.057344
Qwen2.5-3B,3.0,2048,8,gender,32,1.0,0.010787
Qwen2.5-3B,3.0,2048,8,gender,64,1.0,0.017229
Qwen2.5-3B,3.0,2048,8,gender,128,1.0,0.023665
Qwen2.5-3B,3.0,2048,8,gender,256,1.0,0.031774
Qwen2.5-3B,3.0,2048,8,gender,512,1.0,0.039072
Qwen2.5-7B,7.0,3584,0,age_bin,3584,1.0,-0.037087
Qwen2.5-7B,7.0,3584,0,age_bin,32,1.0,-0.047885
Qwen2.5-7B,7.0,3584,0,age_bin,64,1.0,-0.046495
Qwen2.5-7B,7.0,3584,0,age_bin,128,1.0,-0.044968
Qwen2.5-7B,7.0,3584,0,age_bin,256,1.0,-0.043652
Qwen2.5-7B,7.0,3584,0,age_bin,512,1.0,-0.042683
Qwen2.5-7B,7.0,3584,0,gender,3584,1.0,0.010827
Qwen2.5-7B,7.0,3584,0,gender,32,1.0,0.001938
Qwen2.5-7B,7.0,3584,0,gender,64,1.0,0.002932
Qwen2.5-7B,7.0,3584,0,gender,128,1.0,0.004338
Qwen2.5-7B,7.0,3584,0,gender,256,1.0,0.005219
Qwen2.5-7B,7.0,3584,0,gender,512,1.0,0.005846
Qwen2.5-7B,7.0,3584,12,age_bin,3584,1.0,0.1014
Qwen2.5-7B,7.0,3584,12,age_bin,32,1.0,-0.017846
Qwen2.5-7B,7.0,3584,12,age_bin,64,1.0,-0.002651
Qwen2.5-7B,7.0,3584,12,age_bin,128,1.0,0.012742
Qwen2.5-7B,7.0,3584,12,age_bin,256,1.0,0.028859
Qwen2.5-7B,7.0,3584,12,age_bin,512,1.0,0.047296
Qwen2.5-7B,7.0,3584,12,gender,3584,1.0,0.128136
Qwen2.5-7B,7.0,3584,12,gender,32,1.0,0.033175
Qwen2.5-7B,7.0,3584,12,gender,64,1.0,0.043274
Qwen2.5-7B,7.0,3584,12,gender,128,1.0,0.054878
Qwen2.5-7B,7.0,3584,12,gender,256,1.0,0.073275
Qwen2.5-7B,7.0,3584,12,gender,512,1.0,0.091103
Qwen2.5-7B,7.0,3584,16,age_bin,3584,1.0,0.110806
Qwen2.5-7B,7.0,3584,16,age_bin,32,1.0,-0.013451
Qwen2.5-7B,7.0,3584,16,age_bin,64,1.0,0.001392
Qwen2.5-7B,7.0,3584,16,age_bin,128,1.0,0.015985
Qwen2.5-7B,7.0,3584,16,age_bin,256,1.0,0.031939
Qwen2.5-7B,7.0,3584,16,age_bin,512,1.0,0.048538
Qwen2.5-7B,7.0,3584,16,gender,3584,1.0,0.130305
Qwen2.5-7B,7.0,3584,16,gender,32,1.0,0.032577
Qwen2.5-7B,7.0,3584,16,gender,64,1.0,0.044575
Qwen2.5-7B,7.0,3584,16,gender,128,1.0,0.058046
Qwen2.5-7B,7.0,3584,16,gender,256,1.0,0.074216
Qwen2.5-7B,7.0,3584,16,gender,512,1.0,0.090746
Qwen2.5-7B,7.0,3584,20,age_bin,3584,1.0,0.186668
Qwen2.5-7B,7.0,3584,20,age_bin,32,1.0,0.00983
Qwen2.5-7B,7.0,3584,20,age_bin,64,1.0,0.036967
Qwen2.5-7B,7.0,3584,20,age_bin,128,1.0,0.052932
Qwen2.5-7B,7.0,3584,20,age_bin,256,1.0,0.065651
Qwen2.5-7B,7.0,3584,20,age_bin,512,1.0,0.079224
Qwen2.5-7B,7.0,3584,20,gender,3584,1.0,0.220726
Qwen2.5-7B,7.0,3584,20,gender,32,1.0,0.049558
Qwen2.5-7B,7.0,3584,20,gender,64,1.0,0.074099
Qwen2.5-7B,7.0,3584,20,gender,128,1.0,0.100347
Qwen2.5-7B,7.0,3584,20,gender,256,1.0,0.11515
Qwen2.5-7B,7.0,3584,20,gender,512,1.0,0.127322
Qwen2.5-7B,7.0,3584,24,age_bin,3584,1.0,0.17691
Qwen2.5-7B,7.0,3584,24,age_bin,32,1.0,0.010192
Qwen2.5-7B,7.0,3584,24,age_bin,64,1.0,0.03247
Qwen2.5-7B,7.0,3584,24,age_bin,128,1.0,0.049955
Qwen2.5-7B,7.0,3584,24,age_bin,256,1.0,0.063051
Qwen2.5-7B,7.0,3584,24,age_bin,512,1.0,0.073599
Qwen2.5-7B,7.0,3584,24,gender,3584,1.0,0.196897
Qwen2.5-7B,7.0,3584,24,gender,32,1.0,0.054233
