model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Llama-3.1-8B,8.0,4096,32,gender,4096,1.0,0.232965
Llama-3.1-8B,8.0,4096,32,gender,32,1.0,0.054192
Llama-3.1-8B,8.0,4096,32,gender,64,1.0,0.069407
Llama-3.1-8B,8.0,4096,32,gender,128,1.0,0.089675
Llama-3.1-8B,8.0,4096,32,gender,256,1.0,0.105351
Llama-3.1-8B,8.0,4096,32,gender,512,1.0,0.121286
Llama-3.1-8B,8.0,4096,4,age_bin,4096,1.0,0.073383
Llama-3.1-8B,8.0,4096,4,age_bin,32,1.0,-0.030379
Llama-3.1-8B,8.0,4096,4,age_bin,64,1.0,-0.0192
Llama-3.1-8B,8.0,4096,4,age_bin,128,1.0,-0.010224
Llama-3.1-8B,8.0,4096,4,age_bin,256,1.0,-0.000415
Llama-3.1-8B,8.0,4096,4,age_bin,512,1.0,0.011133
Llama-3.1-8B,8.0,4096,4,gender,4096,1.0,0.118431
Llama-3.1-8B,8.0,4096,4,gender,32,1.0,0.016683
Llama-3.1-8B,8.0,4096,4,gender,64,1.0,0.027031
Llama-3.1-8B,8.0,4096,4,gender,128,1.0,0.034846
Llama-3.1-8B,8.0,4096,4,gender,256,1.0,0.045257
Llama-3.1-8B,8.0,4096,4,gender,512,1.0,0.060503
Llama-3.1-8B,8.0,4096,8,age_bin,4096,1.0,0.099891
Llama-3.1-8B,8.0,4096,8,age_bin,32,1.0,-0.024207
Llama-3.1-8B,8.0,4096,8,age_bin,64,1.0,-0.010894
Llama-3.1-8B,8.0,4096,8,age_bin,128,1.0,0.000395
Llama-3.1-8B,8.0,4096,8,age_bin,256,1.0,0.014084
Llama-3.1-8B,8.0,4096,8,age_bin,512,1.0,0.025905
Llama-3.1-8B,8.0,4096,8,gender,4096,1.0,0.129401
Llama-3.1-8B,8.0,4096,8,gender,32,1.0,0.026048
Llama-3.1-8B,8.0,4096,8,gender,64,1.0,0.033447
Llama-3.1-8B,8.0,4096,8,gender,128,1.0,0.043122
Llama-3.1-8B,8.0,4096,8,gender,256,1.0,0.054805
Llama-3.1-8B,8.0,4096,8,gender,512,1.0,0.067927
Llama-3.2-1B,1.2,2048,0,age_bin,2048,1.0,-0.037795
Llama-3.2-1B,1.2,2048,0,age_bin,32,1.0,-0.047652
Llama-3.2-1B,1.2,2048,0,age_bin,64,1.0,-0.045967
Llama-3.2-1B,1.2,2048,0,age_bin,128,1.0,-0.044942
Llama-3.2-1B,1.2,2048,0,age_bin,256,1.0,-0.043587
Llama-3.2-1B,1.2,2048,0,age_bin,512,1.0,-0.042392
Llama-3.2-1B,1.2,2048,0,gender,2048,1.0,0.010072
Llama-3.2-1B,1.2,2048,0,gender,32,1.0,0.002285
Llama-3.2-1B,1.2,2048,0,gender,64,1.0,0.00328
Llama-3.2-1B,1.2,2048,0,gender,128,1.0,0.004197
Llama-3.2-1B,1.2,2048,0,gender,256,1.0,0.005179
Llama-3.2-1B,1.2,2048,0,gender,512,1.0,0.005973
Llama-3.2-1B,1.2,2048,12,age_bin,2048,1.0,0.1032
Llama-3.2-1B,1.2,2048,12,age_bin,32,1.0,-0.012019
Llama-3.2-1B,1.2,2048,12,age_bin,64,1.0,0.001588
Llama-3.2-1B,1.2,2048,12,age_bin,128,1.0,0.014846
Llama-3.2-1B,1.2,2048,12,age_bin,256,1.0,0.030867
Llama-3.2-1B,1.2,2048,12,age_bin,512,1.0,0.042783
Llama-3.2-1B,1.2,2048,12,gender,2048,1.0,0.140582
Llama-3.2-1B,1.2,2048,12,gender,32,1.0,0.031379
Llama-3.2-1B,1.2,2048,12,gender,64,1.0,0.043377
Llama-3.2-1B,1.2,2048,12,gender,128,1.0,0.055098
Llama-3.2-1B,1.2,2048,12,gender,256,1.0,0.072446
Llama-3.2-1B,1.2,2048,12,gender,512,1.0,0.086237
Llama-3.2-1B,1.2,2048,16,age_bin,2048,1.0,0.126807
Llama-3.2-1B,1.2,2048,16,age_bin,32,1.0,-3.6e-05
Llama-3.2-1B,1.2,2048,16,age_bin,64,1.0,0.018744
Llama-3.2-1B,1.2,2048,16,age_bin,128,1.0,0.034763
Llama-3.2-1B,1.2,2048,16,age_bin,256,1.0,0.044663
Llama-3.2-1B,1.2,2048,16,age_bin,512,1.0,0.052817
Llama-3.2-1B,1.2,2048,16,gender,2048,1.0,0.164506
Llama-3.2-1B,1.2,2048,16,gender,32,1.0,0.050695
Llama-3.2-1B,1.2,2048,16,gender,64,1.0,0.067267
Llama-3.2-1B,1.2,2048,16,gender,128,1.0,0.077977
Llama-3.2-1B,1.2,2048,16,gender,256,1.0,0.086858
Llama-3.2-1B,1.2,2048,16,gender,512,1.0,0.093464
Llama-3.2-1B,1.2,2048,4,age_bin,2048,1.0,0.040074
Llama-3.2-1B,1.2,2048,4,age_bin,32,1.0,-0.034235
Llama-3.2-1B,1.2,2048,4,age_bin,64,1.0,-0.025401
Llama-3.2-1B,1.2,2048,4,age_bin,128,1.0,-0.016279
Llama-3.2-1B,1.2,2048,4,age_bin,256,1.0,-0.005939
Llama-3.2-1B,1.2,2048,4,age_bin,512,1.0,0.004447
Llama-3.2-1B,1.2,2048,4,gender,2048,1.0,0.087463
Llama-3.2-1B,1.2,2048,4,gender,32,1.0,0.015618
Llama-3.2-1B,1.2,2048,4,gender,64,1.0,0.024738
Llama-3.2-1B,1.2,2048,4,gender,128,1.0,0.031177
Llama-3.2-1B,1.2,2048,4,gender,256,1.0,0.039573
Llama-3.2-1B,1.2,2048,4,gender,512,1.0,0.05473
Llama-3.2-1B,1.2,2048,8,age_bin,2048,1.0,0.075437
Llama-3.2-1B,1.2,2048,8,age_bin,32,1.0,-0.026528
Llama-3.2-1B,1.2,2048,8,age_bin,64,1.0,-0.013816
Llama-3.2-1B,1.2,2048,8,age_bin,128,1.0,-0.001203
Llama-3.2-1B,1.2,2048,8,age_bin,256,1.0,0.015965
