batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
16,1.44859,0.32097,0.94048,0.49384,3.1825,0.08435,1.48088,0.33031,0.93901,0.505,3.13162,0.08419,1.45929,0.34248,0.96403,0.50206,3.20491,0.08122,1.49809,0.33418,0.96342,0.49874,3.28965,0.08406,1.59797,0.33088,0.98309,0.51378,3.22966,0.08325,1.38891,0.35967,0.97331,0.5179,3.25718,0.08392,1.44205,0.35552,0.96076,0.5141,3.23919,0.08506,1.44404,0.35371,0.91472,0.51739,3.23885,0.08389
17,1.4424,0.32147,0.94349,0.49447,3.16392,0.08418,1.47639,0.33052,0.8935,0.50622,3.1353,0.0842,1.49258,0.34285,0.95667,0.50233,3.21682,0.08116,1.52084,0.3339,0.89713,0.50057,3.21882,0.0839,1.51162,0.33188,0.94247,0.51454,3.20793,0.08341,1.41483,0.3604,0.89747,0.51944,3.24867,0.08387,1.43685,0.35604,0.9354,0.51533,3.25356,0.08497,1.39152,0.35581,0.80877,0.52084,3.27403,0.08369
18,1.42599,0.32127,0.92265,0.49515,3.13032,0.08434,1.44283,0.33155,0.92327,0.50623,3.17943,0.0842,1.52603,0.34236,0.93339,0.50303,3.19536,0.08116,1.52298,0.3336,0.93409,0.50103,3.11083,0.08458,1.52392,0.33194,0.96984,0.51438,3.26801,0.08333,1.40972,0.36094,0.90329,0.52076,3.25747,0.08381,1.42764,0.35642,0.93902,0.5159,3.26235,0.08484,1.42416,0.35651,0.86141,0.52253,3.32655,0.08312
19,1.44353,0.32137,0.92114,0.49515,3.14476,0.08452,1.44903,0.33235,0.92964,0.50589,3.16008,0.08407,1.46559,0.34309,0.97002,0.50269,3.17717,0.08134,1.47645,0.33423,0.93528,0.50152,3.20161,0.08444,1.50248,0.33283,0.98773,0.5138,3.2037,0.08352,1.38496,0.36204,0.96512,0.52015,3.14655,0.08441,1.41174,0.35741,0.97352,0.51567,3.2558,0.0848,1.38805,0.3585,0.87163,0.5234,3.28109,0.08256
20,1.41566,0.32127,0.9091,0.4954,3.16394,0.0843,1.45492,0.33301,0.92098,0.50598,3.14405,0.08384,1.47666,0.34339,0.95315,0.50244,3.16893,0.08149,1.5103,0.33405,0.91301,0.50232,3.15909,0.08465,1.51292,0.33324,0.96054,0.51399,3.25183,0.08356,1.42228,0.36185,0.93004,0.52076,3.27625,0.0843,1.42439,0.35769,0.94601,0.51623,3.29969,0.0843,1.42732,0.35908,0.84955,0.52511,3.23381,0.08276
21,1.47358,0.32112,0.92942,0.49492,3.16072,0.08425,1.43874,0.33423,0.91691,0.50628,3.15839,0.08382,1.47707,0.34316,1.0368,0.50234,3.17886,0.08163,1.50314,0.33379,0.9006,0.50344,3.25904,0.08433,1.47555,0.3342,0.99563,0.51315,3.22843,0.08359,1.47115,0.3613,0.95848,0.52003,3.27345,0.08392,1.43639,0.35783,0.98613,0.51571,3.22034,0.08416,1.4034,0.35993,0.92863,0.52566,3.26252,0.08235
22,1.41127,0.32135,0.91119,0.49507,3.13119,0.08429,1.45453,0.33465,0.90525,0.5063,3.11523,0.08393,1.49435,0.343,0.94907,0.50228,3.17705,0.08161,1.48355,0.33399,0.90464,0.50396,3.10559,0.08469,1.52937,0.33407,0.94379,0.51324,3.25091,0.08338,1.43033,0.36115,0.92709,0.52022,3.21062,0.08416,1.40581,0.35826,0.97082,0.51548,3.21336,0.08406,1.46223,0.35909,0.88875,0.5257,3.12166,0.08256
23,1.40617,0.32168,0.91752,0.49519,3.13439,0.0841,1.48648,0.33446,0.90837,0.50636,3.13226,0.08396,1.50145,0.34275,0.93703,0.5026,3.13841,0.08172,1.43345,0.33476,0.89039,0.5049,3.18419,0.08455,1.501,0.3342,0.94361,0.51363,3.13872,0.08391,1.38038,0.36199,0.90724,0.52075,3.2337,0.08424,1.3704,0.35959,0.92102,0.51643,3.20945,0.08406,1.35332,0.36099,0.84066,0.52675,3.29654,0.08204
24,1.40615,0.32221,0.92513,0.49504,3.14616,0.08403,1.43171,0.33526,0.88045,0.50722,3.14434,0.084,1.47035,0.34321,0.94781,0.50261,3.22822,0.08159,1.42989,0.33561,0.90505,0.50551,3.19832,0.08456,1.46047,0.33501,0.92624,0.51425,3.25124,0.08372,1.30936,0.36384,0.9156,0.52105,3.1949,0.08427,1.33782,0.36121,0.89574,0.51783,3.25988,0.08383,1.36738,0.3628,0.84418,0.52826,3.30705,0.08151
25,1.4042,0.32292,0.91469,0.49489,3.13034,0.08395,1.45124,0.33562,0.90902,0.5069,3.09993,0.08417,1.48963,0.34294,0.95068,0.50255,3.15301,0.08171,1.4397,0.3361,0.91986,0.50582,3.19186,0.08448,1.49568,0.3352,0.94758,0.51437,3.2394,0.08372,1.40081,0.36401,0.91824,0.52139,3.22497,0.08421,1.44238,0.36088,0.94465,0.51782,3.23664,0.08385,1.47795,0.36208,0.86654,0.52866,3.17787,0.08165
26,1.38416,0.32303,0.90317,0.49461,3.11203,0.08386,1.42823,0.33612,0.90833,0.50674,3.1002,0.08423,1.44962,0.34326,0.94906,0.50239,3.16289,0.08176,1.44668,0.33654,0.96003,0.50528,3.15056,0.08463,1.47358,0.33572,0.97295,0.51379,3.18446,0.08378,1.35144,0.36478,0.94702,0.52117,3.24429,0.08401,1.40326,0.36127,0.96014,0.51751,3.18018,0.08407,1.31742,0.36385,0.89336,0.52891,3.14073,0.08211
27,1.39886,0.32336,0.90733,0.49486,3.12814,0.08385,1.44341,0.33639,0.89234,0.507,3.14074,0.0841,1.45565,0.34347,0.92003,0.50284,3.1807,0.08165,1.41191,0.33753,0.89888,0.50596,3.19986,0.0845,1.47136,0.33629,0.95776,0.51355,3.11885,0.08433,1.37062,0.36551,0.89874,0.5218,3.27345,0.08369,1.3698,0.3621,0.92376,0.51811,3.20524,0.08403,1.38785,0.36457,0.85684,0.52931,3.19988,0.08218
