batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
445,1.12546,0.36724,0.72604,0.51705,2.74324,0.08628,1.02787,0.40891,0.68985,0.55108,2.72752,0.08503,0.99135,0.43343,0.68465,0.5724,2.70305,0.08589,0.9546,0.44605,0.6708,0.57999,2.71899,0.0854,0.95305,0.44332,0.67488,0.57477,2.68252,0.08599,0.89084,0.48006,0.66751,0.59469,2.74302,0.08736,0.8675,0.50814,0.64296,0.61411,2.76927,0.09024,0.89164,0.5142,0.64436,0.62194,2.78752,0.09183
446,1.13715,0.36726,0.72156,0.51706,2.72775,0.08629,1.03818,0.40901,0.66241,0.55121,2.69547,0.08504,0.98076,0.43357,0.63646,0.57255,2.69675,0.08591,0.93592,0.44622,0.61221,0.58018,2.70159,0.08542,0.96518,0.44346,0.62153,0.57494,2.67108,0.08602,0.8955,0.48021,0.60569,0.59486,2.71546,0.08737,0.87318,0.50827,0.56184,0.61432,2.71415,0.09026,0.85472,0.51434,0.56865,0.62212,2.74276,0.09186
447,1.14434,0.36728,0.72679,0.51705,2.75663,0.0863,1.05287,0.40909,0.69619,0.55124,2.71645,0.08503,0.98167,0.43371,0.6792,0.5726,2.7004,0.08593,0.96657,0.44635,0.65835,0.58025,2.69775,0.08543,0.97487,0.44359,0.66955,0.575,2.71456,0.08602,0.87259,0.48043,0.62812,0.59498,2.72734,0.08737,0.81776,0.5085,0.6194,0.61441,2.78174,0.09026,0.84573,0.51453,0.6188,0.62221,2.70461,0.09192
448,1.13628,0.3673,0.72931,0.51705,2.72428,0.08631,1.05166,0.40916,0.7065,0.55126,2.69188,0.08504,1.00331,0.43382,0.68242,0.57266,2.68678,0.08595,0.97683,0.44648,0.67811,0.58029,2.68477,0.08545,0.99627,0.44368,0.68534,0.57502,2.69428,0.08604,0.90282,0.48061,0.68032,0.595,2.72754,0.08737,0.88083,0.50866,0.6654,0.61442,2.7056,0.0903,0.87432,0.51469,0.66307,0.62221,2.70836,0.09197
449,1.1055,0.36738,0.72318,0.5171,2.75153,0.0863,1.04793,0.40925,0.67004,0.55135,2.71375,0.08505,0.98889,0.43394,0.64765,0.57276,2.71666,0.08594,1.00965,0.44655,0.61656,0.58045,2.69739,0.08546,1.02336,0.44373,0.63131,0.57515,2.71126,0.08604,0.9235,0.48074,0.60561,0.59515,2.72784,0.08738,0.91867,0.50874,0.60434,0.61451,2.7367,0.09031,0.89823,0.51481,0.60799,0.62229,2.76013,0.09199
450,1.13793,0.36741,0.7297,0.51711,2.73875,0.08628,1.0563,0.40934,0.70184,0.55138,2.70524,0.08505,1.015,0.43405,0.70281,0.57277,2.71074,0.08595,1.00337,0.44666,0.68682,0.58051,2.7028,0.08548,1.0081,0.44386,0.69427,0.5752,2.71491,0.08605,0.94183,0.48088,0.65981,0.59522,2.7339,0.08738,0.91458,0.50887,0.6521,0.61457,2.78047,0.09032,0.89647,0.51497,0.65659,0.62231,2.75196,0.09202
451,1.13691,0.36744,0.7184,0.51715,2.74066,0.08629,1.03474,0.40946,0.66909,0.5515,2.70497,0.08505,0.98522,0.43422,0.65423,0.57289,2.71321,0.08596,0.93858,0.44685,0.63916,0.58063,2.71421,0.08549,0.96389,0.44401,0.64235,0.57533,2.68741,0.08606,0.89172,0.48108,0.6315,0.59533,2.73166,0.08739,0.86995,0.50907,0.62859,0.61465,2.75508,0.09033,0.8823,0.51512,0.61779,0.6224,2.76653,0.09204
452,1.1337,0.36746,0.71465,0.51719,2.72906,0.0863,1.0706,0.40948,0.66542,0.55164,2.71519,0.08504,1.03167,0.43426,0.63829,0.57305,2.7292,0.08595,0.97713,0.44694,0.60379,0.58082,2.7269,0.08549,0.9954,0.4441,0.61962,0.5755,2.70074,0.08607,0.97005,0.48112,0.59974,0.59549,2.74325,0.08739,0.96528,0.50908,0.57646,0.61482,2.78247,0.09034,0.94264,0.51516,0.56839,0.62256,2.76698,0.09205
453,1.12951,0.3675,0.73548,0.51718,2.72365,0.08635,1.02102,0.40963,0.71545,0.55162,2.67845,0.08506,0.97636,0.43443,0.70143,0.57308,2.71854,0.08596,0.9459,0.44711,0.70361,0.58082,2.68822,0.08549,0.95715,0.44425,0.69658,0.57551,2.73128,0.08606,0.89222,0.4813,0.68161,0.59552,2.73515,0.08739,0.89314,0.50921,0.66649,0.61487,2.76952,0.09034,0.83392,0.51536,0.67037,0.62259,2.78233,0.09205
454,1.14833,0.36751,0.72906,0.51719,2.7337,0.08639,1.07673,0.40968,0.70784,0.55164,2.70642,0.08507,1.00348,0.43454,0.66376,0.57316,2.71119,0.08597,0.99901,0.44721,0.66836,0.58087,2.71263,0.0855,1.00236,0.44433,0.66744,0.57559,2.69513,0.08607,0.94542,0.4814,0.6646,0.59555,2.70293,0.08741,0.93103,0.50927,0.62544,0.61494,2.76982,0.09035,0.91453,0.51542,0.63273,0.62263,2.72304,0.09209
