batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
683,1.09293,0.37193,0.70956,0.51815,2.67755,0.08853,1.01175,0.41677,0.67202,0.55414,2.66577,0.08586,0.97941,0.43176,0.66658,0.5736,2.65069,0.08723,0.97171,0.44151,0.65604,0.58043,2.65927,0.0865,0.98586,0.44013,0.66758,0.57491,2.63646,0.08765,0.91864,0.4692,0.65562,0.58824,2.63763,0.08813,0.89218,0.49799,0.64596,0.60927,2.67667,0.09177,0.87556,0.50133,0.64425,0.61398,2.67999,0.09333
684,1.10514,0.37195,0.7126,0.51814,2.67978,0.08852,1.0278,0.41682,0.70692,0.55412,2.66245,0.08586,0.9881,0.43183,0.68619,0.5736,2.67675,0.08722,0.97413,0.44156,0.68381,0.58042,2.64678,0.0865,0.99716,0.44017,0.68036,0.57491,2.62681,0.08765,0.93626,0.46927,0.67748,0.58823,2.68109,0.08812,0.88842,0.49806,0.64594,0.60928,2.67992,0.09177,0.88798,0.50139,0.65206,0.61397,2.69275,0.09333
685,1.09944,0.37198,0.70949,0.51815,2.67161,0.08852,1.00873,0.41691,0.68423,0.55416,2.67923,0.08585,0.99628,0.4319,0.67238,0.57364,2.65608,0.08722,0.9695,0.44165,0.67367,0.58046,2.64518,0.0865,0.98509,0.44023,0.66555,0.57494,2.65268,0.08765,0.94101,0.46934,0.65732,0.58826,2.66807,0.08812,0.916,0.49811,0.64506,0.6093,2.70021,0.09176,0.89693,0.50146,0.63138,0.614,2.70749,0.09333
686,1.11724,0.372,0.70238,0.51817,2.68125,0.08852,1.05287,0.41695,0.67998,0.5542,2.66691,0.08586,1.02798,0.43195,0.67265,0.57367,2.65045,0.08722,1.01495,0.4417,0.65382,0.58051,2.63368,0.08652,1.01978,0.44029,0.66237,0.575,2.65047,0.08766,0.96658,0.46942,0.6297,0.58834,2.64949,0.08813,0.97901,0.49816,0.61975,0.60936,2.68746,0.09176,0.96028,0.50152,0.63173,0.61404,2.66431,0.09334
687,1.07998,0.37206,0.70467,0.5182,2.67878,0.08853,1.03109,0.41698,0.66518,0.55427,2.64064,0.08587,0.99934,0.43201,0.64054,0.57375,2.65447,0.08723,0.97058,0.44177,0.6199,0.58063,2.63989,0.08653,0.99014,0.44032,0.63495,0.57508,2.61587,0.08768,0.96454,0.46943,0.62562,0.58843,2.6355,0.08815,0.95109,0.49816,0.59916,0.60945,2.62629,0.0918,0.97292,0.5015,0.60208,0.61413,2.62199,0.09339
688,1.06919,0.37214,0.70396,0.51821,2.66805,0.08855,1.00778,0.41702,0.67998,0.55431,2.64513,0.08588,0.97634,0.43207,0.66027,0.57381,2.65421,0.08723,0.96875,0.44182,0.66374,0.58067,2.64667,0.08654,0.96478,0.44038,0.6552,0.57514,2.65244,0.08768,0.93357,0.46947,0.63381,0.5885,2.63443,0.08816,0.89653,0.49821,0.61796,0.60951,2.65636,0.09182,0.91787,0.50152,0.61967,0.61419,2.60644,0.09341
689,1.07709,0.3722,0.70325,0.51823,2.67092,0.08856,1.00755,0.41708,0.66931,0.55437,2.64122,0.08589,0.97609,0.43215,0.64138,0.57389,2.62839,0.08724,0.95727,0.4419,0.63722,0.58074,2.62829,0.08655,0.97117,0.44044,0.6502,0.5752,2.62679,0.0877,0.92689,0.46954,0.63176,0.58857,2.64073,0.08817,0.89906,0.49826,0.59426,0.60959,2.63501,0.09184,0.90228,0.50157,0.594,0.61427,2.66854,0.09343
690,1.10862,0.37224,0.7082,0.51823,2.68379,0.08855,1.05296,0.4171,0.6855,0.55439,2.6532,0.08589,1.02505,0.43219,0.67629,0.57391,2.6669,0.08724,1.01405,0.44191,0.65978,0.58078,2.63787,0.08656,1.01932,0.44047,0.67591,0.57522,2.66044,0.0877,0.9977,0.46954,0.65286,0.5886,2.6605,0.08818,0.99393,0.49823,0.64448,0.60961,2.67951,0.09185,0.96927,0.50155,0.64731,0.61428,2.70093,0.09343
691,1.11854,0.37226,0.70446,0.51826,2.67018,0.08857,1.08492,0.41709,0.66451,0.55447,2.64536,0.0859,1.03817,0.4322,0.64532,0.574,2.64405,0.08726,1.04759,0.44191,0.64137,0.58086,2.64601,0.08656,1.03227,0.44048,0.64972,0.5753,2.64583,0.08771,1.01472,0.46954,0.61821,0.58871,2.64333,0.08819,0.98554,0.49823,0.60861,0.6097,2.67556,0.09186,0.96821,0.50156,0.60142,0.61437,2.69898,0.09344
692,1.1079,0.37229,0.70407,0.51827,2.67473,0.08859,1.00173,0.41717,0.68018,0.5545,2.64927,0.08591,0.96334,0.43232,0.66522,0.57404,2.64016,0.08726,0.93378,0.44203,0.65827,0.58092,2.67291,0.08656,0.95687,0.44057,0.67507,0.57532,2.64568,0.08771,0.89509,0.46966,0.64401,0.58877,2.65163,0.08819,0.84757,0.49835,0.6282,0.60975,2.65525,0.09187,0.84809,0.50169,0.61772,0.61443,2.6591,0.09345
693,1.09972,0.37231,0.70598,0.51828,2.66059,0.0886,0.99432,0.41725,0.67172,0.55456,2.64346,0.08591,0.95506,0.43241,0.65594,0.5741,2.63922,0.08727,0.93568,0.44212,0.64354,0.58098,2.66361,0.08656,0.94809,0.44065,0.65244,0.57539,2.6411,0.08772,0.89667,0.46976,0.63512,0.58883,2.65152,0.0882,0.85819,0.49845,0.62166,0.60981,2.69142,0.09187,0.86074,0.50179,0.61517,0.61449,2.67142,0.09346
694,1.12991,0.37232,0.71037,0.51828,2.68209,0.0886,1.04508,0.41729,0.68534,0.5546,2.6688,0.08591,1.01586,0.43248,0.66071,0.57416,2.65357,0.08727,0.99516,0.4422,0.6535,0.58105,2.64088,0.08657,1.01042,0.44071,0.66308,0.57544,2.65509,0.08772,0.96768,0.46982,0.63971,0.5889,2.65124,0.08821,0.98395,0.49848,0.62683,0.60987,2.6659,0.09187,0.97724,0.50182,0.63459,0.61453,2.66324,0.09348
695,1.11106,0.37235,0.70922,0.51829,2.69533,0.08859,1.01501,0.41737,0.70419,0.55459,2.67067,0.08592,0.98658,0.43256,0.70313,0.57414,2.67387,0.08727,0.95788,0.4423,0.70957,0.58102,2.64549,0.08658,0.97164,0.44079,0.70138,0.57542,2.66811,0.08772,0.91807,0.46993,0.6879,0.58889,2.67204,0.0882,0.89599,0.49856,0.69242,0.60984,2.68458,0.09187,0.89902,0.50189,0.68959,0.61449,2.67822,0.09348
696,1.09059,0.37242,0.70187,0.51832,2.68143,0.0886,1.0421,0.41738,0.67132,0.55466,2.65578,0.08592,1.03372,0.43256,0.64368,0.57423,2.63472,0.08728,1.01416,0.4423,0.63667,0.58112,2.64642,0.08658,1.01634,0.44079,0.64364,0.5755,2.64693,0.08772,0.97495,0.46994,0.61912,0.589,2.63607,0.08822,0.94975,0.49857,0.61384,0.60994,2.64565,0.09189,0.94523,0.50191,0.61357,0.61455,2.66117,0.0935
697,1.10781,0.37244,0.70509,0.51834,2.67368,0.08861,1.01252,0.41745,0.66442,0.55472,2.63843,0.08593,0.98663,0.43264,0.63283,0.57431,2.66029,0.08728,0.96891,0.44235,0.6288,0.5812,2.63225,0.08659,0.98013,0.44083,0.63215,0.57559,2.64349,0.08773,0.90971,0.47003,0.59311,0.58912,2.66196,0.08822,0.9124,0.49863,0.5787,0.61005,2.67879,0.0919,0.89161,0.50199,0.58199,0.61464,2.62147,0.09353
698,1.11164,0.37244,0.70496,0.51836,2.66376,0.08863,1.01796,0.4175,0.65402,0.5548,2.63439,0.08594,0.97354,0.43273,0.63481,0.57441,2.63769,0.08729,0.9555,0.44244,0.63279,0.58128,2.64484,0.0866,0.97077,0.4409,0.63889,0.57567,2.6301,0.08774,0.93096,0.4701,0.61889,0.58921,2.63403,0.08824,0.89316,0.49869,0.60683,0.61012,2.67188,0.09191,0.88719,0.50207,0.61064,0.6147,2.65858,0.09356
699,1.07564,0.37251,0.72302,0.51834,2.6625,0.08863,0.94345,0.41764,0.69371,0.55482,2.65635,0.08595,0.93922,0.43286,0.67652,0.57444,2.6617,0.08729,0.88952,0.4426,0.66621,0.58132,2.66509,0.0866,0.89635,0.44106,0.67496,0.5757,2.67765,0.08773,0.84845,0.47026,0.65536,0.58925,2.66918,0.08823,0.82595,0.49882,0.63922,0.61015,2.70048,0.09191,0.80924,0.50222,0.63029,0.61474,2.69015,0.09356
700,1.12881,0.37252,0.71344,0.51832,2.68041,0.08863,1.04165,0.4177,0.70462,0.55482,2.66553,0.08595,0.99089,0.43294,0.69358,0.57443,2.63779,0.0873,0.94648,0.44271,0.69765,0.5813,2.63358,0.0866,0.95708,0.44116,0.7027,0.57568,2.64365,0.08773,0.91468,0.47037,0.69067,0.58923,2.64912,0.08824,0.88292,0.49892,0.67088,0.61013,2.6342,0.09193,0.88471,0.50232,0.67264,0.61472,2.61901,0.09358
701,1.10472,0.37254,0.71243,0.51832,2.67283,0.08864,1.03188,0.41775,0.68975,0.55484,2.64252,0.08595,1.00364,0.43301,0.67408,0.57446,2.62021,0.08731,1.00013,0.44275,0.65931,0.58134,2.64366,0.08661,1.01122,0.4412,0.66865,0.57571,2.62804,0.08774,0.9258,0.47047,0.65215,0.58928,2.64881,0.08825,0.91183,0.499,0.62745,0.61018,2.65101,0.09195,0.90061,0.50241,0.64068,0.61476,2.66588,0.09359
702,1.11903,0.37256,0.70697,0.51834,2.66127,0.08866,1.06805,0.41776,0.67964,0.55488,2.63503,0.08597,1.02407,0.43304,0.66521,0.57451,2.63568,0.08732,1.013,0.44278,0.65745,0.58139,2.62862,0.08662,1.01133,0.44123,0.65835,0.57576,2.64185,0.08775,0.97326,0.47051,0.64601,0.58933,2.62025,0.08826,0.92865,0.49904,0.62499,0.61023,2.62867,0.09197,0.94387,0.50245,0.62905,0.6148,2.68237,0.09359
703,1.13522,0.37256,0.69887,0.51838,2.66575,0.08866,1.03741,0.41779,0.68037,0.55491,2.65352,0.08596,1.01591,0.43308,0.66203,0.57456,2.64994,0.08732,1.00817,0.44283,0.6623,0.58143,2.63128,0.08664,0.99806,0.44128,0.67419,0.57578,2.62047,0.08776,0.96656,0.47055,0.65431,0.58936,2.65446,0.08827,0.93605,0.49908,0.65075,0.61026,2.67174,0.09197,0.96074,0.50247,0.63732,0.61485,2.68364,0.0936
704,1.08082,0.37263,0.69907,0.51841,2.67088,0.08865,0.99534,0.41788,0.64377,0.55503,2.64863,0.08596,0.95696,0.43319,0.62942,0.57466,2.63168,0.08733,0.93006,0.44293,0.61934,0.58154,2.63306,0.08665,0.919,0.44141,0.62871,0.57588,2.64193,0.08776,0.87318,0.47069,0.60681,0.58948,2.62353,0.08829,0.86078,0.49918,0.5902,0.61036,2.678,0.09198,0.85442,0.50257,0.57442,0.61497,2.66605,0.09362
705,1.11609,0.37263,0.70701,0.51843,2.66077,0.08869,1.02097,0.41793,0.65451,0.55513,2.63427,0.08598,0.99696,0.43324,0.64244,0.57475,2.6366,0.08734,0.98482,0.44297,0.62915,0.58163,2.60964,0.08667,0.99502,0.44143,0.64118,0.57596,2.61031,0.08778,0.93683,0.47075,0.61859,0.58957,2.60424,0.08832,0.90108,0.49925,0.60449,0.61045,2.61619,0.09202,0.89444,0.50264,0.59788,0.61505,2.6346,0.09364
706,1.09389,0.37266,0.70371,0.51844,2.65925,0.08872,1.01714,0.41801,0.67076,0.55518,2.6248,0.08599,0.9797,0.43334,0.65584,0.57479,2.64224,0.08735,0.95176,0.44308,0.63835,0.5817,2.62164,0.08669,0.9726,0.44152,0.64164,0.57603,2.62187,0.08779,0.93121,0.47084,0.63915,0.58962,2.61894,0.08834,0.90554,0.49933,0.62235,0.6105,2.63491,0.09204,0.89263,0.50273,0.63289,0.61508,2.65646,0.09366
707,1.1243,0.37265,0.70615,0.51845,2.65557,0.08874,1.01705,0.41807,0.67113,0.55524,2.63773,0.086,0.98405,0.43344,0.64427,0.57488,2.61948,0.08737,0.96951,0.44315,0.63559,0.58178,2.61384,0.08671,0.97382,0.4416,0.6451,0.5761,2.61907,0.0878,0.92529,0.47094,0.62979,0.5897,2.63132,0.08835,0.89723,0.49941,0.60801,0.61058,2.66483,0.09205,0.89889,0.50279,0.60468,0.61516,2.69887,0.09367
708,1.08602,0.37268,0.70709,0.51845,2.66453,0.08874,1.01407,0.41815,0.68313,0.55527,2.64327,0.086,0.9973,0.43351,0.65878,0.57493,2.64792,0.08737,0.99269,0.4432,0.66182,0.58182,2.62863,0.08672,0.98385,0.44165,0.65783,0.57615,2.63967,0.08781,0.95177,0.471,0.65584,0.58973,2.65252,0.08835,0.91931,0.49947,0.65525,0.61058,2.67701,0.09206,0.91526,0.50286,0.65766,0.61517,2.6114,0.09369
709,1.12219,0.37267,0.7073,0.51847,2.65408,0.08877,1.01661,0.41823,0.69128,0.55529,2.64411,0.08601,0.98276,0.43359,0.66996,0.57496,2.65043,0.08738,0.98885,0.44324,0.66097,0.58188,2.64317,0.08673,0.98392,0.44171,0.65924,0.5762,2.67176,0.0878,0.92725,0.47108,0.64154,0.58978,2.65598,0.08836,0.90241,0.49954,0.63409,0.61062,2.71469,0.09205,0.92105,0.50291,0.64255,0.61519,2.69616,0.0937
710,1.12904,0.37266,0.7113,0.51845,2.66323,0.08877,1.03319,0.41827,0.71792,0.55525,2.6359,0.08602,0.99439,0.43367,0.70164,0.57494,2.64409,0.08738,1.00248,0.44328,0.70912,0.58183,2.63889,0.08674,1.00111,0.44176,0.70764,0.57615,2.619,0.08781,0.91862,0.47117,0.68805,0.58975,2.65495,0.08837,0.87684,0.49963,0.67429,0.6106,2.66775,0.09205,0.84765,0.50304,0.67161,0.61518,2.65675,0.09372
711,1.09121,0.3727,0.71521,0.51844,2.66633,0.08876,1.01058,0.41833,0.69299,0.55525,2.66564,0.08602,0.98846,0.43375,0.676,0.57495,2.64875,0.08738,0.96297,0.44336,0.6636,0.58185,2.65836,0.08674,0.97986,0.44182,0.67668,0.57615,2.66174,0.08781,0.90981,0.47127,0.65085,0.58978,2.66853,0.08837,0.88216,0.49972,0.63972,0.61062,2.65591,0.09206,0.89278,0.50312,0.63784,0.61519,2.68314,0.09371
