batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
432,1.11009,0.36275,0.72109,0.51333,2.72639,0.08667,1.08776,0.376,0.70049,0.52583,2.74592,0.08419,1.05664,0.39639,0.6648,0.54272,2.75079,0.08409,1.04564,0.39241,0.6574,0.54455,2.77183,0.08464,1.00977,0.41665,0.63357,0.5556,2.7606,0.08598,1.00391,0.441,0.62648,0.5666,2.79011,0.08697,1.01835,0.45092,0.61288,0.58442,2.7524,0.08913
433,1.14214,0.36279,0.72939,0.51332,2.72709,0.08668,1.08973,0.37609,0.73637,0.52579,2.7718,0.08419,1.04854,0.39652,0.72954,0.54268,2.74074,0.0841,1.06093,0.39251,0.73619,0.54449,2.78277,0.08463,1.00309,0.41678,0.72103,0.55558,2.75865,0.08598,0.97101,0.44115,0.71502,0.56657,2.79888,0.08696,0.95836,0.45107,0.72152,0.58436,2.77316,0.08913
434,1.14486,0.36283,0.73059,0.5133,2.74736,0.08667,1.07754,0.3762,0.71352,0.52581,2.79423,0.08418,1.02671,0.39667,0.69898,0.54272,2.75274,0.0841,1.02153,0.39268,0.71123,0.5445,2.77933,0.08463,0.98453,0.41693,0.69017,0.55563,2.72602,0.086,0.95329,0.44132,0.68158,0.56665,2.75712,0.08696,0.95596,0.45121,0.70969,0.58436,2.71218,0.08915
435,1.1151,0.36293,0.71972,0.51332,2.71925,0.08671,1.06321,0.37632,0.70806,0.52584,2.75511,0.08419,1.01776,0.39683,0.6832,0.54277,2.74902,0.0841,1.02285,0.39283,0.69198,0.54454,2.7328,0.08465,1.00254,0.41705,0.67463,0.55569,2.77571,0.086,0.96204,0.44145,0.66377,0.5667,2.74498,0.08699,0.98047,0.45133,0.65955,0.58442,2.73961,0.08916
436,1.15936,0.3629,0.72159,0.51333,2.73633,0.0867,1.10554,0.37638,0.70636,0.52588,2.77899,0.08419,1.05158,0.39695,0.68518,0.54285,2.73553,0.08411,1.04903,0.39295,0.69406,0.54458,2.78297,0.08464,1.00712,0.41721,0.67779,0.55577,2.76404,0.086,0.96325,0.44162,0.65486,0.5668,2.76821,0.08699,0.96368,0.45148,0.65056,0.58449,2.72271,0.08919
437,1.1305,0.36295,0.72663,0.51335,2.73094,0.08671,1.10997,0.37644,0.70913,0.52592,2.76833,0.08419,1.07005,0.39705,0.67875,0.54293,2.74935,0.08411,1.07567,0.39304,0.68383,0.54465,2.7583,0.08464,1.05316,0.41728,0.68039,0.55584,2.73848,0.086,1.01564,0.44176,0.67858,0.56684,2.76734,0.087,1.01355,0.45157,0.66844,0.58453,2.7488,0.08919
438,1.14165,0.36296,0.72167,0.51336,2.71673,0.08673,1.09741,0.37651,0.70996,0.52595,2.74325,0.0842,1.0582,0.39713,0.67819,0.54302,2.74312,0.08412,1.05039,0.39314,0.68096,0.54472,2.74077,0.08465,1.02296,0.41736,0.65528,0.55596,2.74333,0.08602,1.00844,0.44182,0.64491,0.56699,2.75427,0.087,1.00588,0.45163,0.64342,0.58464,2.66623,0.08922
439,1.14263,0.363,0.72919,0.51336,2.73081,0.08675,1.08107,0.37661,0.72148,0.52594,2.75062,0.08421,1.02755,0.3973,0.71676,0.54301,2.72645,0.08412,1.04782,0.39326,0.70644,0.54473,2.75933,0.08466,1.00447,0.41751,0.7017,0.55597,2.75725,0.08604,0.96551,0.44201,0.70856,0.56695,2.74211,0.08702,0.99539,0.45175,0.71788,0.58458,2.76615,0.08923
440,1.1348,0.36301,0.7243,0.51338,2.72311,0.08676,1.08775,0.3767,0.7043,0.52601,2.7414,0.08423,1.04881,0.3974,0.68915,0.54309,2.7502,0.08413,1.05063,0.39339,0.68004,0.54482,2.76292,0.08465,0.99141,0.41767,0.68073,0.55605,2.76242,0.08604,0.97329,0.44217,0.6637,0.56705,2.75106,0.08703,0.94844,0.45194,0.67863,0.58462,2.73729,0.08923
441,1.13725,0.36308,0.71658,0.51342,2.72953,0.08678,1.09182,0.37678,0.69682,0.5261,2.76974,0.08423,1.05596,0.3975,0.66136,0.54324,2.76666,0.08412,1.06315,0.39349,0.66018,0.54497,2.75126,0.08466,1.00589,0.4178,0.64846,0.5562,2.74782,0.08604,0.98804,0.44229,0.63023,0.56722,2.77317,0.08703,0.99687,0.45201,0.60383,0.58481,2.7288,0.08925
