batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
765,1.12644,0.37797,0.70107,0.5216,2.64568,0.08883,0.92248,0.45118,0.64629,0.58312,2.63808,0.08791,0.90551,0.45747,0.64915,0.58586,2.67399,0.08797,0.86019,0.5168,0.60756,0.62079,2.6336,0.09077,0.82129,0.52398,0.58573,0.62962,2.64121,0.09379,0.83782,0.51498,0.59131,0.62756,2.66252,0.09155,0.78077,0.5469,0.57826,0.63607,2.63953,0.09371,0.74692,0.58417,0.55893,0.66878,2.62969,0.09826,0.78063,0.56986,0.57938,0.65343,2.60835,0.09777,0.81769,0.56758,0.57975,0.64963,2.56171,0.10177
766,1.12019,0.37797,0.69347,0.52165,2.68827,0.08882,0.90385,0.45133,0.63678,0.5832,2.66438,0.08792,0.90852,0.4576,0.63574,0.58593,2.72172,0.08798,0.82863,0.51693,0.59711,0.62086,2.69337,0.09078,0.79833,0.52413,0.58792,0.6297,2.73366,0.09378,0.80869,0.51513,0.59095,0.62763,2.71874,0.09154,0.74722,0.54703,0.59104,0.63614,2.66947,0.09371,0.68013,0.58432,0.5452,0.66885,2.64674,0.09828,0.70108,0.57002,0.57917,0.65349,2.65726,0.09778,0.68661,0.56774,0.57383,0.64969,2.70189,0.10178
767,1.12723,0.37792,0.70514,0.52167,2.66877,0.08881,0.98786,0.45139,0.66912,0.58324,2.66752,0.08792,0.99063,0.45764,0.67826,0.58596,2.68284,0.08798,0.92124,0.51695,0.66265,0.62086,2.67243,0.09079,0.89978,0.52417,0.63746,0.62974,2.62578,0.09381,0.88559,0.5152,0.63329,0.62768,2.6876,0.09155,0.87862,0.54704,0.63734,0.63617,2.67754,0.09372,0.83674,0.58432,0.61194,0.66886,2.61091,0.0983,0.89509,0.57,0.6221,0.65352,2.59104,0.09783,0.86819,0.56775,0.62991,0.6497,2.6215,0.10181
768,1.06707,0.37798,0.71004,0.52167,2.66158,0.08882,0.93807,0.4515,0.66225,0.58326,2.6562,0.08792,0.94663,0.45772,0.652,0.58601,2.70124,0.08798,0.91232,0.51699,0.61235,0.62093,2.72178,0.09079,0.8905,0.52422,0.61861,0.6298,2.70162,0.09381,0.8728,0.51528,0.63977,0.62773,2.69233,0.09155,0.86119,0.5471,0.63136,0.63621,2.72811,0.09372,0.85053,0.58434,0.61334,0.66889,2.67336,0.09831,0.87005,0.57003,0.61837,0.65355,2.70142,0.09781,0.85651,0.5678,0.61937,0.64974,2.65213,0.10181
769,1.08024,0.37801,0.71096,0.52167,2.67359,0.08883,1.06131,0.45147,0.70352,0.58324,2.64068,0.08794,1.06078,0.4577,0.69942,0.586,2.69328,0.08799,0.96812,0.51698,0.6673,0.62092,2.64127,0.0908,0.98422,0.52421,0.64286,0.62981,2.64191,0.09383,0.972,0.51529,0.63864,0.62774,2.6558,0.09156,0.92245,0.5471,0.63144,0.63622,2.60926,0.09373,0.93095,0.58431,0.5952,0.66892,2.59039,0.09834,0.93279,0.57002,0.64227,0.65356,2.59721,0.09786,0.91614,0.56779,0.62238,0.64975,2.56096,0.10185
770,1.11982,0.37801,0.70649,0.52168,2.68394,0.08881,1.07222,0.45142,0.6776,0.58324,2.67892,0.08793,1.05614,0.45767,0.66877,0.58602,2.71719,0.08799,0.95953,0.51696,0.66223,0.6209,2.67432,0.09081,0.95183,0.52418,0.65645,0.62979,2.68648,0.09383,0.96543,0.51526,0.66651,0.62772,2.68157,0.09157,0.92135,0.54707,0.6487,0.6362,2.70545,0.09373,0.84734,0.5843,0.65397,0.66886,2.73399,0.09833,0.89632,0.56999,0.65334,0.65351,2.68579,0.09785,0.92264,0.56772,0.64475,0.64972,2.63601,0.10187
771,1.1169,0.37802,0.71417,0.52166,2.63156,0.08885,0.95082,0.45154,0.72158,0.58316,2.63005,0.08794,0.93876,0.45779,0.7077,0.58597,2.67246,0.088,0.80214,0.51711,0.69245,0.62085,2.62863,0.09083,0.7727,0.52434,0.69162,0.62973,2.64591,0.09384,0.77371,0.51544,0.70931,0.62764,2.66601,0.09158,0.76232,0.54721,0.70856,0.63613,2.66275,0.09373,0.65487,0.58448,0.69929,0.66879,2.63471,0.09834,0.71032,0.57016,0.7184,0.65343,2.56025,0.09788,0.70962,0.5679,0.70379,0.64966,2.59942,0.10189
772,1.11518,0.37801,0.69448,0.52172,2.65554,0.08883,1.04443,0.45155,0.61719,0.5833,2.63477,0.08795,1.03198,0.45779,0.60263,0.58615,2.68849,0.08801,0.90438,0.51713,0.57274,0.62102,2.6107,0.09087,0.87538,0.5244,0.5676,0.62989,2.62788,0.09386,0.89573,0.5155,0.56409,0.6278,2.64851,0.0916,0.85315,0.54724,0.58044,0.63625,2.63708,0.09376,0.85565,0.58444,0.52852,0.66895,2.60495,0.09836,0.86642,0.57013,0.54902,0.65357,2.57875,0.09793,0.89497,0.56786,0.55866,0.6498,2.61214,0.10192
773,1.14983,0.37796,0.70156,0.52175,2.68197,0.08882,0.95035,0.45164,0.63293,0.58338,2.63138,0.08797,0.94342,0.45787,0.6239,0.58624,2.66213,0.08802,0.79414,0.51728,0.58132,0.62112,2.64515,0.09089,0.77724,0.52455,0.56753,0.62999,2.64069,0.09387,0.77945,0.51565,0.58952,0.62789,2.65649,0.09161,0.68965,0.54742,0.56225,0.63635,2.66322,0.09377,0.63823,0.58461,0.50911,0.66905,2.6177,0.09838,0.67414,0.57029,0.5201,0.6537,2.55599,0.09796,0.72253,0.56799,0.52781,0.64991,2.56484,0.10196
774,1.11422,0.37796,0.70439,0.52174,2.6863,0.08881,0.97886,0.45172,0.65305,0.58343,2.64663,0.08798,0.98612,0.45795,0.63439,0.58631,2.73413,0.08801,0.94745,0.51733,0.59493,0.62122,2.67079,0.09089,0.94727,0.52459,0.60749,0.63007,2.69285,0.09387,0.92527,0.51573,0.60612,0.62796,2.71407,0.0916,0.93379,0.54745,0.59829,0.63642,2.68841,0.09377,0.89818,0.58464,0.55061,0.66913,2.69313,0.09838,0.92459,0.57031,0.59425,0.65377,2.70756,0.09795,0.91994,0.56801,0.58987,0.64999,2.66551,0.10197
775,1.08741,0.37798,0.70086,0.52176,2.67834,0.0888,0.89845,0.45186,0.6184,0.58352,2.66168,0.08798,0.88889,0.45811,0.61832,0.5864,2.71344,0.08801,0.82923,0.51745,0.57725,0.62132,2.68612,0.09089,0.77485,0.52475,0.57682,0.63015,2.67624,0.09387,0.80483,0.51587,0.57428,0.62806,2.7067,0.0916,0.74845,0.54759,0.57858,0.6365,2.64252,0.09378,0.70196,0.58476,0.51786,0.66921,2.61031,0.09839,0.73084,0.57044,0.53413,0.65386,2.61976,0.09798,0.74875,0.56811,0.52663,0.6501,2.54993,0.10202
776,1.10165,0.37798,0.69209,0.52179,2.64711,0.08882,0.95425,0.45194,0.57748,0.58365,2.64872,0.08798,0.95784,0.45817,0.57885,0.58653,2.68632,0.08802,0.87308,0.51753,0.51211,0.62148,2.62221,0.09091,0.82553,0.52488,0.50068,0.63031,2.64041,0.09389,0.85192,0.51599,0.51114,0.6282,2.67924,0.0916,0.80448,0.5477,0.50675,0.63663,2.6394,0.09378,0.72913,0.58487,0.43286,0.66936,2.64385,0.09841,0.75903,0.57055,0.46533,0.654,2.64276,0.09799,0.77093,0.56821,0.46245,0.65025,2.63188,0.10203
777,1.12181,0.37798,0.70649,0.52179,2.65326,0.08884,1.0886,0.45185,0.65936,0.58367,2.64567,0.088,1.04747,0.45812,0.65258,0.58657,2.67508,0.08803,0.97157,0.5175,0.61536,0.62153,2.66207,0.09093,0.93278,0.52486,0.60524,0.63036,2.66752,0.0939,0.95855,0.51596,0.603,0.62826,2.69176,0.09161,0.8779,0.54772,0.57764,0.6367,2.66759,0.0938,0.86383,0.58484,0.52856,0.66942,2.63364,0.09843,0.88996,0.57052,0.55848,0.65406,2.63088,0.09801,0.9158,0.56815,0.59705,0.65029,2.65774,0.10204
778,1.11506,0.37797,0.70526,0.52179,2.69205,0.08883,1.00486,0.45192,0.66075,0.58372,2.66691,0.088,1.00448,0.4582,0.68289,0.58657,2.72639,0.08802,0.88711,0.51759,0.65742,0.62152,2.72646,0.09092,0.87085,0.52496,0.63623,0.63037,2.67845,0.09391,0.88878,0.51607,0.65494,0.62826,2.71385,0.09161,0.84014,0.54781,0.66621,0.63667,2.68342,0.0938,0.79241,0.58492,0.624,0.66943,2.73748,0.09842,0.79468,0.5706,0.63837,0.65405,2.67794,0.098,0.78572,0.56825,0.65681,0.65028,2.71607,0.10203
